gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	212	4.1283	0.6022
ENSG00000000460	258	3.0463	0.4443
ENSG00000000938	38299	815.1130	118.8969
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	582	5.1276	0.7479
ENSG00000001461	1065	8.4916	1.2386
ENSG00000004455	18644	246.0480	35.8899
ENSG00000004487	4287	94.1297	13.7303
ENSG00000006555	15	0.1858	0.0271
ENSG00000007341	501	4.6367	0.6763
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3631	52.9040	7.7169
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	881	12.1112	1.7666
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1648	26.1984	3.8214
ENSG00000008130	10243	133.8550	19.5249
ENSG00000009307	14484	188.7590	27.5334
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	9	0.1604	0.0234
ENSG00000009780	260	6.7921	0.9907
ENSG00000009790	4467	43.2148	6.3035
ENSG00000010072	175	2.2216	0.3241
ENSG00000010165	1095	21.3763	3.1181
ENSG00000010803	6795	114.5950	16.7155
ENSG00000010932	16	0.3358	0.0490
ENSG00000011007	2876	40.0063	5.8355
ENSG00000011009	5666	193.5190	28.2277
ENSG00000011021	2972	32.3746	4.7223
ENSG00000014914	10311	168.4400	24.5695
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4114	62.7537	9.1536
ENSG00000020633	45821	746.2720	108.8553
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	420	24.2232	3.5334
ENSG00000023902	11660	140.1870	20.4484
ENSG00000023909	148	2.0698	0.3019
ENSG00000024526	76	0.9648	0.1407
ENSG00000025800	4522	44.1237	6.4361
ENSG00000026751	96	1.5560	0.2270
ENSG00000027644	8	0.1176	0.0172
ENSG00000027869	191	5.6967	0.8309
ENSG00000028137	15997	318.5770	46.4694
ENSG00000031698	6148	120.2050	17.5337
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1602	32.7842	4.7821
ENSG00000036549	811	6.7539	0.9852
ENSG00000037637	2500	20.8708	3.0443
ENSG00000040487	7129	199.0560	29.0354
ENSG00000041988	788	14.5201	2.1180
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	199	4.8541	0.7080
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2712	19.9784	2.9142
ENSG00000048707	2025	7.4650	1.0889
ENSG00000049089	7123	128.7060	18.7738
ENSG00000049239	10333	85.0008	12.3987
ENSG00000049245	8082	219.6240	32.0356
ENSG00000049246	55	0.5802	0.0846
ENSG00000049247	454	19.1038	2.7866
ENSG00000049249	10	0.3284	0.0479
ENSG00000050628	6	0.0465	0.0068
ENSG00000052723	569	7.2423	1.0564
ENSG00000053371	21821	918.8960	134.0352
ENSG00000053372	2282	60.6506	8.8468
ENSG00000054116	3302	74.7468	10.9030
ENSG00000054118	4238	67.1149	9.7897
ENSG00000054267	1469	9.9521	1.4517
ENSG00000054277	6298	135.7420	19.8001
ENSG00000054282	1113	15.9097	2.3207
ENSG00000054392	285	4.9823	0.7268
ENSG00000054523	853	3.6143	0.5272
ENSG00000055070	16099	254.3620	37.1027
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1222	13.0318	1.9009
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	2797	95.9739	13.9993
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1538	9.4018	1.3714
ENSG00000058668	16834	129.8750	18.9443
ENSG00000058673	2857	22.0897	3.2221
ENSG00000058799	1616	53.6077	7.8195
ENSG00000058804	1509	22.0343	3.2140
ENSG00000059588	4263	41.2941	6.0234
ENSG00000060642	1107	24.5597	3.5824
ENSG00000060656	105	1.1754	0.1714
ENSG00000060688	1482	27.7021	4.0408
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	411	5.1191	0.7467
ENSG00000064886	90	2.0519	0.2993
ENSG00000065135	1759	41.1606	6.0039
ENSG00000065183	294	5.3104	0.7746
ENSG00000065243	254	2.7146	0.3960
ENSG00000065526	17382	98.0603	14.3036
ENSG00000065600	3092	79.5710	11.6067
ENSG00000065978	71696	2786.1200	406.3995
ENSG00000066027	3293	63.9265	9.3247
ENSG00000066056	817	9.1560	1.3355
ENSG00000066135	1687	24.4695	3.5692
ENSG00000066136	5735	71.8447	10.4797
ENSG00000066185	145	4.9645	0.7241
ENSG00000066279	142	0.9758	0.1423
ENSG00000066294	4482	36.3234	5.2983
ENSG00000066322	12853	392.0120	57.1810
ENSG00000066557	139	3.6110	0.5267
ENSG00000067208	197	1.7857	0.2605
ENSG00000067334	1205	15.0450	2.1945
ENSG00000067533	302	2.8725	0.4190
ENSG00000067606	167	1.6366	0.2387
ENSG00000067704	3401	61.2941	8.9407
ENSG00000069248	575	8.5207	1.2429
ENSG00000069275	4614	52.8595	7.7104
ENSG00000069424	26903	248.3050	36.2191
ENSG00000069702	32	0.2773	0.0405
ENSG00000069712	20	0.3245	0.0473
ENSG00000069812	18	0.2497	0.0364
ENSG00000070759	1982	42.9555	6.2657
ENSG00000070785	586	14.4505	2.1078
ENSG00000070831	12087	261.2420	38.1062
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	7315	78.4210	11.4389
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	28	0.3986	0.0581
ENSG00000074800	261262	4782.6800	697.6279
ENSG00000074964	3974	37.9853	5.5408
ENSG00000075151	4100	36.4834	5.3217
ENSG00000075391	393	2.4935	0.3637
ENSG00000075945	286	4.2720	0.6231
ENSG00000076258	170	5.0759	0.7404
ENSG00000076321	218	3.8491	0.5614
ENSG00000076356	189	1.0259	0.1496
ENSG00000076864	2	0.0236	0.0034
