gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	617	12.0325	2.2118
ENSG00000000460	1337	15.7792	2.9005
ENSG00000000938	18965	403.6350	74.1944
ENSG00000000971	795	7.3251	1.3465
ENSG00000001460	210	1.8504	0.3401
ENSG00000001461	1192	9.5101	1.7481
ENSG00000004455	9866	130.2100	23.9347
ENSG00000004487	6877	150.9840	27.7533
ENSG00000006555	12	0.1486	0.0273
ENSG00000007341	787	7.2777	1.3377
ENSG00000007908	18	0.3200	0.0588
ENSG00000007923	3602	52.4846	9.6475
ENSG00000007933	197	4.2720	0.7853
ENSG00000007968	3686	50.6548	9.3111
ENSG00000008118	0	0.0090	0.0016
ENSG00000008128	3242	51.5435	9.4745
ENSG00000008130	7158	93.5417	17.1944
ENSG00000009307	48688	634.5120	116.6331
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0130
ENSG00000009780	850	22.1652	4.0743
ENSG00000009790	4422	42.7792	7.8635
ENSG00000010072	1292	16.4089	3.0162
ENSG00000010165	3575	69.7741	12.8256
ENSG00000010803	3252	54.8435	10.0811
ENSG00000010932	6	0.1259	0.0231
ENSG00000011007	3360	46.7407	8.5917
ENSG00000011009	2046	69.8875	12.8464
ENSG00000011021	3174	34.5770	6.3558
ENSG00000014914	1573	25.6961	4.7234
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	9	0.1034	0.0190
ENSG00000020129	1431	21.8332	4.0133
ENSG00000020633	2319	37.7644	6.9417
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	444	25.6613	4.7169
ENSG00000023902	6985	83.9832	15.4374
ENSG00000023909	3020	42.1504	7.7479
ENSG00000024526	2386	30.3117	5.5717
ENSG00000025800	8475	82.6914	15.2000
ENSG00000026751	112	1.8243	0.3353
ENSG00000027644	19	0.2794	0.0514
ENSG00000027869	64	1.9053	0.3502
ENSG00000028137	10586	210.8170	38.7515
ENSG00000031698	6288	122.9320	22.5968
ENSG00000033122	45	0.2838	0.0522
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4160	85.0966	15.6421
ENSG00000036549	3254	27.0891	4.9794
ENSG00000037637	2526	21.0864	3.8760
ENSG00000040487	716	20.0022	3.6767
ENSG00000041988	336	6.1800	1.1360
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1385	33.8346	6.2193
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13608	100.2570	18.4288
ENSG00000048707	3637	13.4051	2.4641
ENSG00000049089	802	14.4929	2.6640
