gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1217	23.7456	2.6191
ENSG00000000460	1441	17.0135	1.8766
ENSG00000000938	639	13.5922	1.4992
ENSG00000000971	196	1.8050	0.1991
ENSG00000001460	388	3.4174	0.3769
ENSG00000001461	1731	13.8053	1.5227
ENSG00000004455	13213	174.3810	19.2339
ENSG00000004487	18873	414.3550	45.7028
ENSG00000006555	21	0.2601	0.0287
ENSG00000007341	1883	17.4096	1.9203
ENSG00000007908	2	0.0356	0.0039
ENSG00000007923	3578	52.1407	5.7510
ENSG00000007933	24	0.5198	0.0573
ENSG00000007968	3923	53.9210	5.9474
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2983	47.4258	5.2310
ENSG00000008130	6115	79.9183	8.8149
ENSG00000009307	96553	1258.2900	138.7880
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	31	0.5401	0.0596
ENSG00000009780	1592	41.5038	4.5778
ENSG00000009790	2569	24.8505	2.7410
ENSG00000010072	1603	20.3518	2.2448
ENSG00000010165	1085	21.1710	2.3351
ENSG00000010803	14184	239.2150	26.3850
ENSG00000010932	3	0.0630	0.0069
ENSG00000011007	8156	113.4730	12.5159
ENSG00000011009	3015	102.9700	11.3574
ENSG00000011021	4581	49.9038	5.5043
ENSG00000014914	61	0.9952	0.1098
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4932	75.2284	8.2976
ENSG00000020633	1827	29.7566	3.2821
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	709	40.9400	4.5156
ENSG00000023902	13498	162.2840	17.8996
ENSG00000023909	1835	25.6111	2.8249
ENSG00000024526	1677	21.3093	2.3504
ENSG00000025800	14255	139.0790	15.3402
ENSG00000026751	203	3.3058	0.3646
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	240	7.1620	0.7900
ENSG00000028137	3461	68.9296	7.6028
ENSG00000031698	5877	114.9140	12.6749
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	8	0.2880	0.0318
ENSG00000035687	5551	113.5710	12.5267
ENSG00000036549	6969	58.0210	6.3996
ENSG00000037637	2933	24.4888	2.7011
ENSG00000040487	864	24.1348	2.6620
ENSG00000041988	1154	21.2495	2.3438
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1974	48.2084	5.3173
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	28013	206.3840	22.7638
ENSG00000048707	3844	14.1685	1.5628
ENSG00000049089	1860	33.6068	3.7068
ENSG00000049239	3316	27.2775	3.0087
ENSG00000049245	14282	388.0860	42.8053
ENSG00000049246	121	1.2749	0.1406
ENSG00000049247	3	0.1413	0.0156
ENSG00000049249	14	0.4597	0.0507
ENSG00000050628	2	0.0155	0.0017
ENSG00000052723	8577	109.1410	12.0381
ENSG00000053371	5189	218.5120	24.1015
ENSG00000053372	5184	137.7650	15.1953
ENSG00000054116	2698	61.0730	6.7363
ENSG00000054118	8028	127.1380	14.0231
ENSG00000054267	21233	143.8190	15.8630
ENSG00000054277	1328	28.6106	3.1557
ENSG00000054282	6633	94.8119	10.4576
ENSG00000054392	67	1.1697	0.1290
ENSG00000054523	4887	20.7160	2.2849
ENSG00000055070	10492	165.7650	18.2837
ENSG00000055732	4	0.0453	0.0050
ENSG00000057252	5462	58.2448	6.4243
ENSG00000057468	52	1.1877	0.1310
ENSG00000057757	6547	224.6210	24.7753
ENSG00000058085	2	0.0176	0.0019
ENSG00000058453	694	4.2448	0.4682
ENSG00000058668	9311	71.8373	7.9235
ENSG00000058673	29814	230.5210	25.4262
ENSG00000058799	2183	72.4038	7.9860
ENSG00000058804	5833	85.1887	9.3962
ENSG00000059588	13948	135.1050	14.9019
ENSG00000060642	685	15.1836	1.6747
ENSG00000060656	14	0.1567	0.0173
ENSG00000060688	3610	67.5026	7.4454
ENSG00000060718	6	0.0544	0.0060
ENSG00000064703	5537	68.9917	7.6097
ENSG00000064886	67	1.5247	0.1682
ENSG00000065135	18510	433.0220	47.7617
ENSG00000065183	2856	51.4939	5.6797
ENSG00000065243	10381	111.0040	12.2436
ENSG00000065526	30689	173.1340	19.0964
ENSG00000065600	2402	61.8298	6.8197
ENSG00000065978	97422	3785.8200	417.5700
ENSG00000066027	11596	225.1290	24.8314
ENSG00000066056	1390	15.5735	1.7177
ENSG00000066135	1200	17.3968	1.9188
ENSG00000066136	4875	61.0757	6.7366
ENSG00000066185	97	3.3062	0.3647
ENSG00000066279	3793	26.1327	2.8824
ENSG00000066294	1154	9.3530	1.0316
ENSG00000066322	9318	284.1920	31.3460
ENSG00000066557	4103	106.6900	11.7678
ENSG00000067208	877	7.9502	0.8769
ENSG00000067334	17933	223.9760	24.7042
