gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	435	8.4839	2.0320
ENSG00000000460	557	6.5716	1.5740
ENSG00000000938	610	12.9762	3.1080
ENSG00000000971	58	0.5314	0.1273
ENSG00000001460	453	3.9905	0.9558
ENSG00000001461	1235	9.8465	2.3583
ENSG00000004455	13751	181.4740	43.4652
ENSG00000004487	6073	133.3420	31.9370
ENSG00000006555	63	0.7803	0.1869
ENSG00000007341	1367	12.6407	3.0276
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2888	42.0841	10.0796
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	914	12.5589	3.0080
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1711	27.1975	6.5141
ENSG00000008130	1939	25.3339	6.0678
ENSG00000009307	13851	180.5090	43.2339
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	56	0.9880	0.2366
ENSG00000009780	225	5.8550	1.4023
ENSG00000009790	3653	35.3348	8.4631
ENSG00000010072	187	2.3754	0.5689
ENSG00000010165	1217	23.7450	5.6872
ENSG00000010803	4487	75.6811	18.1265
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1220	16.9748	4.0657
ENSG00000011009	2816	96.1603	23.0315
ENSG00000011021	1765	19.2266	4.6050
ENSG00000014914	15	0.2450	0.0587
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0121	0.0029
ENSG00000020129	2438	37.1881	8.9070
ENSG00000020633	2012	32.7622	7.8469
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	226	13.0477	3.1251
ENSG00000023902	2957	35.5569	8.5163
ENSG00000023909	240	3.3549	0.8035
ENSG00000024526	129	1.6387	0.3925
ENSG00000025800	4550	44.3886	10.6316
ENSG00000026751	355	5.7774	1.3837
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	913	27.2699	6.5315
ENSG00000028137	1480	29.4679	7.0579
ENSG00000031698	4108	80.3225	19.2382
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1028	21.0232	5.0353
ENSG00000036549	1165	9.7007	2.3234
ENSG00000037637	2727	22.7631	5.4520
ENSG00000040487	645	18.0179	4.3155
ENSG00000041988	1048	19.3011	4.6228
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	686	16.7538	4.0127
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1843	13.5796	3.2525
ENSG00000048707	1196	4.4074	1.0556
ENSG00000049089	931	16.8174	4.0280
ENSG00000049239	4108	33.7912	8.0934
ENSG00000049245	2846	77.3388	18.5236
ENSG00000049246	68	0.7179	0.1719
ENSG00000049247	273	11.4801	2.7496
ENSG00000049249	15	0.4860	0.1164
ENSG00000050628	159	1.2360	0.2960
ENSG00000052723	990	12.5943	3.0165
ENSG00000053371	4565	192.2250	46.0400
ENSG00000053372	2583	68.6520	16.4430
ENSG00000054116	1876	42.4721	10.1725
