gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	176	3.4391	0.5451
ENSG00000000460	262	3.0925	0.4902
ENSG00000000938	16634	354.0100	56.1121
ENSG00000000971	2	0.0184	0.0029
ENSG00000001460	89	0.7807	0.1238
ENSG00000001461	433	3.4533	0.5474
ENSG00000004455	9589	126.5430	20.0576
ENSG00000004487	4324	94.9359	15.0477
ENSG00000006555	1	0.0124	0.0020
ENSG00000007341	1958	18.1075	2.8701
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	482	7.0255	1.1136
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	623	8.5598	1.3568
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3738	59.4245	9.4190
ENSG00000008130	9461	123.6440	19.5981
ENSG00000009307	31046	404.5940	64.1299
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	42	0.7410	0.1175
ENSG00000009780	211	5.4990	0.8716
ENSG00000009790	3009	29.1046	4.6132
ENSG00000010072	1380	17.5306	2.7787
ENSG00000010165	390	7.6029	1.2051
ENSG00000010803	2338	39.4331	6.2503
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5551	77.2296	12.2412
ENSG00000011009	3580	122.2540	19.3777
ENSG00000011021	2994	32.6222	5.1708
ENSG00000014914	5273	86.1462	13.6545
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	686	10.4619	1.6583
ENSG00000020633	23553	383.6010	60.8024
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	543	31.3772	4.9734
ENSG00000023902	33030	397.1200	62.9453
ENSG00000023909	189	2.6381	0.4182
ENSG00000024526	0	0.0054	0.0009
ENSG00000025800	15008	146.4240	23.2089
ENSG00000026751	134	2.1827	0.3460
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	140	4.1783	0.6623
ENSG00000028137	22181	441.7330	70.0166
ENSG00000031698	4787	93.5998	14.8360
ENSG00000033122	40	0.2498	0.0396
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	944	19.3194	3.0622
ENSG00000036549	501	4.1688	0.6608
ENSG00000037637	3187	26.6020	4.2165
ENSG00000040487	4093	114.2900	18.1154
ENSG00000041988	2416	44.4968	7.0529
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	77	1.8824	0.2984
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1112	8.1950	1.2989
ENSG00000048707	877	3.2337	0.5126
ENSG00000049089	7038	127.1660	20.1563
ENSG00000049239	612	5.0386	0.7986
ENSG00000049245	13963	379.4330	60.1417
ENSG00000049246	233	2.4592	0.3898
ENSG00000049247	4	0.1666	0.0264
ENSG00000049249	12	0.3940	0.0625
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1850	23.5355	3.7305
ENSG00000053371	13605	572.9060	90.8080
ENSG00000053372	578	15.3533	2.4335
ENSG00000054116	553	12.5189	1.9843
ENSG00000054118	7087	112.2340	17.7896
ENSG00000054267	7911	53.5814	8.4929
ENSG00000054277	3256	70.1727	11.1227
ENSG00000054282	934	13.3497	2.1160
ENSG00000054392	97	1.6934	0.2684
ENSG00000054523	3343	14.1719	2.2463
ENSG00000055070	30642	484.1240	76.7357
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1272	13.5676	2.1505
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	7629	261.7470	41.4881
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	384	2.3471	0.3720
ENSG00000058668	927	7.1508	1.1334
ENSG00000058673	5853	45.2553	7.1731
ENSG00000058799	1899	62.9920	9.9845
ENSG00000058804	545	7.9669	1.2628
ENSG00000059588	1080	10.4572	1.6575
ENSG00000060642	288	6.3894	1.0127
ENSG00000060656	102	1.1413	0.1809
ENSG00000060688	1588	29.6918	4.7063
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1464	18.2416	2.8914
ENSG00000064886	154	3.4986	0.5546
ENSG00000065135	3568	83.4660	13.2297
ENSG00000065183	81	1.4607	0.2315
ENSG00000065243	1623	17.3557	2.7510
ENSG00000065526	11780	66.4601	10.5342
ENSG00000065600	23026	592.6480	93.9373
ENSG00000065978	115665	4494.7700	712.4406
ENSG00000066027	6438	124.9920	19.8117
ENSG00000066056	0	0.0000	0.0000
ENSG00000066135	1287	18.6578	2.9573
ENSG00000066136	1578	19.7665	3.1331
ENSG00000066185	298	10.1822	1.6139
ENSG00000066279	72	0.4960	0.0786
ENSG00000066294	426	3.4540	0.5475
ENSG00000066322	3269	99.7178	15.8057
ENSG00000066557	719	18.6980	2.9637
ENSG00000067208	284	2.5749	0.4081
ENSG00000067334	1736	21.6816	3.4366
ENSG00000067533	194	1.8457	0.2926
ENSG00000067606	261	2.5671	0.4069
ENSG00000067704	2030	36.5824	5.7985
ENSG00000069248	426	6.3148	1.0009
ENSG00000069275	3222	36.9203	5.8520
ENSG00000069424	25216	232.7320	36.8890
ENSG00000069702	139	1.2046	0.1909
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	684	14.8260	2.3500
ENSG00000070785	134	3.3000	0.5231
ENSG00000070831	42860	926.3640	146.8326
ENSG00000070886	2	0.0280	0.0044
ENSG00000072694	68	0.7290	0.1155
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4582	65.2217	10.3379
ENSG00000074800	104380	1910.7900	302.8677
ENSG00000074964	1219	11.6475	1.8462
ENSG00000075151	3655	32.5214	5.1548
ENSG00000075391	81	0.5140	0.0815
ENSG00000075945	810	12.1167	1.9205
ENSG00000076258	26	0.7747	0.1228
ENSG00000076321	941	16.5886	2.6294
ENSG00000076356	192	1.0449	0.1656
ENSG00000076864	138	1.6317	0.2586
ENSG00000077152	742	52.2873	8.2878
ENSG00000077157	1115	5.8067	0.9204
ENSG00000077254	748	8.1133	1.2860
ENSG00000077522	90	1.2456	0.1974
ENSG00000077549	18840	406.0430	64.3596
ENSG00000077585	1947	64.0873	10.1581
ENSG00000078369	16907	206.6530	32.7553
ENSG00000078618	3245	36.7747	5.8289
ENSG00000078808	4794	76.5523	12.1339
ENSG00000078900	131	1.7687	0.2803
ENSG00000079277	2755	25.6361	4.0634
ENSG00000079335	2084	27.2885	4.3253
ENSG00000079739	463	8.3326	1.3208
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	0	0.0000	0.0000
ENSG00000081019	8716	95.8664	15.1952
ENSG00000081026	148	1.3570	0.2151
ENSG00000081237	4350	38.3494	6.0785
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	512	8.8950	1.4099
ENSG00000081721	2727	116.0550	18.3952
ENSG00000081870	1243	33.7764	5.3537
ENSG00000081985	44	0.7796	0.1236
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	71	0.5867	0.0930
ENSG00000083444	2328	32.7834	5.1963
ENSG00000084070	14409	327.5870	51.9239
ENSG00000084072	1333	12.3858	1.9632
ENSG00000084073	796	16.7052	2.6478
ENSG00000084623	24756	1076.3400	170.6043
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	3310	48.6412	7.7098
ENSG00000085433	928	15.3419	2.4318
ENSG00000085465	327	8.2078	1.3010
ENSG00000085491	1458	16.6946	2.6462
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	26	0.2083	0.0330
ENSG00000085832	1117	11.0922	1.7582
ENSG00000085840	508	12.0691	1.9130
ENSG00000085998	356	4.1927	0.6646
