gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1959	38.2224	3.6295
ENSG00000000460	1103	13.0151	1.2359
ENSG00000000938	1649	35.0846	3.3315
ENSG00000000971	66	0.6101	0.0579
ENSG00000001460	472	4.1583	0.3949
ENSG00000001461	2802	22.3467	2.1220
ENSG00000004455	9594	126.6090	12.0224
ENSG00000004487	17536	385.0080	36.5592
ENSG00000006555	155	1.9181	0.1821
ENSG00000007341	2583	23.8824	2.2678
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4061	59.1700	5.6186
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	7638	104.9770	9.9683
ENSG00000008118	2	0.0561	0.0053
ENSG00000008128	9107	144.7780	13.7477
ENSG00000008130	5606	73.2656	6.9571
ENSG00000009307	127466	1661.1500	157.7384
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	91	1.5994	0.1519
ENSG00000009780	1203	31.3675	2.9786
ENSG00000009790	3561	34.4440	3.2707
ENSG00000010072	5172	65.6818	6.2370
ENSG00000010165	1359	26.5144	2.5177
ENSG00000010803	10317	173.9930	16.5219
ENSG00000010932	11	0.2308	0.0219
ENSG00000011007	14870	206.8710	19.6438
ENSG00000011009	3587	122.5060	11.6328
ENSG00000011021	7456	81.2273	7.7131
ENSG00000014914	38	0.6284	0.0597
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0023
ENSG00000020129	2053	31.3203	2.9741
ENSG00000020633	43180	703.2590	66.7795
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	310	17.9253	1.7022
ENSG00000023902	25529	306.9420	29.1463
ENSG00000023909	2729	38.0841	3.6164
ENSG00000024526	960	12.1961	1.1581
ENSG00000025800	24471	238.7560	22.6716
ENSG00000026751	846	13.7813	1.3086
ENSG00000027644	26	0.3838	0.0365
ENSG00000027869	2774	82.8356	7.8658
ENSG00000028137	23184	461.7030	43.8420
ENSG00000031698	7483	146.3130	13.8934
ENSG00000033122	15	0.0946	0.0090
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4068	83.2297	7.9033
ENSG00000036549	10356	86.2242	8.1876
ENSG00000037637	12453	103.9590	9.8716
ENSG00000040487	854	23.8407	2.2638
ENSG00000041988	930	17.1375	1.6273
