gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	890	17.3561	1.5732
ENSG00000000460	1553	18.3275	1.6613
ENSG00000000938	8522	181.3750	16.4407
ENSG00000000971	338	3.1126	0.2821
ENSG00000001460	336	2.9576	0.2681
ENSG00000001461	1932	15.4070	1.3966
ENSG00000004455	6704	88.4758	8.0199
ENSG00000004487	18291	401.5840	36.4015
ENSG00000006555	22	0.2725	0.0247
ENSG00000007341	2182	20.1778	1.8290
ENSG00000007908	26	0.4641	0.0421
ENSG00000007923	2418	35.2368	3.1940
ENSG00000007933	10	0.2166	0.0196
ENSG00000007968	2485	34.1515	3.0957
ENSG00000008118	19	0.5243	0.0475
ENSG00000008128	8570	136.2260	12.3482
ENSG00000008130	7911	103.3790	9.3708
ENSG00000009307	122382	1594.9000	144.5698
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1644	29.0127	2.6299
ENSG00000009780	1090	28.4298	2.5770
ENSG00000009790	4686	45.3274	4.1087
ENSG00000010072	4598	58.3869	5.2925
ENSG00000010165	806	15.7325	1.4261
ENSG00000010803	8979	151.4370	13.7270
ENSG00000010932	55	1.1505	0.1043
ENSG00000011007	10876	151.3120	13.7157
ENSG00000011009	3546	121.1140	10.9783
ENSG00000011021	7386	80.4733	7.2945
ENSG00000014914	1184	19.3439	1.7534
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	10	0.2055	0.0186
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1881	28.6939	2.6010
ENSG00000020633	11097	180.7400	16.3831
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	379	21.8776	1.9831
ENSG00000023902	28406	341.5330	30.9582
ENSG00000023909	497	6.9431	0.6293
ENSG00000024526	264	3.3530	0.3039
ENSG00000025800	28689	279.9070	25.3721
ENSG00000026751	777	12.6636	1.1479
ENSG00000027644	23	0.3431	0.0311
ENSG00000027869	653	19.5068	1.7682
ENSG00000028137	13514	269.1220	24.3945
