gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	773	15.0760	1.4244
ENSG00000000460	1265	14.9276	1.4104
ENSG00000000938	42779	910.4510	86.0239
ENSG00000000971	2	0.0184	0.0017
ENSG00000001460	362	3.1857	0.3010
ENSG00000001461	2653	21.1553	1.9989
ENSG00000004455	15782	208.2800	19.6794
ENSG00000004487	13250	290.9000	27.4856
ENSG00000006555	24	0.2973	0.0281
ENSG00000007341	1936	17.9028	1.6915
ENSG00000007908	2	0.0284	0.0027
ENSG00000007923	4179	60.8891	5.7531
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4744	65.2034	6.1607
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4985	79.2418	7.4872
ENSG00000008130	14859	194.1910	18.3481
ENSG00000009307	57795	753.1900	71.1651
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1567	27.6474	2.6123
ENSG00000009780	974	25.4016	2.4001
ENSG00000009790	9607	92.9391	8.7813
ENSG00000010072	1729	21.9575	2.0747
ENSG00000010165	1975	38.5493	3.6423
ENSG00000010803	13513	227.9070	21.5337
ENSG00000010932	11	0.2233	0.0211
ENSG00000011007	9978	138.8170	13.1161
ENSG00000011009	6749	230.5000	21.7787
ENSG00000011021	4593	50.0418	4.7282
ENSG00000014914	5209	85.0987	8.0405
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0023
ENSG00000020129	4675	71.3020	6.7370
ENSG00000020633	1818	29.6083	2.7975
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	507	29.2440	2.7631
ENSG00000023902	35188	423.0710	39.9738
ENSG00000023909	477	6.6511	0.6284
ENSG00000024526	108	1.3716	0.1296
ENSG00000025800	14144	138.0010	13.0390
ENSG00000026751	254	4.1414	0.3913
ENSG00000027644	22	0.3262	0.0308
ENSG00000027869	243	7.2651	0.6864
ENSG00000028137	32885	654.9040	61.8786
ENSG00000031698	13244	258.9390	24.4658
ENSG00000033122	57	0.3585	0.0339
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5403	110.5300	10.4434
ENSG00000036549	2419	20.1367	1.9026
ENSG00000037637	4433	37.0104	3.4969
ENSG00000040487	1629	45.4855	4.2977
ENSG00000041988	2568	47.2979	4.4689
ENSG00000042781	2	0.0072	0.0007
ENSG00000043514	1269	30.9964	2.9287
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9097	67.0210	6.3325
ENSG00000048707	11030	40.6593	3.8417
ENSG00000049089	2920	52.7574	4.9848
ENSG00000049239	8556	70.3821	6.6500
ENSG00000049245	13179	358.1140	33.8364
ENSG00000049246	63	0.6603	0.0624
ENSG00000049247	53	2.2445	0.2121
ENSG00000049249	26	0.8590	0.0812
ENSG00000050628	6	0.0466	0.0044
ENSG00000052723	3298	41.9681	3.9653
ENSG00000053371	8228	346.4930	32.7383
ENSG00000053372	4731	125.7430	11.8808
ENSG00000054116	5528	125.1330	11.8231
ENSG00000054118	12284	194.5350	18.3806
ENSG00000054267	5774	39.1070	3.6950
ENSG00000054277	5726	123.4050	11.6599
ENSG00000054282	3469	49.5794	4.6845
ENSG00000054392	82	1.4253	0.1347
ENSG00000054523	7127	30.2121	2.8546
ENSG00000055070	24505	387.1670	36.5815
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4580	48.8415	4.6148
ENSG00000057468	34	0.7728	0.0730
ENSG00000057757	7065	242.3920	22.9024
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1454	8.8941	0.8404
ENSG00000058668	23809	183.6950	17.3564
ENSG00000058673	13329	103.0610	9.7377
ENSG00000058799	2893	95.9805	9.0687
ENSG00000058804	3116	45.5155	4.3005
ENSG00000059588	7462	72.2821	6.8296
ENSG00000060642	1282	28.4323	2.6864
ENSG00000060656	3	0.0319	0.0030
ENSG00000060688	3228	60.3550	5.7026
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	2187	27.2570	2.5754
ENSG00000064886	138	3.1414	0.2968
ENSG00000065135	5908	138.2190	13.0596
ENSG00000065183	1128	20.3491	1.9227
ENSG00000065243	3626	38.7675	3.6629
ENSG00000065526	29685	167.4710	15.8235
ENSG00000065600	3240	83.3977	7.8798
ENSG00000065978	110429	4291.3000	405.4626
ENSG00000066027	8574	166.4690	15.7288
ENSG00000066056	2637	29.5397	2.7911
ENSG00000066135	4212	61.0808	5.7712
ENSG00000066136	4859	60.8721	5.7515
ENSG00000066185	68	2.3194	0.2191
ENSG00000066279	778	5.3579	0.5062
ENSG00000066294	8584	69.5645	6.5728
ENSG00000066322	10291	313.8740	29.6563
ENSG00000066557	1030	26.7774	2.5301
ENSG00000067208	1403	12.7206	1.2019
ENSG00000067334	5595	69.8839	6.6030
ENSG00000067533	941	8.9545	0.8461
ENSG00000067606	209	2.0564	0.1943
ENSG00000067704	12531	225.8200	21.3366
ENSG00000069248	3444	51.0744	4.8258
ENSG00000069275	16389	187.7800	17.7424
ENSG00000069424	55052	508.1050	48.0083
ENSG00000069702	268	2.3225	0.2194
ENSG00000069712	239	3.8711	0.3658
ENSG00000069812	2	0.0277	0.0026
ENSG00000070759	2555	55.3882	5.2333
ENSG00000070785	1538	37.9129	3.5822
ENSG00000070831	35149	759.7050	71.7807
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	3592	38.5121	3.6388
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	2846	40.5056	3.8272
ENSG00000074800	360221	6594.2400	623.0557
ENSG00000074964	4612	44.0758	4.1645
ENSG00000075151	9820	87.3805	8.2561
ENSG00000075391	2102	13.3424	1.2607
ENSG00000075945	1258	18.8107	1.7773
ENSG00000076258	234	6.9619	0.6578
ENSG00000076321	1617	28.5094	2.6937
ENSG00000076356	552	3.0037	0.2838
ENSG00000076864	51	0.6054	0.0572
ENSG00000077152	753	53.0282	5.0104
ENSG00000077157	3443	17.9325	1.6944
ENSG00000077254	4265	46.2365	4.3686
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	51254	1104.6000	104.3683
ENSG00000077585	240	7.8877	0.7453
ENSG00000078369	83826	1024.5900	96.8087
ENSG00000078618	23521	266.5220	25.1823
ENSG00000078808	21716	346.7470	32.7624
ENSG00000078900	68	0.9197	0.0869
ENSG00000079277	7385	68.7205	6.4930
ENSG00000079335	2003	26.2250	2.4779
ENSG00000079739	6324	113.9100	10.7628
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	735	8.0859	0.7640
ENSG00000081019	5452	59.9673	5.6660
ENSG00000081026	81	0.7410	0.0700
ENSG00000081237	28618	252.3070	23.8392
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1621	28.1703	2.6617
ENSG00000081721	4365	185.7870	17.5540
ENSG00000081870	2018	54.8695	5.1843
ENSG00000081985	76	1.3513	0.1277
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4513	37.5144	3.5445
ENSG00000083444	11616	163.5460	15.4527
ENSG00000084070	45369	1031.4400	97.4552
ENSG00000084072	4332	40.2515	3.8032
ENSG00000084073	1302	27.3351	2.5828
ENSG00000084623	34608	1504.7000	142.1711
ENSG00000084628	2	0.0502	0.0047
ENSG00000084636	0	0.0016	0.0001
ENSG00000084652	8222	120.8450	11.4181
ENSG00000085433	1474	24.3774	2.3033
ENSG00000085465	164	4.1278	0.3900
ENSG00000085491	6338	72.5916	6.8588
ENSG00000085552	288	3.2681	0.3088
ENSG00000085831	63	0.5030	0.0475
ENSG00000085832	8127	80.7204	7.6269
ENSG00000085840	3400	80.7799	7.6325
ENSG00000085998	5118	60.2991	5.6974
ENSG00000085999	1492	34.8446	3.2923
ENSG00000086015	6122	51.7290	4.8876
ENSG00000086619	1265	16.6748	1.5755
ENSG00000088035	596	9.0396	0.8541
ENSG00000088280	39	0.5977	0.0565
ENSG00000090020	5019	62.9941	5.9520
ENSG00000090104	2462	44.8460	4.2373
ENSG00000090273	11583	304.0680	28.7298
ENSG00000090432	3555	109.4650	10.3428
ENSG00000090621	40796	451.1530	42.6272
ENSG00000090686	7286	57.5373	5.4364
ENSG00000091483	6947	243.2390	22.9825
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	55	0.7337	0.0693
ENSG00000092847	22231	129.3920	12.2256
ENSG00000092850	208	7.8777	0.7443
ENSG00000092853	1776	24.6149	2.3257
ENSG00000092969	8	0.1124	0.0106
ENSG00000092978	832	7.0573	0.6668
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	3131	36.3161	3.4313
ENSG00000097021	6461	99.1432	9.3675
ENSG00000097033	12161	136.6020	12.9068
ENSG00000097046	1070	22.2965	2.1067
ENSG00000097096	3	0.0349	0.0033
ENSG00000099260	7	0.0887	0.0084
ENSG00000107404	4172	89.7659	8.4815
ENSG00000116128	493	5.7607	0.5443
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	243	4.1025	0.3876
ENSG00000116138	1775	15.5422	1.4685
ENSG00000116141	1	0.0105	0.0010
ENSG00000116147	6	0.0827	0.0078
ENSG00000116151	459	6.5794	0.6217
ENSG00000116157	15993	709.3330	67.0212
ENSG00000116161	5993	99.6627	9.4166
ENSG00000116171	7851	70.8995	6.6989
ENSG00000116183	6	0.0412	0.0039
ENSG00000116191	1682	16.9921	1.6055
ENSG00000116194	77	1.6911	0.1598
ENSG00000116198	4208	40.0700	3.7860
ENSG00000116199	7665	95.1975	8.9947
ENSG00000116205	1230	15.8296	1.4957
ENSG00000116209	17664	318.7760	30.1196
ENSG00000116212	1429	44.4446	4.1994
ENSG00000116213	3438	33.9147	3.2044
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	14206	483.4250	45.6763
ENSG00000116237	6830	104.3000	9.8547
ENSG00000116251	38775	593.4880	56.0757
ENSG00000116254	78	0.5908	0.0558
ENSG00000116260	23226	187.0820	17.6764
ENSG00000116266	2335	29.7028	2.8065
ENSG00000116273	1222	24.8905	2.3518
