gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	393	7.6602	1.0257
ENSG00000000460	988	11.6593	1.5612
ENSG00000000938	730	15.5355	2.0802
ENSG00000000971	271	2.4952	0.3341
ENSG00000001460	327	2.8783	0.3854
ENSG00000001461	2084	16.6175	2.2251
ENSG00000004455	6987	92.2053	12.3465
ENSG00000004487	13711	301.0360	40.3094
ENSG00000006555	31	0.3840	0.0514
ENSG00000007341	1074	9.9279	1.3294
ENSG00000007908	3	0.0460	0.0062
ENSG00000007923	2479	36.1191	4.8364
ENSG00000007933	25	0.5409	0.0724
ENSG00000007968	5768	79.2719	10.6147
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7194	114.3580	15.3128
ENSG00000008130	3331	43.5255	5.8282
ENSG00000009307	104087	1356.4800	181.6359
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2512	0.0336
ENSG00000009780	784	20.4458	2.7377
ENSG00000009790	1676	16.2162	2.1714
ENSG00000010072	4337	55.0777	7.3750
ENSG00000010165	2801	54.6635	7.3196
ENSG00000010803	4618	77.8889	10.4295
ENSG00000010932	3	0.0630	0.0084
ENSG00000011007	9694	134.8630	18.0584
ENSG00000011009	2613	89.2345	11.9487
ENSG00000011021	3932	42.8388	5.7362
ENSG00000014914	11	0.1771	0.0237
ENSG00000016490	10	0.2246	0.0301
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0064
ENSG00000020129	1961	29.9077	4.0047
ENSG00000020633	9923	161.6050	21.6392
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	269	15.5358	2.0803
ENSG00000023902	10168	122.2470	16.3692
ENSG00000023909	3466	48.3709	6.4770
ENSG00000024526	1247	15.8367	2.1206
ENSG00000025800	21550	210.2570	28.1538
ENSG00000026751	180	2.9253	0.3917
ENSG00000027644	2	0.0294	0.0039
ENSG00000027869	221	6.5924	0.8827
ENSG00000028137	2097	41.7589	5.5916
ENSG00000031698	4441	86.8376	11.6277
ENSG00000033122	1	0.0062	0.0008
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1683	34.4392	4.6115
ENSG00000036549	6102	50.8079	6.8033
ENSG00000037637	3641	30.3954	4.0700
ENSG00000040487	409	11.4106	1.5279
ENSG00000041988	937	17.2611	2.3113
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1703	41.6008	5.5704
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	23488	173.0420	23.1707
ENSG00000048707	10094	37.2090	4.9824
ENSG00000049089	636	11.4883	1.5383
ENSG00000049239	3815	31.3835	4.2023
ENSG00000049245	14043	381.5920	51.0960
ENSG00000049246	1578	16.6555	2.2302
ENSG00000049247	50	2.0998	0.2812
ENSG00000049249	32	1.0613	0.1421
ENSG00000050628	13	0.1010	0.0135
ENSG00000052723	8811	112.1210	15.0132
ENSG00000053371	4243	178.6900	23.9269
ENSG00000053372	2363	62.7927	8.4081
ENSG00000054116	2147	48.6031	6.5081
ENSG00000054118	5375	85.1204	11.3978
ENSG00000054267	25683	173.9570	23.2932
ENSG00000054277	820	17.6784	2.3672
ENSG00000054282	2139	30.5685	4.0932
ENSG00000054392	799	13.9432	1.8670
ENSG00000054523	555	2.3531	0.3151
ENSG00000055070	14939	236.0290	31.6047
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3746	39.9424	5.3484
ENSG00000057468	20	0.4587	0.0614
ENSG00000057757	8943	306.8260	41.0847
ENSG00000058085	4	0.0459	0.0061
ENSG00000058453	809	4.9466	0.6624
ENSG00000058668	16233	125.2410	16.7700
ENSG00000058673	38444	297.2450	39.8017
ENSG00000058799	1155	38.3136	5.1303
ENSG00000058804	3831	55.9562	7.4926
ENSG00000059588	16208	156.9890	21.0212
ENSG00000060642	630	13.9731	1.8710
ENSG00000060656	14	0.1570	0.0210
ENSG00000060688	3898	72.8910	9.7603
ENSG00000060718	57	0.5169	0.0692
ENSG00000064703	6997	87.1806	11.6737
ENSG00000064886	123	2.8061	0.3757
ENSG00000065135	15175	355.0100	47.5366
ENSG00000065183	939	16.9262	2.2664
ENSG00000065243	8603	91.9875	12.3173
ENSG00000065526	44341	250.1530	33.4961
ENSG00000065600	1655	42.5899	5.7029
ENSG00000065978	65613	2549.7100	341.4114
ENSG00000066027	11833	229.7380	30.7623
ENSG00000066056	2505	28.0698	3.7586
ENSG00000066135	2893	41.9561	5.6180
ENSG00000066136	2329	29.1801	3.9073
ENSG00000066185	142	4.8519	0.6497
ENSG00000066279	6649	45.8075	6.1337
ENSG00000066294	10364	83.9902	11.2465
ENSG00000066322	5324	162.3740	21.7422
ENSG00000066557	4637	120.5960	16.1480
ENSG00000067208	736	6.6770	0.8941
ENSG00000067334	19168	239.4040	32.0567
ENSG00000067533	4676	44.4886	5.9571
ENSG00000067606	630	6.1916	0.8291
ENSG00000067704	5461	98.4111	13.1774
ENSG00000069248	6065	89.9450	12.0438
ENSG00000069275	18168	208.1570	27.8727
ENSG00000069424	24017	221.6720	29.6824
ENSG00000069702	294	2.5477	0.3411
ENSG00000069712	134	2.1737	0.2911
ENSG00000069812	22	0.3052	0.0409
ENSG00000070759	1479	32.0656	4.2936
ENSG00000070785	1135	27.9757	3.7460
ENSG00000070831	29556	638.8230	85.5397
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	21	0.2200	0.0295
ENSG00000073754	745	22.7590	3.0475
ENSG00000073756	8191	116.5930	15.6120
ENSG00000074800	71725	1313.0100	175.8149
ENSG00000074964	4	0.0382	0.0051
ENSG00000075151	19554	173.9910	23.2977
ENSG00000075391	2383	15.1248	2.0252
ENSG00000075945	1366	20.4366	2.7365
ENSG00000076258	146	4.3369	0.5807
ENSG00000076321	1819	32.0736	4.2947
ENSG00000076356	886	4.8243	0.6460
ENSG00000076864	1282	15.1618	2.0302
ENSG00000077152	1543	108.6950	14.5545
ENSG00000077157	5321	27.7124	3.7107
ENSG00000077254	5051	54.7647	7.3331
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	10762	231.9350	31.0566
ENSG00000077585	277	9.1097	1.2198
ENSG00000078369	25906	316.6420	42.3990
ENSG00000078618	13067	148.0620	19.8258
ENSG00000078808	10199	162.8520	21.8062
ENSG00000078900	58	0.7775	0.1041
ENSG00000079277	2543	23.6651	3.1688
ENSG00000079335	5438	71.1862	9.5320
ENSG00000079739	2188	39.4135	5.2776
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	408	4.4863	0.6007
ENSG00000081019	6916	76.0719	10.1862
ENSG00000081026	40	0.3658	0.0490
ENSG00000081237	36954	325.7940	43.6244
ENSG00000081248	5	0.0548	0.0073
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	812	14.1161	1.8902
ENSG00000081721	3576	152.2340	20.3845
ENSG00000081870	1656	45.0047	6.0262
ENSG00000081985	27	0.4867	0.0652
ENSG00000082482	2	0.0384	0.0051
ENSG00000082497	4	0.0549	0.0073
ENSG00000082512	6305	52.4100	7.0178
ENSG00000083444	2027	28.5397	3.8215
ENSG00000084070	9538	216.8400	29.0353
ENSG00000084072	3234	30.0556	4.0245
ENSG00000084073	3546	74.4636	9.9708
ENSG00000084623	24616	1070.2700	143.3108
ENSG00000084628	4	0.1004	0.0134
ENSG00000084636	87	0.6833	0.0915
ENSG00000084652	5597	82.2626	11.0151
ENSG00000085433	5903	97.6060	13.0696
ENSG00000085465	327	8.2189	1.1005
ENSG00000085491	1578	18.0782	2.4207
ENSG00000085552	14	0.1586	0.0212
ENSG00000085831	50	0.4019	0.0538
