gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	363	7.0853	1.0629
ENSG00000000460	1860	21.9512	3.2929
ENSG00000000938	823	17.5204	2.6283
ENSG00000000971	155	1.4248	0.2137
ENSG00000001460	160	1.4091	0.2114
ENSG00000001461	586	4.6761	0.7015
ENSG00000004455	2511	33.1397	4.9713
ENSG00000004487	8759	192.3100	28.8485
ENSG00000006555	16	0.1982	0.0297
ENSG00000007341	786	7.2724	1.0909
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	788	11.4799	1.7221
ENSG00000007933	2	0.0433	0.0065
ENSG00000007968	181	2.4935	0.3741
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3509	55.7806	8.3677
ENSG00000008130	2139	27.9561	4.1937
ENSG00000009307	88692	1155.8500	173.3896
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	9	0.1562	0.0234
ENSG00000009780	1021	26.6175	3.9929
ENSG00000009790	1675	16.2071	2.4312
ENSG00000010072	4317	54.8175	8.2232
ENSG00000010165	325	6.3396	0.9510
ENSG00000010803	7640	128.8450	19.3280
ENSG00000010932	28	0.5876	0.0881
ENSG00000011007	9261	128.8410	19.3275
ENSG00000011009	2439	83.2878	12.4940
ENSG00000011021	2790	30.4001	4.5603
ENSG00000014914	84	1.3714	0.2057
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	497	7.5849	1.1378
ENSG00000020633	3933	64.0532	9.6087
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	317	18.3303	2.7497
ENSG00000023902	15008	180.4480	27.0691
ENSG00000023909	139	1.9390	0.2909
ENSG00000024526	58	0.7359	0.1104
ENSG00000025800	11144	108.7250	16.3098
ENSG00000026751	130	2.1199	0.3180
ENSG00000027644	5	0.0768	0.0115
ENSG00000027869	400	11.9291	1.7895
ENSG00000028137	1852	36.8895	5.5338
ENSG00000031698	3509	68.6082	10.2919
ENSG00000033122	2	0.0125	0.0019
ENSG00000034971	2	0.0720	0.0108
ENSG00000035687	2254	46.1110	6.9171
ENSG00000036549	2628	21.8822	3.2826
ENSG00000037637	5034	42.0242	6.3041
ENSG00000040487	322	9.0037	1.3506
ENSG00000041988	1190	21.9091	3.2866
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1145	27.9726	4.1962
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7810	57.5422	8.6319
ENSG00000048707	1706	6.2880	0.9433
ENSG00000049089	1952	35.2676	5.2905
ENSG00000049239	1406	11.5645	1.7348
ENSG00000049245	15395	418.3460	62.7562
ENSG00000049246	27	0.2903	0.0435
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	15	0.4952	0.0743
ENSG00000050628	4	0.0311	0.0047
ENSG00000052723	4166	53.0105	7.9521
ENSG00000053371	2509	105.6570	15.8496
ENSG00000053372	933	24.8047	3.7210
ENSG00000054116	1416	32.0601	4.8093
ENSG00000054118	4584	72.5982	10.8905
ENSG00000054267	21010	142.3080	21.3477
ENSG00000054277	524	11.2897	1.6936
ENSG00000054282	4672	66.7825	10.0181
ENSG00000054392	315	5.4909	0.8237
ENSG00000054523	3384	14.3467	2.1522
ENSG00000055070	14562	230.0790	34.5143
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6035	64.3596	9.6546
ENSG00000057468	19	0.4461	0.0669
ENSG00000057757	4536	155.6140	23.3438
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	589	3.5990	0.5399
ENSG00000058668	4219	32.5512	4.8830
ENSG00000058673	22271	172.1960	25.8311
ENSG00000058799	1188	39.4020	5.9107
ENSG00000058804	1029	15.0323	2.2550
ENSG00000059588	9245	89.5511	13.4336
ENSG00000060642	693	15.3782	2.3069
ENSG00000060656	13	0.1433	0.0215
ENSG00000060688	2442	45.6537	6.8485
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6050	75.3898	11.3092
ENSG00000064886	71	1.6161	0.2424
ENSG00000065135	15211	355.8510	53.3813
ENSG00000065183	418	7.5393	1.1310
ENSG00000065243	8143	87.0693	13.0613
ENSG00000065526	14295	80.6499	12.0983
ENSG00000065600	2654	68.2986	10.2455
ENSG00000065978	69969	2719.0000	407.8785
ENSG00000066027	11740	227.9250	34.1911
ENSG00000066056	2700	30.2513	4.5380
ENSG00000066135	1210	17.5528	2.6331
ENSG00000066136	2536	31.7645	4.7650
ENSG00000066185	150	5.1116	0.7668
ENSG00000066279	344	2.3712	0.3557
ENSG00000066294	1985	16.0845	2.4128
ENSG00000066322	5073	154.7200	23.2096
ENSG00000066557	3978	103.4480	15.5183
ENSG00000067208	569	5.1556	0.7734
ENSG00000067334	11981	149.6410	22.4476
ENSG00000067533	2132	20.2840	3.0428
ENSG00000067606	40	0.3929	0.0589
ENSG00000067704	2993	53.9320	8.0904
ENSG00000069248	3125	46.3421	6.9518
ENSG00000069275	7731	88.5820	13.2882
ENSG00000069424	17532	161.8120	24.2735
ENSG00000069702	204	1.7715	0.2657
ENSG00000069712	132	2.1464	0.3220
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1384	30.0038	4.5009
ENSG00000070785	243	5.9918	0.8988
ENSG00000070831	46949	1014.7400	152.2214
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	37	0.3985	0.0598
ENSG00000073754	6	0.1820	0.0273
ENSG00000073756	2017	28.7075	4.3064
ENSG00000074800	56373	1031.9600	154.8053
ENSG00000074964	4	0.0382	0.0057
ENSG00000075151	3574	31.7991	4.7702
ENSG00000075391	72	0.4569	0.0685
ENSG00000075945	1970	29.4735	4.4213
ENSG00000076258	196	5.8367	0.8756
ENSG00000076321	1871	32.9784	4.9471
ENSG00000076356	105	0.5725	0.0859
ENSG00000076864	15	0.1774	0.0266
ENSG00000077152	125	8.7972	1.3197
ENSG00000077157	1159	6.0362	0.9055
ENSG00000077254	2538	27.5181	4.1280
ENSG00000077522	32	0.4425	0.0664
ENSG00000077549	11792	254.1390	38.1235
ENSG00000077585	1015	33.4081	5.0116
