gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	566	11.0385	1.4359
ENSG00000000460	1434	16.9268	2.2019
ENSG00000000938	2233	47.5193	6.1815
ENSG00000000971	343	3.1575	0.4108
ENSG00000001460	596	5.2512	0.6831
ENSG00000001461	2164	17.2557	2.2447
ENSG00000004455	10443	137.8240	17.9288
ENSG00000004487	11109	243.9050	31.7283
ENSG00000006555	19	0.2353	0.0306
ENSG00000007341	974	9.0049	1.1714
ENSG00000007908	12	0.2133	0.0277
ENSG00000007923	4794	69.8615	9.0879
ENSG00000007933	61	1.3199	0.1717
ENSG00000007968	1133	15.5716	2.0256
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1965	31.2393	4.0637
ENSG00000008130	3897	50.9244	6.6245
ENSG00000009307	31649	412.4570	53.6543
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	407	10.6130	1.3806
ENSG00000009790	7634	73.8450	9.6061
ENSG00000010072	1176	14.9324	1.9425
ENSG00000010165	2650	51.7080	6.7264
ENSG00000010803	10762	181.4970	23.6099
ENSG00000010932	14	0.2938	0.0382
ENSG00000011007	5572	77.5160	10.0836
ENSG00000011009	5564	190.0160	24.7181
ENSG00000011021	2359	25.7055	3.3439
ENSG00000014914	70	1.1435	0.1488
ENSG00000016490	6	0.1353	0.0176
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	12	0.1442	0.0188
ENSG00000020129	5379	82.0529	10.6738
ENSG00000020633	13315	216.8530	28.2093
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	893	51.5797	6.7097
ENSG00000023902	10435	125.4620	16.3206
ENSG00000023909	648	9.0484	1.1771
ENSG00000024526	154	1.9563	0.2545
ENSG00000025800	6309	61.5507	8.0068
ENSG00000026751	1063	17.3139	2.2523
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	512	15.2970	1.9899
ENSG00000028137	1599	31.8444	4.1425
ENSG00000031698	8194	160.2040	20.8401
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3645	74.5799	9.7017
ENSG00000036549	2092	17.4149	2.2654
ENSG00000037637	2890	24.1268	3.1385
ENSG00000040487	1059	29.5648	3.8459
ENSG00000041988	1484	27.3242	3.5544
ENSG00000042781	0	0.0000	0.0000
