gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	690	13.4566	1.7760
ENSG00000000460	1053	12.4339	1.6410
ENSG00000000938	22379	476.2780	62.8586
ENSG00000000971	116	1.0683	0.1410
ENSG00000001460	308	2.7132	0.3581
ENSG00000001461	1003	7.9995	1.0558
ENSG00000004455	7126	94.0475	12.4123
ENSG00000004487	5694	125.0220	16.5002
ENSG00000006555	22	0.2679	0.0354
ENSG00000007341	743	6.8702	0.9067
ENSG00000007908	4	0.0711	0.0094
ENSG00000007923	1815	26.4498	3.4908
ENSG00000007933	29	0.6281	0.0829
ENSG00000007968	11394	156.6020	20.6682
ENSG00000008118	15	0.4204	0.0555
ENSG00000008128	1937	30.7883	4.0634
ENSG00000008130	8436	110.2400	14.5493
ENSG00000009307	92723	1208.3800	159.4810
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1	0.0235	0.0031
ENSG00000009780	604	15.7625	2.0803
ENSG00000009790	4133	39.9800	5.2765
ENSG00000010072	2940	37.3329	4.9271
ENSG00000010165	1287	25.1171	3.3149
ENSG00000010803	3585	60.4608	7.9795
ENSG00000010932	10	0.2098	0.0277
ENSG00000011007	5280	73.4506	9.6939
ENSG00000011009	1960	66.9440	8.8352
ENSG00000011021	5098	55.5398	7.3301
ENSG00000014914	10095	164.9210	21.7661
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0299	0.0039
ENSG00000020129	609	9.2955	1.2268
ENSG00000020633	26936	438.7010	57.8992
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	229	13.2440	1.7480
ENSG00000023902	8872	106.6690	14.0780
ENSG00000023909	5190	72.4287	9.5591
ENSG00000024526	2189	27.8040	3.6695
ENSG00000025800	13388	130.6190	17.2390
ENSG00000026751	555	9.0332	1.1922
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	206	6.1433	0.8108
ENSG00000028137	69785	1389.7600	183.4193
ENSG00000031698	6144	120.1310	15.8547
ENSG00000033122	83	0.5167	0.0682
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3746	76.6274	10.1132
ENSG00000036549	3216	26.7728	3.5334
ENSG00000037637	4626	38.6204	5.0971
ENSG00000040487	663	18.5249	2.4449
ENSG00000041988	876	16.1336	2.1293
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	859	20.9863	2.7697
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9236	68.0438	8.9803
ENSG00000048707	4773	17.5948	2.3221
ENSG00000049089	897	16.2026	2.1384
ENSG00000049239	2627	21.6081	2.8518
ENSG00000049245	17714	481.3490	63.5279
ENSG00000049246	847	8.9454	1.1806
ENSG00000049247	3	0.1262	0.0167
ENSG00000049249	180	5.9264	0.7822
ENSG00000050628	45	0.3496	0.0461
ENSG00000052723	4700	59.8095	7.8936
ENSG00000053371	3069	129.2270	17.0552
ENSG00000053372	1645	43.7094	5.7687
ENSG00000054116	1617	36.6037	4.8309
ENSG00000054118	10181	161.2260	21.2783
ENSG00000054267	11027	74.6873	9.8571
ENSG00000054277	2033	43.8210	5.7834
ENSG00000054282	1340	19.1544	2.5280
ENSG00000054392	136	2.3741	0.3133
ENSG00000054523	4767	20.2062	2.6668
ENSG00000055070	13680	216.1350	28.5252
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	12125	129.2990	17.0648
ENSG00000057468	5	0.1148	0.0152
ENSG00000057757	8241	282.7300	37.3143
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	296	1.8100	0.2389
ENSG00000058668	7709	59.4800	7.8501
ENSG00000058673	20842	161.1530	21.2688
ENSG00000058799	2095	69.5082	9.1736
ENSG00000058804	3561	52.0138	6.8647
ENSG00000059588	2373	22.9880	3.0339
ENSG00000060642	646	14.3285	1.8911
ENSG00000060656	20	0.2239	0.0295
ENSG00000060688	2655	49.6432	6.5519
ENSG00000060718	0	0.0044	0.0006
ENSG00000064703	3595	44.7908	5.9114
ENSG00000064886	102	2.3253	0.3069
ENSG00000065135	16497	385.9300	50.9345
ENSG00000065183	734	13.2291	1.7460
ENSG00000065243	4419	47.2506	6.2361
ENSG00000065526	25476	143.7270	18.9689
ENSG00000065600	1924	49.5113	6.5344
ENSG00000065978	67293	2615.0100	345.1265
ENSG00000066027	8358	162.2690	21.4161
ENSG00000066056	282	3.1643	0.4176
ENSG00000066135	1154	16.7297	2.2080
ENSG00000066136	4138	51.8353	6.8412
ENSG00000066185	79	2.6957	0.3558
ENSG00000066279	3067	21.1261	2.7882
ENSG00000066294	2792	22.6255	2.9861
ENSG00000066322	11860	361.7250	47.7401
ENSG00000066557	2914	75.7781	10.0011
ENSG00000067208	1878	17.0297	2.2476
ENSG00000067334	18152	226.7160	29.9218
ENSG00000067533	1509	14.3574	1.8949
ENSG00000067606	257	2.5244	0.3332
ENSG00000067704	5343	96.2780	12.7067
ENSG00000069248	3600	53.3985	7.0475
ENSG00000069275	18377	210.5510	27.7883
ENSG00000069424	15504	143.0970	18.8858
ENSG00000069702	321	2.7818	0.3671
ENSG00000069712	10	0.1622	0.0214
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2020	43.7757	5.7775
ENSG00000070785	1216	29.9777	3.9564
ENSG00000070831	34615	748.1530	98.7403
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	60	0.6449	0.0851
ENSG00000073754	50	1.5269	0.2015
ENSG00000073756	17898	254.7650	33.6236
ENSG00000074800	109599	2006.3300	264.7933
ENSG00000074964	833	7.9615	1.0508
ENSG00000075151	5678	50.5238	6.6681
ENSG00000075391	464	2.9442	0.3886
ENSG00000075945	1088	16.2792	2.1485
ENSG00000076258	127	3.7819	0.4991
ENSG00000076321	968	17.0618	2.2518
ENSG00000076356	370	2.0121	0.2656
ENSG00000076864	440	5.2015	0.6865
ENSG00000077152	2035	143.3310	18.9166
ENSG00000077157	4655	24.2468	3.2001
ENSG00000077254	4118	44.6430	5.8919
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	18001	387.9530	51.2016
ENSG00000077585	1052	34.6297	4.5704
ENSG00000078369	30594	373.9540	49.3540
ENSG00000078618	9665	109.5100	14.4530
ENSG00000078808	6810	108.7410	14.3516
ENSG00000078900	45	0.6076	0.0802
ENSG00000079277	3498	32.5500	4.2959
ENSG00000079335	2664	34.8687	4.6019
ENSG00000079739	2809	50.5946	6.6774
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	37	0.4073	0.0538
ENSG00000081019	9728	106.9910	14.1206
ENSG00000081026	162	1.4823	0.1956
ENSG00000081237	49468	436.1270	57.5596
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	451	7.8382	1.0345
ENSG00000081721	1721	73.2526	9.6678
ENSG00000081870	1405	38.1921	5.0405
ENSG00000081985	341	6.0473	0.7981
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	1	0.0137	0.0018
ENSG00000082512	977	8.1239	1.0722
ENSG00000083444	3129	44.0469	5.8133
ENSG00000084070	17019	386.9200	51.0652
ENSG00000084072	1498	13.9233	1.8376
ENSG00000084073	2769	58.1450	7.6739
ENSG00000084623	21564	937.5690	123.7392
ENSG00000084628	16	0.4017	0.0530
ENSG00000084636	27	0.2120	0.0280
ENSG00000084652	1813	26.6469	3.5168
ENSG00000085433	1720	28.4310	3.7523
ENSG00000085465	430	10.7905	1.4241
ENSG00000085491	5133	58.7912	7.7592
ENSG00000085552	69	0.7767	0.1025
ENSG00000085831	176	1.4109	0.1862
ENSG00000085832	13432	133.4150	17.6080
ENSG00000085840	6609	157.0010	20.7208
ENSG00000085998	461	5.4326	0.7170
ENSG00000085999	587	13.7133	1.8098
ENSG00000086015	2261	19.1031	2.5212
ENSG00000086619	1429	18.8411	2.4866
ENSG00000088035	611	9.2671	1.2231
ENSG00000088280	10	0.1533	0.0202
ENSG00000090020	5073	63.6750	8.4037
ENSG00000090104	4135	75.3350	9.9426
ENSG00000090273	4645	121.9370	16.0931
ENSG00000090432	2527	77.7976	10.2676
ENSG00000090621	24657	272.6710	35.9868
ENSG00000090686	5675	44.8184	5.9151
ENSG00000091483	2721	95.2600	12.5723
ENSG00000092607	8	0.1576	0.0208
ENSG00000092621	1775	23.6852	3.1259
ENSG00000092847	7596	44.2079	5.8345
