gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	958	18.6995	2.4089
ENSG00000000460	822	9.7024	1.2499
ENSG00000000938	6807	144.8760	18.6629
ENSG00000000971	62	0.5724	0.0737
ENSG00000001460	708	6.2377	0.8035
ENSG00000001461	2178	17.3676	2.2373
ENSG00000004455	4973	65.6277	8.4541
ENSG00000004487	7805	171.3600	22.0745
ENSG00000006555	121	1.4941	0.1925
ENSG00000007341	1146	10.5996	1.3654
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1996	29.0857	3.7468
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	572	7.8629	1.0129
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4125	65.5767	8.4476
ENSG00000008130	5027	65.7005	8.4635
ENSG00000009307	91578	1193.4600	153.7409
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	31	0.5502	0.0709
ENSG00000009780	1190	31.0303	3.9973
ENSG00000009790	4132	39.9756	5.1496
ENSG00000010072	4159	52.8151	6.8036
ENSG00000010165	538	10.4996	1.3526
ENSG00000010803	6637	111.9360	14.4196
ENSG00000010932	14	0.2938	0.0378
ENSG00000011007	16634	231.4120	29.8104
ENSG00000011009	2251	76.8889	9.9048
ENSG00000011021	5534	60.2897	7.7665
ENSG00000014914	1812	29.6055	3.8138
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1578	24.0677	3.1004
ENSG00000020633	13943	227.0860	29.2532
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	186	10.7344	1.3828
ENSG00000023902	14394	173.0650	22.2942
ENSG00000023909	393	5.4832	0.7063
ENSG00000024526	122	1.5552	0.2003
ENSG00000025800	11954	116.6270	15.0239
ENSG00000026751	668	10.8803	1.4016
ENSG00000027644	9	0.1255	0.0162
ENSG00000027869	387	11.5442	1.4871
ENSG00000028137	5967	118.8230	15.3068
ENSG00000031698	4983	97.4340	12.5514
ENSG00000033122	4	0.0250	0.0032
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4520	92.4673	11.9116
ENSG00000036549	4763	39.6532	5.1081
ENSG00000037637	4302	35.9177	4.6269
ENSG00000040487	513	14.3343	1.8465
ENSG00000041988	897	16.5263	2.1289
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	613	14.9814	1.9299
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18858	138.9370	17.8978
ENSG00000048707	8019	29.5581	3.8077
ENSG00000049089	1553	28.0622	3.6150
ENSG00000049239	4222	34.7341	4.4744
ENSG00000049245	18891	513.3340	66.1276
ENSG00000049246	190	2.0079	0.2587
ENSG00000049247	17	0.7134	0.0919
ENSG00000049249	28	0.9203	0.1186
ENSG00000050628	14	0.1088	0.0140
ENSG00000052723	5480	69.7362	8.9834
ENSG00000053371	2661	112.0680	14.4366
ENSG00000053372	1821	48.3873	6.2332
ENSG00000054116	1643	37.1938	4.7913
ENSG00000054118	8555	135.4710	17.4514
ENSG00000054267	23703	160.5440	20.6813
ENSG00000054277	2036	43.8764	5.6522
ENSG00000054282	5151	73.6272	9.4846
ENSG00000054392	342	5.9709	0.7692
ENSG00000054523	4632	19.6356	2.5295
ENSG00000055070	14282	225.6430	29.0673
ENSG00000055732	6	0.0676	0.0087
ENSG00000057252	5393	57.5075	7.4081
ENSG00000057468	8	0.1791	0.0231
ENSG00000057757	5638	193.4400	24.9189
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1082	6.6171	0.8524
ENSG00000058668	5105	39.3897	5.0742
ENSG00000058673	26820	207.3710	26.7135
ENSG00000058799	1553	51.5011	6.6344
ENSG00000058804	1933	28.2376	3.6376
ENSG00000059588	14315	138.6600	17.8622
ENSG00000060642	1026	22.7632	2.9324
ENSG00000060656	31	0.3445	0.0444
ENSG00000060688	2426	45.3628	5.8436
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	7675	95.6353	12.3197
ENSG00000064886	691	15.7290	2.0262
ENSG00000065135	17349	405.8650	52.2834
ENSG00000065183	933	16.8319	2.1683
ENSG00000065243	8246	88.1751	11.3587
ENSG00000065526	36318	204.8920	26.3941
ENSG00000065600	2228	57.3504	7.3879
ENSG00000065978	66045	2566.5300	330.6204
