gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	376	7.3293	1.2142
ENSG00000000460	903	10.6596	1.7659
ENSG00000000938	11597	246.8120	40.8876
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	381	3.3556	0.5559
ENSG00000001461	1212	9.6657	1.6012
ENSG00000004455	5979	78.9071	13.0720
ENSG00000004487	5236	114.9480	19.0427
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	795	7.3517	1.2179
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2543	37.0497	6.1378
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1168	16.0579	2.6602
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1366	21.7202	3.5982
ENSG00000008130	4587	59.9462	9.9309
ENSG00000009307	16349	213.0590	35.2960
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2470	0.0409
ENSG00000009780	373	9.7267	1.6114
ENSG00000009790	4378	42.3479	7.0155
ENSG00000010072	215	2.7342	0.4530
ENSG00000010165	977	19.0625	3.1579
ENSG00000010803	6799	114.6730	18.9971
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4386	61.0228	10.1092
ENSG00000011009	3780	129.1010	21.3872
ENSG00000011021	1540	16.7814	2.7801
ENSG00000014914	5143	84.0118	13.9176
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1873	28.5709	4.7331
ENSG00000020633	535	8.7058	1.4422
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	485	27.9915	4.6371
ENSG00000023902	16565	199.1650	32.9943
ENSG00000023909	259	3.6185	0.5995
ENSG00000024526	99	1.2576	0.2083
ENSG00000025800	4345	42.3952	7.0233
ENSG00000026751	229	3.7300	0.6179
ENSG00000027644	35	0.5140	0.0852
ENSG00000027869	187	5.5792	0.9243
ENSG00000028137	10860	216.2670	35.8275
ENSG00000031698	4955	96.8725	16.0482
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2471	50.5540	8.3749
ENSG00000036549	1534	12.7701	2.1155
ENSG00000037637	1845	15.4012	2.5514
ENSG00000040487	661	18.4676	3.0594
ENSG00000041988	439	8.0855	1.3395
ENSG00000042781	4	0.0146	0.0024
ENSG00000043514	462	11.2794	1.8686
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2811	20.7088	3.4307
ENSG00000048707	2357	8.6877	1.4392
ENSG00000049089	882	15.9277	2.6386
ENSG00000049239	2954	24.3011	4.0258
ENSG00000049245	6931	188.3390	31.2009
ENSG00000049246	59	0.6229	0.1032
ENSG00000049247	65	2.7134	0.4495
ENSG00000049249	4	0.1313	0.0218
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1512	19.2367	3.1868
ENSG00000053371	6656	280.3100	46.4370
ENSG00000053372	2590	68.8395	11.4042
ENSG00000054116	2728	61.7576	10.2310
ENSG00000054118	5027	79.6014	13.1870
ENSG00000054267	2332	15.7959	2.6168
ENSG00000054277	2644	56.9810	9.4397
ENSG00000054282	2281	32.5992	5.4005
ENSG00000054392	276	4.8098	0.7968
ENSG00000054523	1363	5.7773	0.9571
ENSG00000055070	9966	157.4500	26.0837
