gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	278	5.4230	1.2044
ENSG00000000460	345	4.0707	0.9041
ENSG00000000938	525	11.1649	2.4797
ENSG00000000971	20	0.1839	0.0408
ENSG00000001460	78	0.6887	0.1530
ENSG00000001461	797	6.3588	1.4123
ENSG00000004455	2562	33.8154	7.5103
ENSG00000004487	9318	204.5720	45.4347
ENSG00000006555	24	0.2974	0.0661
ENSG00000007341	836	7.7323	1.7173
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1256	18.2994	4.0642
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4118	56.5985	12.5703
ENSG00000008118	0	0.0019	0.0004
ENSG00000008128	2974	47.2840	10.5016
ENSG00000008130	2126	27.7888	6.1718
ENSG00000009307	54258	707.1010	157.0442
ENSG00000009709	8	0.0950	0.0211
ENSG00000009724	42	0.7445	0.1654
ENSG00000009780	1091	28.4423	6.3169
ENSG00000009790	1439	13.9247	3.0926
ENSG00000010072	1619	20.5604	4.5664
ENSG00000010165	347	6.7801	1.5058
ENSG00000010803	4507	76.0128	16.8821
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7394	102.8720	22.8475
ENSG00000011009	1518	51.8602	11.5180
ENSG00000011021	2373	25.8569	5.7427
ENSG00000014914	49	0.8059	0.1790
ENSG00000016490	30	0.6805	0.1512
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0357	0.0079
ENSG00000020129	791	12.0604	2.6786
ENSG00000020633	25457	414.6070	92.0825
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	204	11.7629	2.6124
ENSG00000023902	10994	132.1760	29.3559
ENSG00000023909	491	6.8524	1.5219
ENSG00000024526	248	3.1479	0.6991
ENSG00000025800	14451	140.9930	31.3140
ENSG00000026751	542	8.8328	1.9617
ENSG00000027644	16	0.2284	0.0507
ENSG00000027869	246	7.3431	1.6309
ENSG00000028137	2161	43.0292	9.5566
ENSG00000031698	2600	50.8355	11.2904
ENSG00000033122	4	0.0250	0.0055
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1224	25.0355	5.5603
ENSG00000036549	3623	30.1615	6.6988
ENSG00000037637	3787	31.6173	7.0221
ENSG00000040487	317	8.8578	1.9673
ENSG00000041988	785	14.4622	3.2120
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	954	23.3045	5.1758
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20385	150.1870	33.3560
ENSG00000048707	5118	18.8650	4.1898
ENSG00000049089	151	2.7340	0.6072
ENSG00000049239	4020	33.0704	7.3448
ENSG00000049245	5938	161.3460	35.8342
ENSG00000049246	132	1.3939	0.3096
ENSG00000049247	28	1.1778	0.2616
ENSG00000049249	34	1.1279	0.2505
ENSG00000050628	113	0.8778	0.1950
ENSG00000052723	2541	32.3342	7.1813
ENSG00000053371	1724	72.6047	16.1252
ENSG00000053372	940	24.9894	5.5501
ENSG00000054116	1622	36.7190	8.1551
ENSG00000054118	11178	177.0170	39.3147
ENSG00000054267	23088	156.3770	34.7308
ENSG00000054277	1227	26.4529	5.8751
ENSG00000054282	966	13.8128	3.0678
ENSG00000054392	425	7.4248	1.6490
ENSG00000054523	2863	12.1349	2.6951
ENSG00000055070	13588	214.6900	47.6817
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2435	25.9650	5.7667
ENSG00000057468	1	0.0251	0.0056
ENSG00000057757	4544	155.8840	34.6213
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1167	7.1340	1.5844
ENSG00000058668	8717	67.2567	14.9374
ENSG00000058673	20331	157.1950	34.9124
ENSG00000058799	379	12.5657	2.7908
ENSG00000058804	1489	21.7496	4.8305
ENSG00000059588	7007	67.8729	15.0743
ENSG00000060642	568	12.6064	2.7999
ENSG00000060656	15	0.1645	0.0365
ENSG00000060688	2727	50.9968	11.3262
ENSG00000060718	4	0.0363	0.0081
ENSG00000064703	4075	50.7739	11.2767
ENSG00000064886	57	1.3041	0.2896
ENSG00000065135	8726	204.1280	45.3360
ENSG00000065183	421	7.5977	1.6874
ENSG00000065243	7092	75.8355	16.8427
ENSG00000065526	40872	230.5870	51.2125
ENSG00000065600	627	16.1280	3.5820
ENSG00000065978	40838	1586.9900	352.4635
ENSG00000066027	6105	118.5370	26.3266
ENSG00000066056	424	4.7454	1.0540
ENSG00000066135	2216	32.1340	7.1368
ENSG00000066136	3028	37.9382	8.4259
ENSG00000066185	71	2.4251	0.5386
ENSG00000066279	2735	18.8447	4.1853
ENSG00000066294	1624	13.1606	2.9229
ENSG00000066322	2292	69.9158	15.5280
ENSG00000066557	2486	64.6460	14.3576
ENSG00000067208	226	2.0455	0.4543
ENSG00000067334	11044	137.9370	30.6352
ENSG00000067533	3089	29.3865	6.5266
ENSG00000067606	229	2.2538	0.5006
ENSG00000067704	3513	63.3059	14.0600
ENSG00000069248	2994	44.3998	9.8610
ENSG00000069275	16509	189.1500	42.0095
ENSG00000069424	7431	68.5820	15.2318
ENSG00000069702	229	1.9881	0.4415
ENSG00000069712	64	1.0387	0.2307
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	841	18.2355	4.0501
ENSG00000070785	461	11.3671	2.5246
ENSG00000070831	25024	540.8740	120.1259
ENSG00000070886	6	0.0840	0.0187
ENSG00000072694	59	0.6301	0.1399
ENSG00000073754	117	3.5688	0.7926
ENSG00000073756	1029	14.6514	3.2540
ENSG00000074800	67431	1234.4000	274.1554
ENSG00000074964	16	0.1490	0.0331
ENSG00000075151	4057	36.0984	8.0173
ENSG00000075391	371	2.3553	0.5231
ENSG00000075945	919	13.7507	3.0540
ENSG00000076258	62	1.8427	0.4092
ENSG00000076321	1318	23.2330	5.1599
ENSG00000076356	280	1.5235	0.3384
ENSG00000076864	438	5.1778	1.1500
ENSG00000077152	368	25.9127	5.7551
ENSG00000077157	3235	16.8510	3.7425
ENSG00000077254	4013	43.5068	9.6627
ENSG00000077522	78	1.0735	0.2384
ENSG00000077549	6839	147.3940	32.7356
ENSG00000077585	177	5.8144	1.2914
ENSG00000078369	18435	225.3360	50.0462
ENSG00000078618	7274	82.4211	18.3054
ENSG00000078808	3856	61.5791	13.6765
ENSG00000078900	18	0.2430	0.0540
ENSG00000079277	1214	11.2927	2.5081
ENSG00000079335	4962	64.9609	14.4276
ENSG00000079739	1704	30.6828	6.8145
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	265	2.9155	0.6475
ENSG00000081019	5849	64.3323	14.2879
ENSG00000081026	35	0.3172	0.0705
ENSG00000081237	14098	124.2920	27.6048
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	293	5.1010	1.1329
ENSG00000081721	1846	78.5670	17.4494
ENSG00000081870	1054	28.6571	6.3646
ENSG00000081985	788	13.9688	3.1024
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	5582	46.4031	10.3060
ENSG00000083444	396	5.5767	1.2385
ENSG00000084070	11757	267.2870	59.3634
ENSG00000084072	801	7.4439	1.6533
