gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	881	17.1863	1.7193
ENSG00000000460	430	5.0733	0.5075
ENSG00000000938	17005	361.9200	36.2062
ENSG00000000971	1245	11.4688	1.1473
ENSG00000001460	242	2.1346	0.2135
ENSG00000001461	1731	13.8063	1.3812
ENSG00000004455	14541	191.9030	19.1979
ENSG00000004487	5666	124.4100	12.4459
ENSG00000006555	24	0.2983	0.0298
ENSG00000007341	717	6.6264	0.6629
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1796	26.1665	2.6177
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	716	9.8378	0.9842
ENSG00000008118	4	0.1121	0.0112
ENSG00000008128	2071	32.9275	3.2940
ENSG00000008130	3496	45.6837	4.5702
ENSG00000009307	54628	711.9150	71.2194
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0071
ENSG00000009780	767	20.0028	2.0011
ENSG00000009790	2644	25.5800	2.5590
ENSG00000010072	2103	26.7064	2.6717
ENSG00000010165	507	9.8983	0.9902
ENSG00000010803	3365	56.7533	5.6776
ENSG00000010932	16	0.3358	0.0336
ENSG00000011007	5880	81.8004	8.1832
ENSG00000011009	4012	137.0100	13.7064
ENSG00000011021	2123	23.1315	2.3141
ENSG00000014914	681	11.1224	1.1127
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2309	35.2160	3.5230
ENSG00000020633	13425	218.6450	21.8731
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	870	50.2294	5.0249
ENSG00000023902	19266	231.6380	23.1729
ENSG00000023909	720	10.0508	1.0055
ENSG00000024526	87	1.1052	0.1106
ENSG00000025800	10095	98.4919	9.8531
ENSG00000026751	171	2.7850	0.2786
ENSG00000027644	9	0.1323	0.0132
ENSG00000027869	1304	38.9347	3.8950
ENSG00000028137	14197	282.7290	28.2840
ENSG00000031698	6425	125.6210	12.5671
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2285	46.7376	4.6756
ENSG00000036549	4074	33.9159	3.3929
ENSG00000037637	3614	30.1671	3.0179
ENSG00000040487	1517	42.3488	4.2365
ENSG00000041988	646	11.9057	1.1910
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	555	13.5604	1.3566
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4469	32.9278	3.2941
ENSG00000048707	3073	11.3280	1.1332
ENSG00000049089	3120	56.3669	5.6389
ENSG00000049239	3141	25.8381	2.5848
ENSG00000049245	15828	430.1190	43.0288
ENSG00000049246	1272	13.4310	1.3436
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	76	2.5105	0.2511
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3060	38.9398	3.8955
ENSG00000053371	13809	581.5170	58.1745
ENSG00000053372	1942	51.6049	5.1625
ENSG00000054116	2903	65.7117	6.5738
ENSG00000054118	9925	157.1750	15.7237
ENSG00000054267	8037	54.4376	5.4459
ENSG00000054277	6894	148.5870	14.8646
ENSG00000054282	2647	37.8426	3.7857
ENSG00000054392	429	7.4949	0.7498
ENSG00000054523	1553	6.5847	0.6587
ENSG00000055070	20208	319.2710	31.9397
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2725	29.0610	2.9072
ENSG00000057468	24	0.5511	0.0551
ENSG00000057757	6444	221.0740	22.1160
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	187	1.1435	0.1144
ENSG00000058668	7442	57.4151	5.7438
ENSG00000058673	13260	102.5260	10.2566
ENSG00000058799	2386	79.1406	7.9172
ENSG00000058804	2062	30.1168	3.0129
ENSG00000059588	4360	42.2340	4.2251
ENSG00000060642	488	10.8161	1.0820
ENSG00000060656	95	1.0648	0.1065
ENSG00000060688	1900	35.5365	3.5550
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3012	37.5283	3.7543
ENSG00000064886	144	3.2750	0.3276
ENSG00000065135	9345	218.6100	21.8696
ENSG00000065183	368	6.6307	0.6633
ENSG00000065243	3698	39.5386	3.9554
ENSG00000065526	33562	189.3440	18.9418
ENSG00000065600	4843	124.6530	12.4702
ENSG00000065978	118025	4586.4800	458.8279
ENSG00000066027	5684	110.3640	11.0407
ENSG00000066056	2685	30.0822	3.0094
ENSG00000066135	2078	30.1276	3.0139
ENSG00000066136	4185	52.4231	5.2444
ENSG00000066185	1198	40.9262	4.0942
ENSG00000066279	460	3.1694	0.3171
ENSG00000066294	10749	87.1068	8.7141
ENSG00000066322	6788	207.0450	20.7126
ENSG00000066557	998	25.9508	2.5961
ENSG00000067208	856	7.7620	0.7765
ENSG00000067334	6086	76.0115	7.6041
ENSG00000067533	969	9.2191	0.9223
ENSG00000067606	141	1.3849	0.1385
ENSG00000067704	6140	110.6470	11.0690
ENSG00000069248	1589	23.5683	2.3578
ENSG00000069275	8190	93.8379	9.3875
ENSG00000069424	36966	341.1780	34.1312
ENSG00000069702	105	0.9100	0.0910
ENSG00000069712	2	0.0324	0.0032
ENSG00000069812	10	0.1387	0.0139
ENSG00000070759	671	14.5358	1.4542
ENSG00000070785	793	19.5455	1.9553
ENSG00000070831	48278	1043.4800	104.3888
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2960	31.7278	3.1740
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4597	65.4331	6.5459
ENSG00000074800	197922	3623.1800	362.4603
ENSG00000074964	290	2.7718	0.2773
ENSG00000075151	8556	76.1318	7.6162
ENSG00000075391	2958	18.7731	1.8781
ENSG00000075945	1018	15.2208	1.5227
ENSG00000076258	176	5.2428	0.5245
ENSG00000076321	1540	27.1587	2.7169
ENSG00000076356	507	2.7594	0.2760
ENSG00000076864	69	0.8137	0.0814
ENSG00000077152	723	50.9296	5.0950
ENSG00000077157	2303	11.9965	1.2001
ENSG00000077254	1681	18.2271	1.8234
ENSG00000077522	16	0.2214	0.0222
ENSG00000077549	35642	768.1400	76.8441
ENSG00000077585	1342	44.1584	4.4176
ENSG00000078369	51956	635.0520	63.5301
ENSG00000078618	13256	150.2000	15.0258
ENSG00000078808	21249	339.2990	33.9433
ENSG00000078900	197	2.6587	0.2660
ENSG00000079277	5549	51.6325	5.1653
ENSG00000079335	2073	27.1375	2.7148
ENSG00000079739	5657	101.8960	10.1936
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	49	0.5394	0.0540
ENSG00000081019	6219	68.4034	6.8430
ENSG00000081026	28	0.2567	0.0257
ENSG00000081237	33550	295.7880	29.5904
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1053	18.2976	1.8305
ENSG00000081721	5969	254.0550	25.4155
ENSG00000081870	3914	106.4020	10.6443
ENSG00000081985	56	0.9922	0.0993
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2480	20.6186	2.0627
ENSG00000083444	8738	123.0240	12.3073
ENSG00000084070	35964	817.6140	81.7935
ENSG00000084072	3483	32.3622	3.2375
ENSG00000084073	1459	30.6285	3.0640
ENSG00000084623	35394	1538.8900	153.9489
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	4689	68.9222	6.8949
ENSG00000085433	1641	27.1270	2.7138
ENSG00000085465	156	3.9254	0.3927
ENSG00000085491	4367	50.0170	5.0037
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	80	0.6405	0.0641
ENSG00000085832	6326	62.8296	6.2854
ENSG00000085840	1219	28.9585	2.8970
ENSG00000085998	2473	29.1407	2.9152
ENSG00000085999	223	5.2170	0.5219
ENSG00000086015	2202	18.6060	1.8613
ENSG00000086619	1070	14.1123	1.4118
ENSG00000088035	538	8.1601	0.8163
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	2974	37.3354	3.7350
ENSG00000090104	2633	47.9575	4.7976
ENSG00000090273	9150	240.2020	24.0296
ENSG00000090432	5206	160.2790	16.0342
ENSG00000090621	26847	296.8910	29.7008
ENSG00000090686	7456	58.8798	5.8903
ENSG00000091483	4858	170.1100	17.0176
ENSG00000092607	56	1.1035	0.1104
ENSG00000092621	6044	80.6261	8.0658
ENSG00000092847	6264	36.4558	3.6470
ENSG00000092850	37	1.4055	0.1406
ENSG00000092853	519	7.1894	0.7192
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	909	7.7123	0.7715
ENSG00000094963	22	0.2645	0.0265
ENSG00000094975	2775	32.1812	3.2194
ENSG00000097021	4903	75.2302	7.5260
