gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	408	7.9675	1.1176
ENSG00000000460	1110	13.1054	1.8384
ENSG00000000938	5242	111.5580	15.6487
ENSG00000000971	10	0.0921	0.0129
ENSG00000001460	252	2.2198	0.3114
ENSG00000001461	1882	15.0116	2.1057
ENSG00000004455	7073	93.3430	13.0936
ENSG00000004487	8709	191.2130	26.8222
ENSG00000006555	102	1.2694	0.1781
ENSG00000007341	1327	12.2704	1.7212
ENSG00000007908	10	0.1778	0.0249
ENSG00000007923	2826	41.1754	5.7758
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1565	21.5083	3.0171
ENSG00000008118	39	1.1050	0.1550
ENSG00000008128	2154	34.2435	4.8035
ENSG00000008130	5462	71.3746	10.0120
ENSG00000009307	26293	342.6590	48.0662
ENSG00000009709	3251	38.6224	5.4177
ENSG00000009724	2	0.0353	0.0049
ENSG00000009780	384	10.0017	1.4030
ENSG00000009790	2442	23.6241	3.3139
ENSG00000010072	1085	13.7819	1.9332
ENSG00000010165	529	10.3167	1.4472
ENSG00000010803	10804	182.2090	25.5593
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7428	103.3420	14.4962
ENSG00000011009	5540	189.2010	26.5400
ENSG00000011021	2148	23.4031	3.2828
ENSG00000014914	97	1.5809	0.2218
ENSG00000016490	604	13.5587	1.9019
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	7650	116.6810	16.3673
ENSG00000020633	10928	177.9840	24.9666
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1597	92.2002	12.9333
ENSG00000023902	13564	163.0840	22.8766
ENSG00000023909	203	2.8288	0.3968
ENSG00000024526	255	3.2359	0.4539
ENSG00000025800	9295	90.6858	12.7209
ENSG00000026751	64	1.0400	0.1459
ENSG00000027644	343	5.0388	0.7068
ENSG00000027869	2448	73.1011	10.2542
ENSG00000028137	2419	48.1734	6.7575
ENSG00000031698	5447	106.4930	14.9382
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1677	34.3172	4.8138
ENSG00000036549	2443	20.3411	2.8533
ENSG00000037637	3226	26.9337	3.7781
ENSG00000040487	2140	59.7483	8.3812
ENSG00000041988	1316	24.2441	3.4008
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	843	20.5764	2.8863
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9186	67.6787	9.4936
ENSG00000048707	2310	8.5168	1.1947
ENSG00000049089	755	13.6391	1.9132
ENSG00000049239	3034	24.9614	3.5014
ENSG00000049245	6918	187.9950	26.3709
ENSG00000049246	74	0.7841	0.1100
ENSG00000049247	6	0.2524	0.0354
ENSG00000049249	48	1.5740	0.2208
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1446	18.3953	2.5804
ENSG00000053371	12346	519.9150	72.9307
ENSG00000053372	2645	70.3005	9.8613
ENSG00000054116	3898	88.2445	12.3784
ENSG00000054118	12603	199.5870	27.9969
ENSG00000054267	8110	54.9301	7.7053
ENSG00000054277	1938	41.7612	5.8580
ENSG00000054282	2128	30.4164	4.2666
ENSG00000054392	431	7.5272	1.0559
ENSG00000054523	1254	5.3162	0.7457
ENSG00000055070	19615	309.9020	43.4713
ENSG00000055732	4	0.0453	0.0064
ENSG00000057252	949	10.1193	1.4195
ENSG00000057468	12	0.2768	0.0388
ENSG00000057757	6093	209.0410	29.3231
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	786	4.8068	0.6743
ENSG00000058668	9033	69.6905	9.7758
ENSG00000058673	12617	97.5567	13.6847
ENSG00000058799	2492	82.6599	11.5951
ENSG00000058804	3026	44.2014	6.2003
ENSG00000059588	5209	50.4549	7.0775
ENSG00000060642	984	21.8258	3.0616
ENSG00000060656	10	0.1119	0.0157
ENSG00000060688	2974	55.6136	7.8011
ENSG00000060718	96	0.8711	0.1222
ENSG00000064703	1851	23.0665	3.2356
ENSG00000064886	67	1.5244	0.2138
ENSG00000065135	3316	77.5749	10.8818
ENSG00000065183	383	6.8993	0.9678
ENSG00000065243	2224	23.7816	3.3359
ENSG00000065526	27192	153.4100	21.5195
ENSG00000065600	1535	39.5031	5.5413
ENSG00000065978	134796	5238.1900	734.7828
ENSG00000066027	5799	112.5860	15.7929
ENSG00000066056	3254	36.4580	5.1141
ENSG00000066135	1246	18.0665	2.5343
ENSG00000066136	7400	92.7070	13.0044
ENSG00000066185	143	4.8866	0.6854
ENSG00000066279	1500	10.3334	1.4495
ENSG00000066294	1221	9.8957	1.3881
ENSG00000066322	14619	445.8810	62.5456
ENSG00000066557	1189	30.9307	4.3388
ENSG00000067208	12	0.1133	0.0159
ENSG00000067334	3199	39.9602	5.6054
ENSG00000067533	925	8.8046	1.2351
ENSG00000067606	781	7.6706	1.0760
ENSG00000067704	5291	95.3503	13.3752
ENSG00000069248	1842	27.3116	3.8311
ENSG00000069275	11889	136.2210	19.1083
ENSG00000069424	26189	241.7190	33.9069
ENSG00000069702	111	0.9611	0.1348
ENSG00000069712	40	0.6474	0.0908
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	3277	71.0301	9.9637
ENSG00000070785	1282	31.5853	4.4306
ENSG00000070831	23216	501.7880	70.3879
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	14	0.1471	0.0206
ENSG00000073754	15	0.4540	0.0637
ENSG00000073756	1259	17.9262	2.5146
ENSG00000074800	242797	4444.6600	623.4708
ENSG00000074964	8	0.0765	0.0107
ENSG00000075151	5016	44.6346	6.2611
ENSG00000075391	212	1.3457	0.1888
ENSG00000075945	1321	19.7591	2.7717
ENSG00000076258	68	2.0262	0.2842
ENSG00000076321	716	12.6150	1.7696
ENSG00000076356	1327	7.2197	1.0127
ENSG00000076864	284	3.3550	0.4706
ENSG00000077152	2373	167.1060	23.4407
ENSG00000077157	2685	13.9844	1.9617
ENSG00000077254	1115	12.0876	1.6956
ENSG00000077522	4098	56.7162	7.9558
ENSG00000077549	28012	603.7110	84.6851
ENSG00000077585	2611	85.9228	12.0528
ENSG00000078369	34741	424.6390	59.5659
ENSG00000078618	9897	112.1440	15.7309
ENSG00000078808	13019	207.8890	29.1615
ENSG00000078900	125	1.6897	0.2370
ENSG00000079277	9583	89.1699	12.5082
ENSG00000079335	2337	30.5882	4.2907
