gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	332	6.4831	1.1509
ENSG00000000460	388	4.5831	0.8136
ENSG00000000938	8932	190.0930	33.7458
ENSG00000000971	191	1.7634	0.3130
ENSG00000001460	142	1.2491	0.2217
ENSG00000001461	606	4.8319	0.8578
ENSG00000004455	5477	72.2800	12.8314
ENSG00000004487	3064	67.2714	11.9423
ENSG00000006555	11	0.1354	0.0240
ENSG00000007341	785	7.2561	1.2881
ENSG00000007908	19	0.3378	0.0600
ENSG00000007923	1226	17.8656	3.1715
ENSG00000007933	48	1.0436	0.1853
ENSG00000007968	507	6.9696	1.2373
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	961	15.2690	2.7106
ENSG00000008130	2286	29.8700	5.3026
ENSG00000009307	23800	310.1670	55.0619
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	18	0.3176	0.0564
ENSG00000009780	246	6.4075	1.1375
ENSG00000009790	2941	28.4473	5.0501
ENSG00000010072	567	7.1967	1.2776
ENSG00000010165	192	3.7479	0.6653
ENSG00000010803	3415	57.5903	10.2236
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2302	32.0315	5.6864
ENSG00000011009	2265	77.3720	13.7353
ENSG00000011021	1534	16.7105	2.9665
ENSG00000014914	808	13.2039	2.3440
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1208	18.4289	3.2716
ENSG00000020633	7083	115.3600	20.4791
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	390	22.4911	3.9927
ENSG00000023902	6163	74.1000	13.1545
ENSG00000023909	183	2.5484	0.4524
ENSG00000024526	152	1.9287	0.3424
ENSG00000025800	3547	34.6118	6.1444
ENSG00000026751	101	1.6527	0.2934
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	167	4.9741	0.8830
ENSG00000028137	4476	89.1423	15.8248
ENSG00000031698	3843	75.1337	13.3380
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1282	26.2177	4.6542
ENSG00000036549	1844	15.3569	2.7262
ENSG00000037637	2251	18.7940	3.3364
ENSG00000040487	511	14.2550	2.5306
ENSG00000041988	314	5.7782	1.0258
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	318	7.7545	1.3766
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2509	18.4874	3.2819
ENSG00000048707	1455	5.3618	0.9519
ENSG00000049089	898	16.2332	2.8818
ENSG00000049239	1831	15.0611	2.6737
ENSG00000049245	7034	191.1450	33.9326
ENSG00000049246	51	0.5384	0.0956
ENSG00000049247	34	1.4302	0.2539
ENSG00000049249	51	1.6603	0.2947
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1765	22.4571	3.9867
ENSG00000053371	4346	183.0120	32.4889
ENSG00000053372	1093	29.0500	5.1570
ENSG00000054116	1781	40.3245	7.1586
ENSG00000054118	3088	48.9003	8.6809
ENSG00000054267	6325	42.8419	7.6054
ENSG00000054277	1306	28.1440	4.9962
ENSG00000054282	2331	33.3204	5.9151
ENSG00000054392	392	6.8403	1.2143
ENSG00000054523	1892	8.0211	1.4239
