gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	868	16.9357	2.2803
ENSG00000000460	698	8.2433	1.1099
ENSG00000000938	2198	46.7852	6.2994
ENSG00000000971	19	0.1750	0.0236
ENSG00000001460	161	1.4150	0.1905
ENSG00000001461	766	6.1127	0.8230
ENSG00000004455	4628	61.0811	8.2243
ENSG00000004487	7623	167.3630	22.5346
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1716	15.8718	2.1371
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1170	17.0486	2.2955
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1486	20.4264	2.7503
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1674	26.6075	3.5826
ENSG00000008130	4640	60.6379	8.1646
ENSG00000009307	110157	1435.5800	193.2941
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0048
ENSG00000009780	715	18.6558	2.5119
ENSG00000009790	4181	40.4414	5.4452
ENSG00000010072	1412	17.9345	2.4148
ENSG00000010165	516	10.0630	1.3549
ENSG00000010803	9384	158.2610	21.3090
ENSG00000010932	9	0.1889	0.0254
ENSG00000011007	5477	76.1944	10.2592
ENSG00000011009	1808	61.7413	8.3132
ENSG00000011021	3474	37.8434	5.0954
ENSG00000014914	1928	31.4931	4.2404
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	768	11.7177	1.5777
ENSG00000020633	1274	20.7511	2.7940
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	312	18.0146	2.4256
ENSG00000023902	14572	175.2030	23.5902
ENSG00000023909	264	3.6807	0.4956
ENSG00000024526	219	2.7788	0.3742
ENSG00000025800	13027	127.0980	17.1132
ENSG00000026751	232	3.7759	0.5084
ENSG00000027644	25	0.3676	0.0495
ENSG00000027869	123	3.6684	0.4939
ENSG00000028137	4125	82.1431	11.0602
ENSG00000031698	5364	104.8670	14.1198
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3816	78.0630	10.5108
ENSG00000036549	4335	36.0970	4.8603
ENSG00000037637	3168	26.4509	3.5615
ENSG00000040487	507	14.1448	1.9045
ENSG00000041988	495	9.1225	1.2283
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1010	24.6734	3.3221
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12945	95.3684	12.8409
ENSG00000048707	3015	11.1137	1.4964
ENSG00000049089	807	14.5859	1.9639
ENSG00000049239	1491	12.2615	1.6510
ENSG00000049245	9355	254.2180	34.2292
ENSG00000049246	376	3.9680	0.5343
ENSG00000049247	2	0.0841	0.0113
ENSG00000049249	52	1.7018	0.2292
ENSG00000050628	8	0.0656	0.0088
ENSG00000052723	3645	46.3850	6.2455
ENSG00000053371	2554	107.5350	14.4790
ENSG00000053372	1493	39.6906	5.3442
ENSG00000054116	1595	36.0999	4.8607
ENSG00000054118	8488	134.4190	18.0988
ENSG00000054267	20102	136.1550	18.3326
ENSG00000054277	850	18.3256	2.4675
