gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	555	10.8364	1.3810
ENSG00000000460	788	9.3003	1.1852
ENSG00000000938	6659	141.7260	18.0617
ENSG00000000971	5	0.0460	0.0059
ENSG00000001460	156	1.3700	0.1746
ENSG00000001461	1113	8.8761	1.1312
ENSG00000004455	7235	95.4883	12.1691
ENSG00000004487	5790	127.1190	16.2001
ENSG00000006555	65	0.8051	0.1026
ENSG00000007341	1047	9.6824	1.2339
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1646	23.9829	3.0564
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1581	21.7248	2.7686
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2581	41.0312	5.2290
ENSG00000008130	3653	47.7393	6.0839
ENSG00000009307	41052	534.9980	68.1805
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	612	15.9652	2.0346
ENSG00000009790	3801	36.7704	4.6860
ENSG00000010072	725	9.2067	1.1733
ENSG00000010165	572	11.1691	1.4234
ENSG00000010803	8072	136.1410	17.3500
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3886	54.0581	6.8892
ENSG00000011009	3490	119.1840	15.1889
ENSG00000011021	1838	20.0253	2.5520
ENSG00000014914	4034	65.8972	8.3980
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	22	0.2620	0.0334
ENSG00000020129	932	14.2196	1.8122
ENSG00000020633	1168	19.0276	2.4249
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	864	49.8953	6.3587
ENSG00000023902	13672	164.3750	20.9481
ENSG00000023909	358	4.9959	0.6367
ENSG00000024526	176	2.2304	0.2842
ENSG00000025800	8284	80.8252	10.3004
ENSG00000026751	452	7.3582	0.9377
ENSG00000027644	14	0.2058	0.0262
ENSG00000027869	644	19.2229	2.4498
ENSG00000028137	13551	269.8610	34.3913
ENSG00000031698	5032	98.3903	12.5389
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2567	52.5109	6.6920
ENSG00000036549	2298	19.1362	2.4387
ENSG00000037637	2457	20.5081	2.6136
ENSG00000040487	603	16.8284	2.1446
ENSG00000041988	526	9.6832	1.2340
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	997	24.3494	3.1031
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3034	22.3528	2.8487
ENSG00000048707	2900	10.6898	1.3623
ENSG00000049089	1002	18.1043	2.3072
ENSG00000049239	3423	28.1613	3.5889
ENSG00000049245	12358	335.8220	42.7974
ENSG00000049246	678	7.1555	0.9119
ENSG00000049247	27	1.1509	0.1467
ENSG00000049249	98	3.2159	0.4098
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	2444	31.0982	3.9632
ENSG00000053371	6908	290.9140	37.0743
ENSG00000053372	1968	52.3079	6.6662
ENSG00000054116	2223	50.3187	6.4127
ENSG00000054118	7694	121.8470	15.5283
ENSG00000054267	6788	45.9744	5.8590
ENSG00000054277	1707	36.7902	4.6886
ENSG00000054282	2121	30.3154	3.8634
ENSG00000054392	242	4.2249	0.5384
ENSG00000054523	974	4.1302	0.5264
ENSG00000055070	13273	209.7080	26.7253
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1466	15.6342	1.9924
ENSG00000057468	24	0.5511	0.0702
ENSG00000057757	3752	128.7200	16.4042
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	137	0.8377	0.1068
ENSG00000058668	5706	44.0200	5.6099
