gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1124	21.9337	2.3425
ENSG00000000460	1502	17.7320	1.8938
ENSG00000000938	173	3.6870	0.3938
ENSG00000000971	118	1.0867	0.1161
ENSG00000001460	352	3.0987	0.3309
ENSG00000001461	1618	12.9039	1.3781
ENSG00000004455	9691	127.8970	13.6594
ENSG00000004487	16888	370.7840	39.5999
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1764	16.3101	1.7419
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2505	36.5081	3.8991
ENSG00000007933	34	0.7364	0.0786
ENSG00000007968	4642	63.7920	6.8130
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	8174	129.9380	13.8774
ENSG00000008130	2970	38.8150	4.1454
ENSG00000009307	39417	513.6840	54.8616
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	320	5.6406	0.6024
ENSG00000009780	452	11.7997	1.2602
ENSG00000009790	2774	26.8343	2.8659
ENSG00000010072	1568	19.9143	2.1269
ENSG00000010165	613	11.9659	1.2780
ENSG00000010803	11570	195.1370	20.8407
ENSG00000010932	13	0.2678	0.0286
ENSG00000011007	7727	107.4920	11.4802
ENSG00000011009	2976	101.6560	10.8569
ENSG00000011021	7446	81.1280	8.6645
ENSG00000014914	52	0.8521	0.0910
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1031	15.7336	1.6803
ENSG00000020633	29322	477.5640	51.0040
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	797	46.0031	4.9131
ENSG00000023902	21003	252.5200	26.9691
ENSG00000023909	33	0.4604	0.0492
ENSG00000024526	34	0.4319	0.0461
ENSG00000025800	21713	211.8490	22.6255
ENSG00000026751	56	0.9123	0.0974
ENSG00000027644	20	0.2941	0.0314
ENSG00000027869	559	16.6859	1.7821
ENSG00000028137	1714	34.1431	3.6465
ENSG00000031698	6446	126.0300	13.4601
ENSG00000033122	3	0.0161	0.0017
