gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	97	1.8926	0.4198
ENSG00000000460	259	3.0592	0.6785
ENSG00000000938	8158	173.6300	38.5106
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	0	0.0000	0.0000
ENSG00000001461	472	3.7644	0.8349
ENSG00000004455	3557	46.9409	10.4114
ENSG00000004487	1497	32.8624	7.2888
ENSG00000006555	20	0.2477	0.0549
ENSG00000007341	310	2.8699	0.6365
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1080	15.7313	3.4892
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	644	8.8517	1.9633
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	727	11.5581	2.5636
ENSG00000008130	3916	51.1776	11.3511
ENSG00000009307	7783	101.4350	22.4980
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	108	2.8081	0.6228
ENSG00000009790	1159	11.2075	2.4858
ENSG00000010072	42	0.5334	0.1183
ENSG00000010165	261	5.0989	1.1309
ENSG00000010803	3007	50.7086	11.2470
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1665	23.1621	5.1373
ENSG00000011009	2286	78.0815	17.3183
ENSG00000011021	1640	17.8655	3.9625
ENSG00000014914	5120	83.6343	18.5499
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	400	6.0962	1.3521
ENSG00000020633	2030	33.0545	7.3314
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	550	31.7367	7.0391
ENSG00000023902	12936	155.5310	34.4963
ENSG00000023909	105	1.4652	0.3250
ENSG00000024526	58	0.7368	0.1634
ENSG00000025800	3015	29.4156	6.5243
ENSG00000026751	533	8.6831	1.9259
ENSG00000027644	26	0.3803	0.0844
ENSG00000027869	1358	40.5601	8.9961
ENSG00000028137	15171	302.1340	67.0126
ENSG00000031698	3833	74.9408	16.6217
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	675	13.8077	3.0625
ENSG00000036549	847	7.0533	1.5644
ENSG00000037637	1237	10.3246	2.2900
ENSG00000040487	1213	33.8712	7.5125
ENSG00000041988	428	7.8907	1.7501
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	190	4.6519	1.0318
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	505	3.7241	0.8260
ENSG00000048707	453	1.6707	0.3706
ENSG00000049089	765	13.8215	3.0656
ENSG00000049239	2186	17.9853	3.9891
ENSG00000049245	4768	129.5780	28.7400
ENSG00000049246	18	0.1900	0.0421
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	2	0.0657	0.0146
ENSG00000050628	1	0.0075	0.0017
ENSG00000052723	310	3.9426	0.8745
ENSG00000053371	3876	163.2090	36.1995
ENSG00000053372	1078	28.6432	6.3530
ENSG00000054116	1729	39.1452	8.6823
ENSG00000054118	2626	41.5785	9.2220
ENSG00000054267	895	6.0600	1.3441
ENSG00000054277	581	12.5190	2.7767
ENSG00000054282	930	13.2908	2.9479
ENSG00000054392	0	0.0000	0.0000
ENSG00000054523	392	1.6626	0.3688
ENSG00000055070	9292	146.8140	32.5629
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	406	4.3270	0.9597
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	1595	54.7132	12.1353
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	72	0.4403	0.0977
ENSG00000058668	1827	14.0968	3.1266
ENSG00000058673	1293	9.9959	2.2171
ENSG00000058799	885	29.3618	6.5124
ENSG00000058804	451	6.5844	1.4604
ENSG00000059588	537	5.2061	1.1547
ENSG00000060642	197	4.3788	0.9712
ENSG00000060656	8	0.0896	0.0199
ENSG00000060688	637	11.9083	2.6412
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	404	5.0337	1.1165
ENSG00000064886	64	1.4567	0.3231
ENSG00000065135	1100	25.7283	5.7065
ENSG00000065183	104	1.8738	0.4156
ENSG00000065243	312	3.3410	0.7410
ENSG00000065526	7432	41.9295	9.2999
ENSG00000065600	1123	28.9097	6.4121
ENSG00000065978	47482	1845.1600	409.2512
ENSG00000066027	1247	24.2079	5.3693
ENSG00000066056	376	4.2115	0.9341
ENSG00000066135	582	8.4368	1.8713
ENSG00000066136	2165	27.1184	6.0148
ENSG00000066185	49	1.6743	0.3713
ENSG00000066279	40	0.2756	0.0611
ENSG00000066294	654	5.3017	1.1759
ENSG00000066322	4407	134.4190	29.8139
ENSG00000066557	113	2.9386	0.6518
ENSG00000067208	53	0.4805	0.1066
ENSG00000067334	419	5.2388	1.1619
ENSG00000067533	229	2.1782	0.4831
ENSG00000067606	0	0.0000	0.0000
ENSG00000067704	809	14.5704	3.2317
ENSG00000069248	332	4.9239	1.0921
ENSG00000069275	2975	34.0901	7.5611
ENSG00000069424	13732	126.7430	28.1113
ENSG00000069702	95	0.8233	0.1826
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1125	24.3855	5.4087
ENSG00000070785	232	5.7115	1.2668
ENSG00000070831	7527	162.6870	36.0837
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1024	10.9814	2.4357
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1544	21.9759	4.8742
ENSG00000074800	98888	1810.2500	401.5086
ENSG00000074964	740	7.0746	1.5691
ENSG00000075151	1930	17.1714	3.8086
ENSG00000075391	155	0.9837	0.2182
ENSG00000075945	303	4.5389	1.0067
ENSG00000076258	26	0.7747	0.1718
ENSG00000076321	270	4.7666	1.0572
ENSG00000076356	109	0.5912	0.1311
ENSG00000076864	0	0.0000	0.0000
ENSG00000077152	345	24.2798	5.3852
ENSG00000077157	135	0.7017	0.1556
ENSG00000077254	119	1.2901	0.2861
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	24492	527.8470	117.0751
ENSG00000077585	688	22.6477	5.0232
ENSG00000078369	27532	336.5210	74.6396
ENSG00000078618	1462	16.5631	3.6737
ENSG00000078808	8211	131.1090	29.0798
ENSG00000078900	18	0.2430	0.0539
ENSG00000079277	2559	23.8077	5.2805
ENSG00000079335	271	3.5418	0.7856
ENSG00000079739	1626	29.2911	6.4967
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	44	0.4789	0.1062
ENSG00000081019	1316	14.4787	3.2113
ENSG00000081026	18	0.1650	0.0366
ENSG00000081237	8371	73.8023	16.3692
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	371	6.4484	1.4302
ENSG00000081721	1184	50.3854	11.1753
ENSG00000081870	930	25.2791	5.6068
ENSG00000081985	2	0.0354	0.0079
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	233	1.9369	0.4296
ENSG00000083444	2032	28.6093	6.3455
ENSG00000084070	17762	403.7990	89.5616
ENSG00000084072	1181	10.9758	2.4344
ENSG00000084073	247	5.1862	1.1503
ENSG00000084623	15687	682.0270	151.2720
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	796	11.6968	2.5943
ENSG00000085433	93	1.5377	0.3411
ENSG00000085465	0	0.0000	0.0000
ENSG00000085491	1089	12.4719	2.7662
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	12	0.0961	0.0213
ENSG00000085832	881	8.7470	1.9401
ENSG00000085840	748	17.7694	3.9412
ENSG00000085998	412	4.8572	1.0773
ENSG00000085999	200	4.6700	1.0358
ENSG00000086015	589	4.9810	1.1048
ENSG00000086619	127	1.6746	0.3714
ENSG00000088035	119	1.8045	0.4002
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	2849	35.7655	7.9327
ENSG00000090104	1422	25.9118	5.7472
ENSG00000090273	4861	127.6060	28.3026
ENSG00000090432	814	25.0550	5.5572
ENSG00000090621	13078	144.6200	32.0765
ENSG00000090686	596	4.7088	1.0444
ENSG00000091483	1411	49.4104	10.9591
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	97	1.2985	0.2880
ENSG00000092847	3678	21.4044	4.7474
ENSG00000092850	15	0.5688	0.1261
ENSG00000092853	58	0.8039	0.1783
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	165	1.4031	0.3112
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	259	3.0039	0.6662
ENSG00000097021	1321	20.2711	4.4961
ENSG00000097033	3380	37.9669	8.4210
ENSG00000097046	98	2.0422	0.4530
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1209	26.0023	5.7673
ENSG00000116128	159	1.8601	0.4126
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	350	5.9108	1.3110
ENSG00000116138	188	1.6466	0.3652
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	43	0.6117	0.1357
ENSG00000116157	8069	357.8950	79.3801
ENSG00000116161	2134	35.4947	7.8726
ENSG00000116171	1887	17.0388	3.7792
ENSG00000116183	36	0.2472	0.0548
ENSG00000116191	10	0.1011	0.0224
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	702	6.6892	1.4836
ENSG00000116199	574	7.1227	1.5798
ENSG00000116205	110	1.4161	0.3141
ENSG00000116209	4050	73.0907	16.2113
ENSG00000116212	596	18.5276	4.1094
ENSG00000116213	688	6.7843	1.5047
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	7741	263.4240	58.4269
ENSG00000116237	633	9.6671	2.1441
ENSG00000116251	14947	228.7820	50.7433
ENSG00000116254	1	0.0076	0.0017
ENSG00000116260	10028	80.7761	17.9159
