gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	384	7.4891	0.9230
ENSG00000000460	1024	12.0875	1.4898
ENSG00000000938	181	3.8556	0.4752
ENSG00000000971	36	0.3315	0.0409
ENSG00000001460	274	2.4153	0.2977
ENSG00000001461	1632	13.0184	1.6045
ENSG00000004455	5336	70.4227	8.6798
ENSG00000004487	15718	345.0910	42.5333
ENSG00000006555	14	0.1747	0.0215
ENSG00000007341	3851	35.6109	4.3891
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2532	36.8883	4.5466
ENSG00000007933	7	0.1516	0.0187
ENSG00000007968	510	7.0051	0.8634
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	9793	155.6770	19.1875
ENSG00000008130	3305	43.1887	5.3231
ENSG00000009307	153480	2000.1700	246.5261
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	49	0.8704	0.1073
ENSG00000009780	608	15.8533	1.9540
ENSG00000009790	3619	35.0108	4.3152
ENSG00000010072	3702	47.0129	5.7945
ENSG00000010165	867	16.9167	2.0850
ENSG00000010803	16453	277.4860	34.2009
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	12208	169.8370	20.9329
ENSG00000011009	2133	72.8438	8.9782
ENSG00000011021	6147	66.9750	8.2548
ENSG00000014914	265	4.3274	0.5334
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0051
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2704	41.2473	5.0838
ENSG00000020633	3277	53.3711	6.5781
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	170	9.8160	1.2098
ENSG00000023902	13322	160.1690	19.7412
ENSG00000023909	394	5.4939	0.6771
ENSG00000024526	46	0.5881	0.0725
ENSG00000025800	32546	317.5450	39.1382
ENSG00000026751	79	1.2926	0.1593
ENSG00000027644	30	0.4432	0.0546
ENSG00000027869	1444	43.1254	5.3153
ENSG00000028137	1774	35.3200	4.3533
ENSG00000031698	5186	101.3880	12.4964
ENSG00000033122	4	0.0250	0.0031
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2686	54.9446	6.7721
ENSG00000036549	4514	37.5813	4.6320
ENSG00000037637	4436	37.0344	4.5646
ENSG00000040487	418	11.6809	1.4397
ENSG00000041988	1396	25.7159	3.1695
ENSG00000042781	1	0.0036	0.0004
ENSG00000043514	819	19.9932	2.4642
ENSG00000044012	2	0.2513	0.0310
ENSG00000047410	16197	119.3260	14.7073
ENSG00000048707	10455	38.5380	4.7499
ENSG00000049089	2022	36.5411	4.5038
ENSG00000049239	1001	8.2359	1.0151
ENSG00000049245	12347	335.5180	41.3534
ENSG00000049246	930	9.8174	1.2100
ENSG00000049247	33	1.3702	0.1689
ENSG00000049249	298	9.7820	1.2056
ENSG00000050628	18	0.1398	0.0172
ENSG00000052723	4928	62.7068	7.7288
ENSG00000053371	3960	166.7430	20.5515
ENSG00000053372	1081	28.7232	3.5402
ENSG00000054116	2102	47.5859	5.8651
ENSG00000054118	6899	109.2490	13.4652
ENSG00000054267	43932	297.5590	36.6750
ENSG00000054277	554	11.9348	1.4710
ENSG00000054282	5638	80.5832	9.9321
ENSG00000054392	705	12.3154	1.5179
ENSG00000054523	15365	65.1333	8.0279
ENSG00000055070	28612	452.0590	55.7175
ENSG00000055732	2	0.0226	0.0028
ENSG00000057252	3448	36.7682	4.5318
ENSG00000057468	30	0.6935	0.0855
ENSG00000057757	7975	273.6200	33.7244
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1171	7.1599	0.8825
ENSG00000058668	14729	113.6370	14.0061
ENSG00000058673	41543	321.2120	39.5902
ENSG00000058799	1400	46.4520	5.7253
ENSG00000058804	1605	23.4395	2.8890
ENSG00000059588	13952	135.1390	16.6562
ENSG00000060642	693	15.3705	1.8945
ENSG00000060656	23	0.2582	0.0318
ENSG00000060688	2366	44.2326	5.4518
ENSG00000060718	2	0.0181	0.0022
ENSG00000064703	5336	66.4919	8.1953
ENSG00000064886	52	1.1836	0.1459
ENSG00000065135	24854	581.4310	71.6629
ENSG00000065183	786	14.1681	1.7463
ENSG00000065243	9343	99.9005	12.3130
ENSG00000065526	43157	243.4760	30.0090
ENSG00000065600	1509	38.8439	4.7876
ENSG00000065978	91792	3567.0500	439.6479
ENSG00000066027	11878	230.6080	28.4231
ENSG00000066056	7191	80.5657	9.9299
ENSG00000066135	4565	66.1974	8.1590
ENSG00000066136	3098	38.8143	4.7840
ENSG00000066185	200	6.8314	0.8420
ENSG00000066279	790	5.4408	0.6706
ENSG00000066294	5955	48.2545	5.9475
ENSG00000066322	4576	139.5820	17.2038
ENSG00000066557	4647	120.8470	14.8947
ENSG00000067208	1017	9.2175	1.1361
ENSG00000067334	33128	413.7580	50.9967
ENSG00000067533	2167	20.6160	2.5410
ENSG00000067606	80	0.7855	0.0968
ENSG00000067704	6373	114.8340	14.1536
ENSG00000069248	4742	70.3306	8.6684
ENSG00000069275	7790	89.2502	11.0003
ENSG00000069424	15798	145.8080	17.9713
ENSG00000069702	146	1.2615	0.1555
ENSG00000069712	476	7.7199	0.9515
ENSG00000069812	3	0.0416	0.0051
ENSG00000070759	2825	61.2335	7.5472
ENSG00000070785	795	19.6007	2.4158
ENSG00000070831	67968	1469.0600	181.0650
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1065	11.4221	1.4078
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4674	66.5350	8.2006
ENSG00000074800	78266	1432.7400	176.5884
ENSG00000074964	13	0.1288	0.0159
