gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	375	7.3218	1.8130
ENSG00000000460	160	1.8886	0.4676
ENSG00000000938	7470	158.9760	39.3655
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	181	1.5944	0.3948
ENSG00000001461	231	1.8392	0.4554
ENSG00000004455	1998	26.3651	6.5285
ENSG00000004487	1918	42.1074	10.4266
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	531	4.9135	1.2167
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	573	8.3553	2.0689
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	278	3.8221	0.9464
ENSG00000008118	6	0.1622	0.0402
ENSG00000008128	1993	31.6783	7.8441
ENSG00000008130	3172	41.4593	10.2661
ENSG00000009307	20376	265.5370	65.7522
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	317	8.2796	2.0502
ENSG00000009790	1662	16.0805	3.9818
ENSG00000010072	227	2.8827	0.7138
ENSG00000010165	189	3.6976	0.9156
ENSG00000010803	2847	48.0144	11.8893
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1343	18.6824	4.6261
ENSG00000011009	1482	50.6243	12.5356
ENSG00000011021	946	10.3036	2.5514
ENSG00000014914	1886	30.8064	7.6283
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	244	3.7187	0.9208
ENSG00000020633	238	3.8714	0.9587
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	295	17.0277	4.2164
ENSG00000023902	6084	73.1504	18.1135
ENSG00000023909	168	2.3402	0.5795
ENSG00000024526	42	0.5335	0.1321
ENSG00000025800	3634	35.4564	8.7797
ENSG00000026751	27	0.4398	0.1089
ENSG00000027644	40	0.5881	0.1456
ENSG00000027869	156	4.6489	1.1512
ENSG00000028137	5937	118.2400	29.2785
ENSG00000031698	2430	47.5016	11.7623
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1171	23.9528	5.9312
ENSG00000036549	1309	10.8999	2.6990
ENSG00000037637	1350	11.2740	2.7917
ENSG00000040487	281	7.8347	1.9400
ENSG00000041988	253	4.6591	1.1537
ENSG00000042781	19	0.0700	0.0173
ENSG00000043514	194	4.7470	1.1754
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	784	5.7773	1.4306
ENSG00000048707	947	3.4904	0.8643
ENSG00000049089	503	9.0964	2.2524
ENSG00000049239	476	3.9153	0.9695
ENSG00000049245	4804	130.5380	32.3237
ENSG00000049246	55	0.5853	0.1449
ENSG00000049247	141	5.9198	1.4658
ENSG00000049249	63	2.0727	0.5132
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	885	11.2596	2.7881
ENSG00000053371	1617	68.0837	16.8588
ENSG00000053372	604	16.0535	3.9752
ENSG00000054116	905	20.4950	5.0749
ENSG00000054118	1740	27.5486	6.8216
ENSG00000054267	4838	32.7659	8.1135
ENSG00000054277	476	10.2586	2.5402
ENSG00000054282	1330	19.0090	4.7070
ENSG00000054392	52	0.9015	0.2232
ENSG00000054523	1105	4.6848	1.1600
ENSG00000055070	4872	76.9678	19.0587
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1892	20.1813	4.9973
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	2107	72.2855	17.8993
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	137	0.8360	0.2070
ENSG00000058668	2056	15.8661	3.9287
ENSG00000058673	4272	33.0339	8.1798
ENSG00000058799	874	28.9872	7.1778
ENSG00000058804	595	8.6906	2.1519
ENSG00000059588	1199	11.6096	2.8748
ENSG00000060642	269	5.9722	1.4789
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	575	10.7572	2.6637
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	650	8.0964	2.0048
ENSG00000064886	37	0.8422	0.2085
ENSG00000065135	2409	56.3497	13.9533
ENSG00000065183	123	2.2162	0.5487
ENSG00000065243	1033	11.0446	2.7349
ENSG00000065526	7475	42.1708	10.4423
ENSG00000065600	519	13.3576	3.3076
ENSG00000065978	43344	1684.3500	417.0766
ENSG00000066027	2925	56.7973	14.0641
ENSG00000066056	414	4.6334	1.1473
ENSG00000066135	295	4.2823	1.0604
ENSG00000066136	1745	21.8640	5.4140
ENSG00000066185	15	0.5121	0.1268
ENSG00000066279	41	0.2824	0.0699
ENSG00000066294	1595	12.9266	3.2009
ENSG00000066322	3094	94.3713	23.3682
ENSG00000066557	471	12.2517	3.0338
ENSG00000067208	85	0.7721	0.1912
ENSG00000067334	868	10.8410	2.6844
ENSG00000067533	207	1.9694	0.4877
ENSG00000067606	35	0.3406	0.0843
ENSG00000067704	1912	34.4589	8.5327
ENSG00000069248	709	10.5090	2.6022
ENSG00000069275	3159	36.1913	8.9617
ENSG00000069424	7749	71.5186	17.7094
ENSG00000069702	11	0.0950	0.0235
ENSG00000069712	60	0.9734	0.2410
ENSG00000069812	1	0.0139	0.0034
ENSG00000070759	709	15.3633	3.8043
ENSG00000070785	238	5.8712	1.4538
ENSG00000070831	16500	356.6370	88.3102
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	197	2.1119	0.5230
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	2671	38.0237	9.4154
ENSG00000074800	59131	1082.4600	268.0390
ENSG00000074964	248	2.3661	0.5859
ENSG00000075151	1694	15.0758	3.7331
ENSG00000075391	147	0.9329	0.2310
ENSG00000075945	453	6.7732	1.6772
ENSG00000076258	32	0.9535	0.2361
ENSG00000076321	427	7.5294	1.8644
ENSG00000076356	112	0.6121	0.1516
ENSG00000076864	26	0.3074	0.0761
ENSG00000077152	72	5.0554	1.2519
ENSG00000077157	372	1.9386	0.4800
ENSG00000077254	899	9.7417	2.4122
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	12461	268.5490	66.4980
ENSG00000077585	33	1.0834	0.2683
ENSG00000078369	15106	184.6340	45.7189
ENSG00000078618	4421	50.0981	12.4053
ENSG00000078808	3260	52.0485	12.8882
ENSG00000078900	2	0.0270	0.0067
ENSG00000079277	2685	24.9883	6.1876
ENSG00000079335	1186	15.5221	3.8436
ENSG00000079739	1216	21.8953	5.4217
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	40	0.4403	0.1090
ENSG00000081019	1569	17.2516	4.2718
ENSG00000081026	22	0.2017	0.0499
ENSG00000081237	11395	100.4660	24.8773
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	153	2.6654	0.6600
ENSG00000081721	1395	59.3695	14.7011
ENSG00000081870	1378	37.4712	9.2786
ENSG00000081985	0	0.0000	0.0000
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2171	18.0436	4.4679
ENSG00000083444	1483	20.8774	5.1696
ENSG00000084070	6404	145.5820	36.0490
ENSG00000084072	647	6.0134	1.4890
ENSG00000084073	482	10.1156	2.5048
ENSG00000084623	13483	586.2050	145.1557
ENSG00000084628	28	0.7030	0.1741
ENSG00000084636	0	0.0000	0.0000
