gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	408	7.9649	1.1494
ENSG00000000460	427	5.0441	0.7279
ENSG00000000938	1892	40.2568	5.8093
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	275	2.4183	0.3490
ENSG00000001461	1552	12.3742	1.7857
ENSG00000004455	7157	94.4550	13.6305
ENSG00000004487	4709	103.3840	14.9190
ENSG00000006555	11	0.1392	0.0201
ENSG00000007341	709	6.5560	0.9461
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2555	37.2240	5.3717
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1018	13.9973	2.0199
ENSG00000008118	8	0.2242	0.0324
ENSG00000008128	2238	35.5710	5.1331
ENSG00000008130	4013	52.4421	7.5678
ENSG00000009307	25589	333.4770	48.1232
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	15	0.2646	0.0382
ENSG00000009780	357	9.3119	1.3438
ENSG00000009790	2348	22.7161	3.2781
ENSG00000010072	511	6.4839	0.9357
ENSG00000010165	702	13.7052	1.9777
ENSG00000010803	8606	145.1420	20.9450
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4864	67.6631	9.7643
ENSG00000011009	4112	140.4210	20.2637
ENSG00000011021	2686	29.2679	4.2236
ENSG00000014914	2328	38.0285	5.4878
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0034
ENSG00000020129	1178	17.9648	2.5924
ENSG00000020633	1190	19.3848	2.7974
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	831	47.9731	6.9228
ENSG00000023902	19851	238.6670	34.4414
ENSG00000023909	117	1.6260	0.2346
ENSG00000024526	17	0.2160	0.0312
ENSG00000025800	8343	81.3966	11.7461
ENSG00000026751	354	5.7665	0.8322
ENSG00000027644	49	0.7138	0.1030
ENSG00000027869	1537	45.8989	6.6236
ENSG00000028137	15907	316.7890	45.7150
ENSG00000031698	6437	125.8540	18.1616
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1779	36.4021	5.2531
ENSG00000036549	1943	16.1757	2.3343
ENSG00000037637	2138	17.8458	2.5753
ENSG00000040487	1049	29.2997	4.2282
ENSG00000041988	653	12.0199	1.7346
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	539	13.1732	1.9010
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2669	19.6639	2.8376
ENSG00000048707	2081	7.6708	1.1069
ENSG00000049089	1163	21.0152	3.0326
ENSG00000049239	1475	12.1368	1.7514
ENSG00000049245	9762	265.2750	38.2811
ENSG00000049246	27	0.2851	0.0411
ENSG00000049247	138	5.8233	0.8403
ENSG00000049249	177	5.8122	0.8387
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1194	15.1978	2.1932
ENSG00000053371	5189	218.5030	31.5315
ENSG00000053372	3432	91.2140	13.1628
ENSG00000054116	2163	48.9593	7.0652
ENSG00000054118	6796	107.6240	15.5310
ENSG00000054267	3476	23.5466	3.3980
ENSG00000054277	1482	31.9376	4.6088
ENSG00000054282	1224	17.5016	2.5256
ENSG00000054392	168	2.9416	0.4245
ENSG00000054523	1250	5.3005	0.7649
ENSG00000055070	14056	222.0720	32.0467
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1826	19.4726	2.8100
ENSG00000057468	2	0.0398	0.0057
ENSG00000057757	4010	137.5650	19.8517
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	42	0.2540	0.0366
ENSG00000058668	12307	94.9550	13.7027
ENSG00000058673	5873	45.4102	6.5530
ENSG00000058799	1815	60.2092	8.6886
ENSG00000058804	1921	28.0580	4.0490
ENSG00000059588	2934	28.4234	4.1017
ENSG00000060642	389	8.6233	1.2444
ENSG00000060656	126	1.4100	0.2035
ENSG00000060688	2197	41.0730	5.9271
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1162	14.4800	2.0896
ENSG00000064886	69	1.5696	0.2265
ENSG00000065135	4245	99.3004	14.3298
ENSG00000065183	327	5.8904	0.8500
ENSG00000065243	1067	11.4069	1.6461
ENSG00000065526	25849	145.8310	21.0445
ENSG00000065600	1720	44.2776	6.3896
ENSG00000065978	111108	4317.6700	623.0712
ENSG00000066027	4041	78.4520	11.3212
ENSG00000066056	2143	24.0106	3.4649
ENSG00000066135	1147	16.6382	2.4010
ENSG00000066136	4459	55.8594	8.0609
ENSG00000066185	64	2.1854	0.3154
ENSG00000066279	235	1.6161	0.2332
ENSG00000066294	2078	16.8397	2.4301
ENSG00000066322	9993	304.7770	43.9816
ENSG00000066557	650	16.8911	2.4375
ENSG00000067208	48	0.4396	0.0634
ENSG00000067334	2522	31.4964	4.5452
ENSG00000067533	738	7.0209	1.0132
ENSG00000067606	30	0.2954	0.0426
ENSG00000067704	3255	58.6535	8.4641
ENSG00000069248	993	14.7303	2.1257
ENSG00000069275	8834	101.2100	14.6053
ENSG00000069424	23173	213.8790	30.8643
ENSG00000069702	57	0.4961	0.0716
ENSG00000069712	6	0.0973	0.0140
ENSG00000069812	4	0.0555	0.0080
ENSG00000070759	1492	32.3474	4.6680
ENSG00000070785	378	9.3109	1.3436
ENSG00000070831	21194	458.0800	66.1043
ENSG00000070886	21	0.2938	0.0424
ENSG00000072694	1653	17.7177	2.5568
ENSG00000073754	8	0.2443	0.0353
ENSG00000073756	8004	113.9310	16.4411
ENSG00000074800	208121	3809.8800	549.7941
ENSG00000074964	134	1.2801	0.1847
ENSG00000075151	5808	51.6781	7.4575
ENSG00000075391	256	1.6224	0.2341
ENSG00000075945	656	9.8089	1.4155
ENSG00000076258	46	1.3655	0.1971
ENSG00000076321	640	11.2849	1.6285
ENSG00000076356	353	1.9207	0.2772
ENSG00000076864	4	0.0504	0.0073
ENSG00000077152	700	49.2742	7.1106
ENSG00000077157	856	4.4608	0.6437
ENSG00000077254	775	8.4004	1.2122
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	27850	600.2080	86.6144
ENSG00000077585	585	19.2527	2.7783
