gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	689	13.4495	2.3210
ENSG00000000460	756	8.9249	1.5402
ENSG00000000938	7682	163.4890	28.2139
ENSG00000000971	45	0.4144	0.0715
ENSG00000001460	222	1.9581	0.3379
ENSG00000001461	1082	8.6310	1.4895
ENSG00000004455	3599	47.4906	8.1956
ENSG00000004487	7329	160.9180	27.7702
ENSG00000006555	29	0.3592	0.0620
ENSG00000007341	1445	13.3570	2.3051
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1313	19.1259	3.3006
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2095	28.7900	4.9684
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3161	50.2558	8.6728
ENSG00000008130	6453	84.3330	14.5537
ENSG00000009307	78358	1021.1800	176.2281
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	8	0.1411	0.0244
ENSG00000009780	763	19.9016	3.4345
ENSG00000009790	5699	55.1274	9.5136
ENSG00000010072	1969	25.0052	4.3152
ENSG00000010165	370	7.2121	1.2446
ENSG00000010803	9233	155.7200	26.8733
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4638	64.5185	11.1342
ENSG00000011009	2125	72.5811	12.5256
ENSG00000011021	3241	35.3136	6.0942
ENSG00000014914	1277	20.8584	3.5996
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	646	9.8523	1.7003
ENSG00000020633	3880	63.1928	10.9054
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	277	15.9692	2.7559
ENSG00000023902	13911	167.2480	28.8626
ENSG00000023909	339	4.7347	0.8171
ENSG00000024526	178	2.2654	0.3909
ENSG00000025800	12812	125.0000	21.5717
ENSG00000026751	456	7.4314	1.2825
ENSG00000027644	50	0.7283	0.1257
ENSG00000027869	285	8.5175	1.4699
ENSG00000028137	8722	173.7020	29.9763
ENSG00000031698	4944	96.6572	16.6805
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3203	65.5240	11.3077
ENSG00000036549	4412	36.7326	6.3391
ENSG00000037637	2689	22.4508	3.8744
ENSG00000040487	597	16.6664	2.8762
ENSG00000041988	482	8.8725	1.5312
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1608	39.2706	6.7771
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10568	77.8550	13.4357
ENSG00000048707	2584	9.5255	1.6438
ENSG00000049089	567	10.2397	1.7671
ENSG00000049239	1583	13.0231	2.2474
ENSG00000049245	10424	283.2700	48.8850
ENSG00000049246	94	0.9970	0.1721
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	105	3.4566	0.5965
ENSG00000050628	5	0.0388	0.0067
ENSG00000052723	4319	54.9532	9.4835
ENSG00000053371	2999	126.3050	21.7970
ENSG00000053372	960	25.5057	4.4016
ENSG00000054116	1416	32.0519	5.5313
ENSG00000054118	6919	109.5630	18.9076
ENSG00000054267	16234	109.9530	18.9751
ENSG00000054277	1199	25.8463	4.4604
ENSG00000054282	2322	33.1946	5.7285
ENSG00000054392	174	3.0377	0.5242
ENSG00000054523	3487	14.7827	2.5511
ENSG00000055070	12176	192.3800	33.1997
ENSG00000055732	6	0.0679	0.0117
ENSG00000057252	4545	48.4665	8.3641
ENSG00000057468	3	0.0793	0.0137
ENSG00000057757	3544	121.6050	20.9859
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	198	1.2080	0.2085
ENSG00000058668	3407	26.2860	4.5363
ENSG00000058673	18545	143.3880	24.7450
ENSG00000058799	1338	44.3706	7.6572
ENSG00000058804	1368	19.9817	3.4483
ENSG00000059588	6579	63.7210	10.9966
ENSG00000060642	887	19.6739	3.3952
ENSG00000060656	11	0.1231	0.0212
ENSG00000060688	1797	33.5979	5.7981
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5274	65.7112	11.3400
ENSG00000064886	67	1.5250	0.2632
ENSG00000065135	9170	214.5130	37.0193
ENSG00000065183	454	8.1904	1.4135
ENSG00000065243	7134	76.2839	13.1646
ENSG00000065526	27579	155.5900	26.8508
ENSG00000065600	759	19.5329	3.3709
ENSG00000065978	51019	1982.6000	342.1443
ENSG00000066027	9690	188.1320	32.4666
ENSG00000066056	1798	20.1489	3.4772
ENSG00000066135	939	13.6162	2.3498
ENSG00000066136	2617	32.7867	5.6581
ENSG00000066185	171	5.8428	1.0083
ENSG00000066279	568	3.9151	0.6756
ENSG00000066294	5208	42.2064	7.2837
ENSG00000066322	3964	120.9140	20.8666
ENSG00000066557	3686	95.8551	16.5421
ENSG00000067208	664	6.0171	1.0384
ENSG00000067334	12585	157.1770	27.1247
ENSG00000067533	1211	11.5224	1.9885
ENSG00000067606	50	0.4900	0.0846
ENSG00000067704	6046	108.9470	18.8014
ENSG00000069248	3905	57.9104	9.9938
ENSG00000069275	7528	86.2464	14.8839
ENSG00000069424	24151	222.9040	38.4674
ENSG00000069702	581	5.0359	0.8691
ENSG00000069712	305	4.9559	0.8553
ENSG00000069812	4	0.0555	0.0096
ENSG00000070759	1149	24.9092	4.2987
ENSG00000070785	511	12.5859	2.1720
ENSG00000070831	39999	864.5290	149.1950
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	200	2.1467	0.3705
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1332	18.9596	3.2719
ENSG00000074800	120627	2208.2200	381.0800
ENSG00000074964	563	5.3817	0.9287
ENSG00000075151	5844	51.9998	8.9738
ENSG00000075391	919	5.8314	1.0063
ENSG00000075945	1120	16.7471	2.8901
ENSG00000076258	252	7.5046	1.2951
ENSG00000076321	1288	22.7102	3.9192
ENSG00000076356	616	3.3547	0.5789
ENSG00000076864	18	0.2128	0.0367
ENSG00000077152	171	12.0516	2.0798
ENSG00000077157	1380	7.1899	1.2408
ENSG00000077254	5225	56.6425	9.7750
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	14997	323.2150	55.7784
ENSG00000077585	438	14.4221	2.4889
ENSG00000078369	29314	358.3000	61.8331
ENSG00000078618	12940	146.6220	25.3031
ENSG00000078808	6195	98.9268	17.0722
ENSG00000078900	2	0.0270	0.0047
ENSG00000079277	4070	37.8676	6.5350
ENSG00000079335	3566	46.6874	8.0570
ENSG00000079739	1209	21.7711	3.7571
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	52	0.5740	0.0991
ENSG00000081019	5550	61.0475	10.5352
ENSG00000081026	72	0.6601	0.1139
ENSG00000081237	42913	378.3350	65.2908
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
