gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1359	26.5101	3.5081
ENSG00000000460	722	8.5179	1.1272
ENSG00000000938	6475	137.7980	18.2349
ENSG00000000971	422	3.8827	0.5138
ENSG00000001460	326	2.8674	0.3794
ENSG00000001461	2492	19.8737	2.6299
ENSG00000004455	8534	112.6250	14.9038
ENSG00000004487	10535	231.2960	30.6074
ENSG00000006555	9	0.1115	0.0148
ENSG00000007341	937	8.6671	1.1469
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3025	44.0832	5.8335
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	327	4.4882	0.5939
ENSG00000008118	6	0.1682	0.0223
ENSG00000008128	3758	59.7440	7.9059
ENSG00000008130	4201	54.9031	7.2654
ENSG00000009307	86546	1127.8800	149.2523
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1	0.0176	0.0023
ENSG00000009780	490	12.7809	1.6913
ENSG00000009790	4146	40.1056	5.3072
ENSG00000010072	911	11.5706	1.5311
ENSG00000010165	1123	21.9113	2.8995
ENSG00000010803	5257	88.6616	11.7326
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5868	81.6301	10.8021
ENSG00000011009	3049	104.1460	13.7817
ENSG00000011021	6293	68.5588	9.0724
ENSG00000014914	179	2.9323	0.3880
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0032
ENSG00000020129	361	5.5013	0.7280
ENSG00000020633	26976	439.3530	58.1397
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	410	23.6851	3.1343
ENSG00000023902	22410	269.4320	35.6540
ENSG00000023909	1297	18.1036	2.3957
ENSG00000024526	70	0.8892	0.1177
ENSG00000025800	10868	106.0340	14.0315
ENSG00000026751	525	8.5508	1.1315
ENSG00000027644	14	0.2058	0.0272
ENSG00000027869	283	8.4622	1.1198
ENSG00000028137	17461	347.7420	46.0168
ENSG00000031698	3837	75.0214	9.9276
ENSG00000033122	9	0.0544	0.0072
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4747	97.1146	12.8512
ENSG00000036549	5262	43.8103	5.7974
ENSG00000037637	7665	63.9856	8.4672
ENSG00000040487	735	20.5298	2.7167
ENSG00000041988	1237	22.7876	3.0155
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1172	28.6232	3.7877
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14181	104.4760	13.8254
ENSG00000048707	12542	46.2328	6.1180
ENSG00000049089	1473	26.6059	3.5208
ENSG00000049239	9346	76.8855	10.1743
ENSG00000049245	11884	322.9320	42.7336
ENSG00000049246	87	0.9237	0.1222
ENSG00000049247	19	0.7992	0.1058
ENSG00000049249	192	6.3144	0.8356
ENSG00000050628	35	0.2719	0.0360
ENSG00000052723	4636	58.9947	7.8068
ENSG00000053371	3460	145.7100	19.2818
ENSG00000053372	2159	57.3916	7.5946
ENSG00000054116	2762	62.5331	8.2750
ENSG00000054118	9926	157.1930	20.8015
ENSG00000054267	16068	108.8320	14.4018
ENSG00000054277	2485	53.5543	7.0869
ENSG00000054282	3562	50.9148	6.7376
ENSG00000054392	385	6.7216	0.8895
ENSG00000054523	5284	22.3985	2.9640
ENSG00000055070	11330	179.0080	23.6882
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6084	64.8776	8.5853
ENSG00000057468	8	0.1840	0.0243
ENSG00000057757	4904	168.2400	22.2632
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1215	7.4284	0.9830
ENSG00000058668	7826	60.3814	7.9903
ENSG00000058673	21086	163.0390	21.5751
ENSG00000058799	2666	88.4454	11.7040
ENSG00000058804	2504	36.5657	4.8387
ENSG00000059588	15173	146.9670	19.4482
ENSG00000060642	807	17.8950	2.3681
ENSG00000060656	72	0.8094	0.1071
ENSG00000060688	3874	72.4413	9.5862
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3686	45.9237	6.0771
ENSG00000064886	43	0.9763	0.1292
ENSG00000065135	7945	185.8680	24.5960
ENSG00000065183	1309	23.6093	3.1242
ENSG00000065243	14917	159.5030	21.1071
ENSG00000065526	46442	262.0110	34.6720
ENSG00000065600	2212	56.9434	7.5353
ENSG00000065978	60673	2357.7700	312.0041
ENSG00000066027	8829	171.4100	22.6827
ENSG00000066056	4090	45.8207	6.0635
ENSG00000066135	3416	49.5402	6.5557
ENSG00000066136	3692	46.2449	6.1196
ENSG00000066185	96	3.2943	0.4359
ENSG00000066279	1215	8.3669	1.1072
ENSG00000066294	22551	182.7470	24.1829
ENSG00000066322	5235	159.6690	21.1290
ENSG00000066557	3366	87.5222	11.5818
ENSG00000067208	487	4.4189	0.5847
ENSG00000067334	7709	96.2876	12.7418
ENSG00000067533	847	8.0557	1.0660
ENSG00000067606	1188	11.6700	1.5443
ENSG00000067704	6810	122.7220	16.2399
ENSG00000069248	5122	75.9692	10.0530
ENSG00000069275	16217	185.8100	24.5883
ENSG00000069424	38787	357.9870	47.3726
ENSG00000069702	233	2.0166	0.2669
ENSG00000069712	646	10.4860	1.3876
ENSG00000069812	22	0.3052	0.0404
ENSG00000070759	1810	39.2416	5.1929
ENSG00000070785	751	18.5051	2.4488
ENSG00000070831	25643	554.2360	73.3423
ENSG00000070886	2	0.0280	0.0037
ENSG00000072694	317	3.4032	0.4503
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	8292	118.0250	15.6183
ENSG00000074800	97906	1792.2700	237.1719
ENSG00000074964	155	1.4769	0.1954
ENSG00000075151	14460	128.6650	17.0263
ENSG00000075391	3508	22.2619	2.9459
ENSG00000075945	1814	27.1414	3.5916
ENSG00000076258	247	7.3496	0.9726
ENSG00000076321	1983	34.9600	4.6263
ENSG00000076356	113	0.6160	0.0815
ENSG00000076864	11	0.1301	0.0172
ENSG00000077152	347	24.4329	3.2332
ENSG00000077157	5308	27.6484	3.6587
ENSG00000077254	5187	56.2307	7.4410
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	17435	375.7550	49.7238
ENSG00000077585	1837	60.4493	7.9993
ENSG00000078369	52479	641.4530	84.8837
ENSG00000078618	12096	137.0550	18.1365
ENSG00000078808	15170	242.2260	32.0539
ENSG00000078900	29	0.3899	0.0516
ENSG00000079277	6353	59.1206	7.8234
ENSG00000079335	3058	40.0293	5.2971
ENSG00000079739	5416	97.5543	12.9094
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	260	2.8655	0.3792
ENSG00000081019	5252	57.7687	7.6446
ENSG00000081026	50	0.4617	0.0611
ENSG00000081237	82123	724.0220	95.8101
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1135	19.7214	2.6097
ENSG00000081721	2560	108.9600	14.4188
ENSG00000081870	2099	57.0591	7.5506
ENSG00000081985	801	14.1838	1.8769
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	5515	45.8477	6.0670
ENSG00000083444	2826	39.7837	5.2646
ENSG00000084070	79652	1810.8200	239.6263
ENSG00000084072	5824	54.1162	7.1612
ENSG00000084073	2904	60.9653	8.0675
ENSG00000084623	22435	975.4240	129.0782
ENSG00000084628	160	4.0224	0.5323
ENSG00000084636	2	0.0157	0.0021
ENSG00000084652	4201	61.7451	8.1707
ENSG00000085433	1820	30.0913	3.9820
ENSG00000085465	495	12.4297	1.6448
ENSG00000085491	5129	58.7427	7.7734
ENSG00000085552	82	0.9313	0.1232
ENSG00000085831	67	0.5367	0.0710
ENSG00000085832	32160	319.4250	42.2697
ENSG00000085840	1351	32.0941	4.2470
ENSG00000085998	2004	23.6095	3.1242
ENSG00000085999	617	14.4163	1.9077
ENSG00000086015	2513	21.2334	2.8098
ENSG00000086619	3037	40.0457	5.2993
ENSG00000088035	1096	16.6225	2.1997
ENSG00000088280	37	0.5673	0.0751
