gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	406	7.9123	1.6100
ENSG00000000460	215	2.5340	0.5156
ENSG00000000938	1609	34.2449	6.9681
ENSG00000000971	26	0.2394	0.0487
ENSG00000001460	281	2.4753	0.5037
ENSG00000001461	428	3.4152	0.6949
ENSG00000004455	8812	116.2890	23.6624
ENSG00000004487	2252	49.4374	10.0595
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	829	7.6671	1.5601
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	847	12.3353	2.5100
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	50	0.6872	0.1398
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1356	21.5581	4.3866
ENSG00000008130	1438	18.7916	3.8237
ENSG00000009307	23184	302.1380	61.4789
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	187	4.8703	0.9910
ENSG00000009790	1658	16.0351	3.2628
ENSG00000010072	100	1.2755	0.2595
ENSG00000010165	301	5.8650	1.1934
ENSG00000010803	1610	27.1556	5.5256
ENSG00000010932	9	0.1889	0.0384
ENSG00000011007	1510	21.0115	4.2754
ENSG00000011009	1299	44.3552	9.0254
ENSG00000011021	2520	27.4599	5.5875
ENSG00000014914	2463	40.2420	8.1884
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	70	0.8360	0.1701
ENSG00000020129	273	4.1641	0.8473
ENSG00000020633	9964	162.2810	33.0208
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	456	26.3064	5.3529
ENSG00000023902	4420	53.1414	10.8132
ENSG00000023909	79	1.1025	0.2243
ENSG00000024526	10	0.1270	0.0258
ENSG00000025800	5179	50.5296	10.2817
ENSG00000026751	69	1.1240	0.2287
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	67	1.9948	0.4059
ENSG00000028137	2242	44.6548	9.0864
ENSG00000031698	2092	40.8968	8.3216
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	956	19.5608	3.9802
ENSG00000036549	1866	15.5362	3.1613
ENSG00000037637	2323	19.3924	3.9460
ENSG00000040487	3475	97.0402	19.7457
ENSG00000041988	1081	19.9096	4.0512
