gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	278	5.4227	1.0120
ENSG00000000460	692	8.1667	1.5242
ENSG00000000938	2753	58.5840	10.9337
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	53	0.4669	0.0871
ENSG00000001461	564	4.5001	0.8399
ENSG00000004455	2936	38.7429	7.2307
ENSG00000004487	4388	96.3361	17.9795
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	912	8.4305	1.5734
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1033	15.0571	2.8102
ENSG00000007933	16	0.3465	0.0647
ENSG00000007968	932	12.8103	2.3908
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2170	34.4913	6.4372
ENSG00000008130	3959	51.7402	9.6564
ENSG00000009307	36827	479.9300	89.5708
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	26	0.4550	0.0849
ENSG00000009780	217	5.6572	1.0558
ENSG00000009790	2171	21.0015	3.9196
ENSG00000010072	1053	13.3706	2.4954
ENSG00000010165	240	4.6838	0.8742
ENSG00000010803	6733	113.5560	21.1934
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6552	91.1495	17.0115
ENSG00000011009	1128	38.5241	7.1899
ENSG00000011021	5153	56.1422	10.4780
ENSG00000014914	3807	62.1897	11.6067
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	585	8.9180	1.6644
ENSG00000020633	579	9.4341	1.7607
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	242	13.9962	2.6121
ENSG00000023902	12110	145.5950	27.1728
ENSG00000023909	338	4.7239	0.8816
ENSG00000024526	106	1.3465	0.2513
ENSG00000025800	12388	120.8680	22.5580
ENSG00000026751	64	1.0426	0.1946
ENSG00000027644	2	0.0294	0.0055
ENSG00000027869	35	1.0450	0.1950
ENSG00000028137	9822	195.6140	36.5081
ENSG00000031698	3175	62.0837	11.5869
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1321	27.0248	5.0437
ENSG00000036549	1529	12.7338	2.3765
ENSG00000037637	3744	31.2579	5.8338
ENSG00000040487	497	13.8697	2.5885
ENSG00000041988	889	16.3684	3.0549
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	261	6.3647	1.1878
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3547	26.1302	4.8767
ENSG00000048707	1881	6.9346	1.2942
ENSG00000049089	1732	31.2982	5.8413
ENSG00000049239	856	7.0432	1.3145
ENSG00000049245	7664	208.2540	38.8670
ENSG00000049246	137	1.4464	0.2699
ENSG00000049247	6	0.2524	0.0471
ENSG00000049249	68	2.2487	0.4197
ENSG00000050628	20	0.1554	0.0290
ENSG00000052723	2840	36.1339	6.7438
ENSG00000053371	2971	125.1160	23.3508
