gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1193	23.2802	2.4609
ENSG00000000460	2153	25.4120	2.6862
ENSG00000000938	2528	53.7985	5.6868
ENSG00000000971	225	2.0713	0.2190
ENSG00000001460	813	7.1627	0.7571
ENSG00000001461	5848	46.6424	4.9304
ENSG00000004455	15845	209.1110	22.1042
ENSG00000004487	11984	263.1200	27.8133
ENSG00000006555	13	0.1640	0.0173
ENSG00000007341	1920	17.7503	1.8763
ENSG00000007908	15	0.2700	0.0285
ENSG00000007923	4277	62.3198	6.5876
ENSG00000007933	168	3.6414	0.3849
ENSG00000007968	4961	68.1849	7.2075
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	11906	189.2650	20.0064
ENSG00000008130	5629	73.5661	7.7764
ENSG00000009307	82270	1072.1600	113.3334
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1863	32.8694	3.4745
ENSG00000009780	1291	33.6624	3.5583
ENSG00000009790	10454	101.1310	10.6901
ENSG00000010072	1854	23.5442	2.4888
ENSG00000010165	1490	29.0872	3.0747
ENSG00000010803	11023	185.8990	19.6506
ENSG00000010932	41	0.8629	0.0912
ENSG00000011007	8039	111.8390	11.8220
ENSG00000011009	3654	124.8090	13.1930
ENSG00000011021	5450	59.3784	6.2766
ENSG00000014914	109	1.7802	0.1882
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0373	0.0039
ENSG00000018625	12	0.1429	0.0151
ENSG00000020129	2782	42.4346	4.4856
ENSG00000020633	10935	178.0910	18.8252
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	303	17.4719	1.8469
ENSG00000023902	17159	206.3040	21.8075
ENSG00000023909	712	9.9390	1.0506
ENSG00000024526	294	3.7410	0.3954
ENSG00000025800	17317	168.9600	17.8600
ENSG00000026751	575	9.3590	0.9893
ENSG00000027644	26	0.3756	0.0397
ENSG00000027869	369	11.0143	1.1643
ENSG00000028137	3936	78.3946	8.2868
ENSG00000031698	7131	139.4260	14.7382
ENSG00000033122	132	0.8220	0.0869
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4133	84.5595	8.9384
ENSG00000036549	4979	41.4585	4.3824
ENSG00000037637	4953	41.3517	4.3711
ENSG00000040487	1432	39.9918	4.2274
ENSG00000041988	3025	55.7164	5.8895
ENSG00000042781	4	0.0146	0.0015
ENSG00000043514	1660	40.5389	4.2852
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7079	52.1503	5.5126
ENSG00000048707	13042	48.0752	5.0818
ENSG00000049089	63	1.1458	0.1211
ENSG00000049239	6975	57.3813	6.0655
ENSG00000049245	7473	203.0740	21.4661
ENSG00000049246	302	3.1843	0.3366
ENSG00000049247	708	29.7740	3.1473
ENSG00000049249	22	0.7224	0.0764
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3490	44.4104	4.6944
ENSG00000053371	5305	223.3800	23.6126
ENSG00000053372	2402	63.8444	6.7487
ENSG00000054116	5506	124.6370	13.1748
ENSG00000054118	10905	172.7000	18.2554
ENSG00000054267	22190	150.2990	15.8875
ENSG00000054277	2330	50.2078	5.3073
ENSG00000054282	4263	60.9398	6.4417
ENSG00000054392	1602	27.9597	2.9555
ENSG00000054523	2548	10.8006	1.1417
ENSG00000055070	27836	439.8000	46.4894
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3528	37.6275	3.9774
ENSG00000057468	66	1.5205	0.1607
ENSG00000057757	8585	294.5470	31.1353
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2834	17.3275	1.8316
ENSG00000058668	28197	217.5490	22.9962
ENSG00000058673	24931	192.7630	20.3761
ENSG00000058799	2772	91.9522	9.7199
ENSG00000058804	2520	36.8035	3.8903
ENSG00000059588	14997	145.2600	15.3548
ENSG00000060642	1250	27.7265	2.9309
ENSG00000060656	10	0.1104	0.0117
ENSG00000060688	3034	56.7255	5.9962
ENSG00000060718	30	0.2698	0.0285
ENSG00000064703	5240	65.2929	6.9018
ENSG00000064886	288	6.5536	0.6927
ENSG00000065135	7877	184.2820	19.4796
ENSG00000065183	1128	20.3337	2.1494
ENSG00000065243	6422	68.6652	7.2583
