gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	349	6.8122	1.3438
ENSG00000000460	833	9.8349	1.9401
ENSG00000000938	19332	411.4280	81.1612
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	364	3.2059	0.6324
ENSG00000001461	1076	8.5794	1.6924
ENSG00000004455	5717	75.4487	14.8835
ENSG00000004487	3339	73.3021	14.4601
ENSG00000006555	6	0.0743	0.0147
ENSG00000007341	1282	11.8586	2.3393
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3218	46.8982	9.2515
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1055	14.4953	2.8594
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3561	56.6075	11.1668
ENSG00000008130	4235	55.3462	10.9180
ENSG00000009307	10494	136.7610	26.9785
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	576	15.0257	2.9641
ENSG00000009790	7311	70.7245	13.9516
ENSG00000010072	449	5.6981	1.1241
ENSG00000010165	1059	20.6667	4.0768
ENSG00000010803	4930	83.1394	16.4006
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2108	29.3302	5.7859
ENSG00000011009	2851	97.3871	19.2112
ENSG00000011021	1944	21.1838	4.1789
ENSG00000014914	7486	122.2960	24.1250
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2329	35.5280	7.0085
ENSG00000020633	245	3.9835	0.7858
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	537	31.0000	6.1153
ENSG00000023902	13334	160.3140	31.6245
ENSG00000023909	418	5.8333	1.1507
ENSG00000024526	49	0.6225	0.1228
ENSG00000025800	4587	44.7494	8.8276
ENSG00000026751	582	9.4792	1.8699
ENSG00000027644	22	0.3235	0.0638
ENSG00000027869	91	2.7170	0.5360
ENSG00000028137	16305	324.7130	64.0551
ENSG00000031698	7252	141.7910	27.9706
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1786	36.5366	7.2075
ENSG00000036549	974	8.1078	1.5994
ENSG00000037637	1942	16.2127	3.1982
ENSG00000040487	1724	48.1504	9.4985
ENSG00000041988	1116	20.5609	4.0560
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	816	19.9381	3.9331
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1716	12.6428	2.4940
ENSG00000048707	1067	3.9315	0.7756
ENSG00000049089	603	10.8950	2.1492
ENSG00000049239	1743	14.3350	2.8278
ENSG00000049245	6384	173.4760	34.2211
ENSG00000049246	159	1.6740	0.3302
ENSG00000049247	635	26.7084	5.2687
ENSG00000049249	0	0.0079	0.0016
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1145	14.5740	2.8750
ENSG00000053371	5075	213.7100	42.1580
ENSG00000053372	2629	69.8742	13.7838
ENSG00000054116	2840	64.2973	12.6837
ENSG00000054118	4090	64.7762	12.7782
ENSG00000054267	4670	31.6294	6.2394
ENSG00000054277	1511	32.5730	6.4256
ENSG00000054282	1551	22.1681	4.3730
ENSG00000054392	167	2.9155	0.5751
ENSG00000054523	1213	5.1414	1.0142
ENSG00000055070	8777	138.6720	27.3555
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1544	16.4621	3.2474
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	2784	95.5302	18.8450
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	809	4.9474	0.9760
ENSG00000058668	5156	39.7837	7.8480
ENSG00000058673	3383	26.1540	5.1593
ENSG00000058799	2487	82.4856	16.2717
ENSG00000058804	1238	18.0810	3.5668
