gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	839	16.3788	1.8545
ENSG00000000460	2341	27.6319	3.1287
ENSG00000000938	1611	34.2940	3.8830
ENSG00000000971	17978	165.5680	18.7469
ENSG00000001460	514	4.5273	0.5126
ENSG00000001461	2377	18.9579	2.1466
ENSG00000004455	13893	183.3440	20.7597
ENSG00000004487	15853	348.0500	39.4090
ENSG00000006555	13	0.1610	0.0182
ENSG00000007341	2391	22.1076	2.5032
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3553	51.7779	5.8627
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	7821	107.4870	12.1706
ENSG00000008118	4	0.1121	0.0127
ENSG00000008128	5134	81.6051	9.2400
ENSG00000008130	4911	64.1798	7.2670
ENSG00000009307	119882	1562.3200	176.8984
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	34	0.5996	0.0679
ENSG00000009780	801	20.8769	2.3639
ENSG00000009790	3214	31.0895	3.5202
ENSG00000010072	3117	39.5864	4.4823
ENSG00000010165	1675	32.6929	3.7018
ENSG00000010803	3277	55.2656	6.2576
ENSG00000010932	12	0.2518	0.0285
ENSG00000011007	6256	87.0393	9.8553
ENSG00000011009	4079	139.3180	15.7747
ENSG00000011021	3624	39.4856	4.4709
ENSG00000014914	426	6.9588	0.7879
ENSG00000016490	2	0.0449	0.0051
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2863	43.6734	4.9451
ENSG00000020633	6032	98.2419	11.1237
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	587	33.8968	3.8381
ENSG00000023902	1200	14.4291	1.6338
ENSG00000023909	1618	22.5875	2.5575
ENSG00000024526	926	11.7571	1.3312
ENSG00000025800	23326	227.5820	25.7687
ENSG00000026751	142	2.3076	0.2613
ENSG00000027644	1	0.0147	0.0017
ENSG00000027869	1518	45.3097	5.1303
ENSG00000028137	1396	27.7977	3.1475
ENSG00000031698	11584	226.4780	25.6437
ENSG00000033122	1711	10.6870	1.2101
ENSG00000034971	15	0.5401	0.0612
ENSG00000035687	2495	51.0396	5.7791
ENSG00000036549	4851	40.3881	4.5731
ENSG00000037637	3962	33.0786	3.7454
ENSG00000040487	272	7.5916	0.8596
ENSG00000041988	1556	28.6638	3.2455
ENSG00000042781	12	0.0435	0.0049
ENSG00000043514	1659	40.5148	4.5874
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	32350	238.3370	26.9864
ENSG00000048707	3207	11.8232	1.3387
ENSG00000049089	499	9.0183	1.0211
ENSG00000049239	2021	16.6228	1.8822
ENSG00000049245	10610	288.3180	32.6457
ENSG00000049246	1265	13.3577	1.5125
ENSG00000049247	3459	145.4970	16.4744
ENSG00000049249	1214	39.8792	4.5154
ENSG00000050628	4630	35.9672	4.0725
ENSG00000052723	10738	136.6340	15.4707
ENSG00000053371	4308	181.4270	20.5426
ENSG00000053372	4105	109.1010	12.3533
ENSG00000054116	4523	102.3940	11.5939
ENSG00000054118	10853	171.8660	19.4601
ENSG00000054267	30686	207.8450	23.5339
ENSG00000054277	1297	27.9598	3.1658
ENSG00000054282	1890	27.0170	3.0591
ENSG00000054392	424	7.4046	0.8384
ENSG00000054523	3905	16.5552	1.8745
ENSG00000055070	13680	216.1390	24.4730
ENSG00000055732	2	0.0226	0.0026
ENSG00000057252	2713	28.9269	3.2753
ENSG00000057468	11	0.2486	0.0282
ENSG00000057757	10121	347.2580	39.3194
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	313	1.9112	0.2164
ENSG00000058668	19086	147.2570	16.6736
ENSG00000058673	37387	289.0770	32.7317
ENSG00000058799	2550	84.5843	9.5773
ENSG00000058804	4711	68.8109	7.7913
ENSG00000059588	10337	100.1310	11.3376
ENSG00000060642	1553	34.4311	3.8986
ENSG00000060656	79	0.8831	0.1000
ENSG00000060688	7218	134.9640	15.2817
ENSG00000060718	2	0.0181	0.0021
ENSG00000064703	9247	115.2270	13.0469
ENSG00000064886	27	0.6246	0.0707
ENSG00000065135	21196	495.8520	56.1444
ENSG00000065183	1187	21.4037	2.4235
ENSG00000065243	6851	73.2598	8.2951
ENSG00000065526	38587	217.6920	24.6489
ENSG00000065600	4508	116.0380	13.1388
ENSG00000065978	120308	4675.2000	529.3635
ENSG00000066027	18019	349.8390	39.6116
ENSG00000066056	1075	12.0411	1.3634
ENSG00000066135	1443	20.9198	2.3687
ENSG00000066136	4229	52.9825	5.9991
ENSG00000066185	214	7.3002	0.8266
ENSG00000066279	5503	37.9097	4.2924
ENSG00000066294	17090	138.4910	15.6811
ENSG00000066322	5286	161.2090	18.2534
ENSG00000066557	6662	173.2450	19.6163
ENSG00000067208	1274	11.5491	1.3077
ENSG00000067334	19707	246.1280	27.8686
ENSG00000067533	4011	38.1654	4.3214
