gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	763	14.8876	1.5513
ENSG00000000460	803	9.4808	0.9879
ENSG00000000938	15561	331.1690	34.5081
ENSG00000000971	665	6.1259	0.6383
ENSG00000001460	309	2.7214	0.2836
ENSG00000001461	1357	10.8194	1.1274
ENSG00000004455	5089	67.1556	6.9977
ENSG00000004487	12517	274.8110	28.6355
ENSG00000006555	173	2.1480	0.2238
ENSG00000007341	2338	21.6174	2.2525
ENSG00000007908	4	0.0787	0.0082
ENSG00000007923	1429	20.8263	2.1701
ENSG00000007933	8	0.1799	0.0188
ENSG00000007968	6519	89.5987	9.3362
ENSG00000008118	51	1.4387	0.1499
ENSG00000008128	8002	127.2040	13.2548
ENSG00000008130	7332	95.8156	9.9841
ENSG00000009307	111237	1449.6500	151.0548
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2120	37.3959	3.8967
ENSG00000009780	1083	28.2472	2.9434
ENSG00000009790	2779	26.8799	2.8009
ENSG00000010072	4332	55.0169	5.7328
ENSG00000010165	1353	26.4010	2.7510
ENSG00000010803	2708	45.6672	4.7586
ENSG00000010932	25	0.5283	0.0550
ENSG00000011007	10677	148.5450	15.4785
ENSG00000011009	3091	105.5510	10.9985
ENSG00000011021	3792	41.3178	4.3054
ENSG00000014914	1484	24.2485	2.5267
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	8	0.1705	0.0178
ENSG00000018625	2	0.0238	0.0025
ENSG00000020129	1519	23.1666	2.4140
ENSG00000020633	10798	175.8580	18.3246
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	425	24.5396	2.5571
ENSG00000023902	30524	366.9880	38.2404
ENSG00000023909	2172	30.3128	3.1586
ENSG00000024526	429	5.4558	0.5685
ENSG00000025800	13831	134.9410	14.0609
ENSG00000026751	712	11.5986	1.2086
ENSG00000027644	7	0.1092	0.0114
ENSG00000027869	229	6.8388	0.7126
ENSG00000028137	14616	291.0850	30.3312
ENSG00000031698	8710	170.3000	17.7454
ENSG00000033122	157	0.9791	0.1020
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1337	27.3532	2.8502
ENSG00000036549	3878	32.2894	3.3646
ENSG00000037637	6599	55.0886	5.7403
ENSG00000040487	1238	34.5599	3.6012
ENSG00000041988	2947	54.2750	5.6555
ENSG00000042781	2	0.0073	0.0008
ENSG00000043514	872	21.2973	2.2192
ENSG00000044012	1	0.1256	0.0131
ENSG00000047410	19105	140.7570	14.6670
ENSG00000048707	10601	39.0788	4.0720
ENSG00000049089	7684	138.8370	14.4669
ENSG00000049239	2040	16.7785	1.7483
ENSG00000049245	13494	366.6720	38.2075
ENSG00000049246	67	0.7052	0.0735
ENSG00000049247	13	0.5294	0.0552
ENSG00000049249	689	22.6392	2.3590
ENSG00000050628	74	0.5744	0.0598
ENSG00000052723	4748	60.4111	6.2949
ENSG00000053371	2839	119.5330	12.4554
ENSG00000053372	1692	44.9766	4.6866
ENSG00000054116	3193	72.2934	7.5330
ENSG00000054118	10298	163.0730	16.9923
ENSG00000054267	31033	210.1930	21.9023
ENSG00000054277	1480	31.8920	3.3232
ENSG00000054282	1304	18.6444	1.9428
ENSG00000054392	250	4.3636	0.4547
ENSG00000054523	10955	46.4379	4.8389
ENSG00000055070	19290	304.7660	31.7568
ENSG00000055732	6	0.0679	0.0071
ENSG00000057252	8453	90.1467	9.3934
ENSG00000057468	16	0.3674	0.0383
ENSG00000057757	8769	300.8730	31.3512
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	957	5.8511	0.6097
ENSG00000058668	6206	47.8773	4.9888
ENSG00000058673	32242	249.2930	25.9765
ENSG00000058799	2703	89.6670	9.3434
ENSG00000058804	1863	27.2049	2.8348
ENSG00000059588	11866	114.9360	11.9764
ENSG00000060642	1321	29.2942	3.0525
ENSG00000060656	74	0.8284	0.0863
ENSG00000060688	4772	89.2359	9.2984
ENSG00000060718	2	0.0181	0.0019
ENSG00000064703	4993	62.2196	6.4833
ENSG00000064886	110	2.5035	0.2609
ENSG00000065135	10363	242.4380	25.2622
ENSG00000065183	1068	19.2599	2.0069
ENSG00000065243	7014	74.9987	7.8149
ENSG00000065526	51906	292.8350	30.5136
ENSG00000065600	2662	68.5226	7.1401
ENSG00000065978	70255	2730.1000	284.4783
ENSG00000066027	10726	208.2530	21.7001
ENSG00000066056	1457	16.3267	1.7013
ENSG00000066135	6733	97.6431	10.1745
ENSG00000066136	1751	21.9410	2.2863
ENSG00000066185	85	2.8888	0.3010
ENSG00000066279	3905	26.8987	2.8029
ENSG00000066294	11985	97.1195	10.1199
ENSG00000066322	4940	150.6840	15.7013
ENSG00000066557	2625	68.2628	7.1130
ENSG00000067208	1065	9.6584	1.0064
ENSG00000067334	15194	189.7680	19.7740
ENSG00000067533	2097	19.9470	2.0785
ENSG00000067606	740	7.2673	0.7573
ENSG00000067704	3572	64.3669	6.7071
ENSG00000069248	4421	65.5748	6.8329
ENSG00000069275	10015	114.7420	11.9562
ENSG00000069424	11113	102.5720	10.6881
ENSG00000069702	303	2.6300	0.2741
ENSG00000069712	183	2.9714	0.3096
ENSG00000069812	139	1.9325	0.2014
ENSG00000070759	1377	29.8584	3.1113
ENSG00000070785	1202	29.6257	3.0870
ENSG00000070831	50636	1094.4500	114.0422
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	113	1.2117	0.1263
ENSG00000073754	10	0.3054	0.0318
ENSG00000073756	4401	62.6476	6.5279
ENSG00000074800	80872	1480.4600	154.2647
ENSG00000074964	1498	14.3146	1.4916
ENSG00000075151	7344	65.3483	6.8093
ENSG00000075391	986	6.2574	0.6520
ENSG00000075945	1506	22.5277	2.3474
ENSG00000076258	230	6.8633	0.7152
ENSG00000076321	3411	60.1429	6.2669
ENSG00000076356	219	1.1911	0.1241
ENSG00000076864	8684	102.6810	10.6994
ENSG00000077152	1426	100.4480	10.4667
ENSG00000077157	3849	20.0475	2.0890
ENSG00000077254	5954	64.5437	6.7255
ENSG00000077522	18	0.2547	0.0265
ENSG00000077549	13083	281.9570	29.3801
ENSG00000077585	1856	61.0667	6.3632
ENSG00000078369	30154	368.5670	38.4049
ENSG00000078618	13712	155.3740	16.1901
ENSG00000078808	13023	207.9520	21.6688
ENSG00000078900	545	7.3584	0.7667
ENSG00000079277	6060	56.3870	5.8756
ENSG00000079335	8986	117.6430	12.2585
ENSG00000079739	2696	48.5634	5.0603
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	848	9.3346	0.9727
ENSG00000081019	7001	77.0063	8.0241
ENSG00000081026	218	1.9980	0.2082
ENSG00000081237	68593	604.7360	63.0139
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	853	14.8313	1.5454
ENSG00000081721	5054	215.1200	22.4157
ENSG00000081870	1969	53.5266	5.5775
ENSG00000081985	71	1.2540	0.1307
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	6	0.0823	0.0086
ENSG00000082512	2379	19.7763	2.0607
ENSG00000083444	2197	30.9369	3.2237
ENSG00000084070	10952	248.9950	25.9454
ENSG00000084072	4273	39.7046	4.1373
ENSG00000084073	2502	52.5274	5.4734
ENSG00000084623	24237	1053.7800	109.8042
ENSG00000084628	2	0.0502	0.0052
ENSG00000084636	27	0.2106	0.0220
ENSG00000084652	7210	105.9640	11.0415
ENSG00000085433	4437	73.3571	7.6439
ENSG00000085465	890	22.3270	2.3265
ENSG00000085491	4305	49.3115	5.1383
ENSG00000085552	558	6.3171	0.6582
ENSG00000085831	1089	8.7218	0.9088
ENSG00000085832	9633	95.6839	9.9703
ENSG00000085840	5888	139.8910	14.5768
ENSG00000085998	1985	23.3896	2.4372
ENSG00000085999	1122	26.1974	2.7298
ENSG00000086015	2505	21.1694	2.2059
ENSG00000086619	1998	26.3411	2.7448
ENSG00000088035	643	9.7438	1.0153
ENSG00000088280	19	0.2927	0.0305
ENSG00000090020	7322	91.9118	9.5773
