gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	279	5.4415	0.8685
ENSG00000000460	144	1.6997	0.2713
ENSG00000000938	8888	189.1600	30.1934
ENSG00000000971	1	0.0092	0.0015
ENSG00000001460	24	0.2114	0.0337
ENSG00000001461	77	0.6138	0.0980
ENSG00000004455	1062	14.0169	2.2374
ENSG00000004487	2504	54.9751	8.7750
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	544	5.0344	0.8036
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	366	5.3334	0.8513
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1559	21.4297	3.4206
ENSG00000008118	47	1.3199	0.2107
ENSG00000008128	1866	29.6604	4.7343
ENSG00000008130	2282	29.8252	4.7607
ENSG00000009307	24663	321.4170	51.3040
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	7	0.1235	0.0197
ENSG00000009780	378	9.8505	1.5723
ENSG00000009790	731	7.0724	1.1289
ENSG00000010072	1169	14.8415	2.3690
ENSG00000010165	197	3.8509	0.6147
ENSG00000010803	2940	49.5905	7.9156
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4457	62.0052	9.8971
ENSG00000011009	1779	60.7491	9.6966
ENSG00000011021	1901	20.7061	3.3051
ENSG00000014914	3398	55.5051	8.8596
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	140	2.1294	0.3399
ENSG00000020633	1656	26.9785	4.3063
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	352	20.3318	3.2454
ENSG00000023902	18042	216.9230	34.6249
ENSG00000023909	528	7.3736	1.1770
ENSG00000024526	17	0.2160	0.0345
ENSG00000025800	6569	64.0898	10.2299
ENSG00000026751	214	3.4813	0.5557
ENSG00000027644	19	0.2852	0.0455
ENSG00000027869	209	6.2416	0.9963
ENSG00000028137	63017	1254.9900	200.3192
ENSG00000031698	2869	56.0839	8.9520
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	494	10.1159	1.6147
ENSG00000036549	1868	15.5533	2.4826
ENSG00000037637	2831	23.6362	3.7728
ENSG00000040487	406	11.3440	1.8107
ENSG00000041988	647	11.9207	1.9027
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	88	2.1413	0.3418
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1182	8.7063	1.3897
ENSG00000048707	1130	4.1642	0.6647
ENSG00000049089	893	16.1335	2.5752
ENSG00000049239	1392	11.4514	1.8278
ENSG00000049245	11533	313.3900	50.0227
ENSG00000049246	0	0.0000	0.0000
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	93	3.0674	0.4896
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1597	20.3185	3.2432
ENSG00000053371	2743	115.5190	18.4390
ENSG00000053372	349	9.2842	1.4819
ENSG00000054116	984	22.2864	3.5573
ENSG00000054118	5381	85.2105	13.6011
ENSG00000054267	4494	30.4399	4.8588
ENSG00000054277	518	11.1583	1.7811
ENSG00000054282	546	7.8003	1.2451
ENSG00000054392	78	1.3568	0.2166
ENSG00000054523	1232	5.2223	0.8336
ENSG00000055070	14543	229.7770	36.6766
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2906	30.9883	4.9463
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	3732	128.0300	20.4359
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	47	0.2874	0.0459
ENSG00000058668	887	6.8418	1.0921
ENSG00000058673	6292	48.6474	7.7650
ENSG00000058799	2009	66.6289	10.6352
ENSG00000058804	361	5.2791	0.8426
ENSG00000059588	986	9.5466	1.5238
ENSG00000060642	194	4.3122	0.6883
ENSG00000060656	39	0.4366	0.0697
ENSG00000060688	1382	25.8409	4.1247
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1019	12.6941	2.0262
ENSG00000064886	105	2.3891	0.3813
ENSG00000065135	4787	111.9870	17.8751
ENSG00000065183	69	1.2443	0.1986
ENSG00000065243	1711	18.2926	2.9198
ENSG00000065526	25500	143.8610	22.9627
ENSG00000065600	535	13.7773	2.1991
ENSG00000065978	74491	2894.7400	462.0522
ENSG00000066027	3647	70.7970	11.3005
ENSG00000066056	641	7.1784	1.1458
ENSG00000066135	639	9.2686	1.4794
ENSG00000066136	2259	28.2960	4.5165
ENSG00000066185	67	2.2893	0.3654
ENSG00000066279	240	1.6536	0.2639
ENSG00000066294	1510	12.2384	1.9535
ENSG00000066322	5938	181.1110	28.9085
ENSG00000066557	724	18.8155	3.0033
ENSG00000067208	138	1.2490	0.1994
ENSG00000067334	3217	40.1737	6.4124
ENSG00000067533	360	3.4281	0.5472
ENSG00000067606	44	0.4358	0.0696
ENSG00000067704	962	17.3318	2.7665
ENSG00000069248	836	12.4054	1.9801
ENSG00000069275	4592	52.6124	8.3979
ENSG00000069424	10394	95.9308	15.3123
ENSG00000069702	28	0.2427	0.0387
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	27	0.3745	0.0598
ENSG00000070759	580	12.5803	2.0080
ENSG00000070785	32	0.7920	0.1264
ENSG00000070831	27019	583.9890	93.2152
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2532	27.1472	4.3332
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	8434	120.0450	19.1613
ENSG00000074800	96787	1771.7900	282.8104
ENSG00000074964	512	4.8923	0.7809
ENSG00000075151	3681	32.7528	5.2279
ENSG00000075391	414	2.6273	0.4194
ENSG00000075945	399	5.9665	0.9524
ENSG00000076258	10	0.2980	0.0476
ENSG00000076321	909	16.0190	2.5569
ENSG00000076356	212	1.1520	0.1839
ENSG00000076864	18	0.2128	0.0340
ENSG00000077152	264	18.5897	2.9672
ENSG00000077157	479	2.4940	0.3981
ENSG00000077254	687	7.4513	1.1894
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	11647	251.0060	40.0651
ENSG00000077585	681	22.4243	3.5793
ENSG00000078369	26515	324.0940	51.7312
ENSG00000078618	2922	33.1123	5.2853
ENSG00000078808	8974	143.3000	22.8732
ENSG00000078900	4	0.0540	0.0086
ENSG00000079277	5766	53.6519	8.5638
ENSG00000079335	1908	24.9742	3.9863
ENSG00000079739	1058	19.0612	3.0425
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	4	0.0436	0.0070
ENSG00000081019	3306	36.3562	5.8031
ENSG00000081026	78	0.7152	0.1142
ENSG00000081237	11884	104.7740	16.7238
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	262	4.5530	0.7267
ENSG00000081721	3532	150.3560	23.9996
ENSG00000081870	1175	31.9286	5.0964
ENSG00000081985	0	0.0000	0.0000
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1220	10.1408	1.6187
ENSG00000083444	1877	26.4220	4.2174
ENSG00000084070	14849	337.5840	53.8845
ENSG00000084072	762	7.0840	1.1307
ENSG00000084073	653	13.7128	2.1888
ENSG00000084623	19991	869.1790	138.7367
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	2239	32.9063	5.2525
ENSG00000085433	776	12.8311	2.0481
ENSG00000085465	125	3.1376	0.5008
ENSG00000085491	3033	34.7398	5.5451
ENSG00000085552	90	1.0192	0.1627
ENSG00000085831	6	0.0481	0.0077
ENSG00000085832	2668	26.4993	4.2298
ENSG00000085840	1051	24.9724	3.9860
ENSG00000085998	277	3.2634	0.5209
ENSG00000085999	125	2.9150	0.4653
ENSG00000086015	547	4.6243	0.7381
ENSG00000086619	737	9.7242	1.5522
ENSG00000088035	42	0.6369	0.1017
ENSG00000088280	24	0.3679	0.0587
ENSG00000090020	2339	29.3605	4.6865
ENSG00000090104	4029	73.3991	11.7158
ENSG00000090273	3463	90.9195	14.5124
ENSG00000090432	3237	99.6650	15.9083
ENSG00000090621	20295	224.4380	35.8243
ENSG00000090686	849	6.7043	1.0701
ENSG00000091483	1458	51.0560	8.1495
ENSG00000092607	22	0.4335	0.0692
ENSG00000092621	44	0.5870	0.0937
ENSG00000092847	2882	16.7751	2.6776
ENSG00000092850	17	0.6476	0.1034
ENSG00000092853	217	3.0142	0.4811
ENSG00000092969	18	0.2621	0.0418
ENSG00000092978	247	2.0955	0.3345
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	1261	14.6270	2.3347
ENSG00000097021	1692	25.9556	4.1430
ENSG00000097033	12110	136.0240	21.7119
ENSG00000097046	235	4.8944	0.7812
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	637	13.7120	2.1887
ENSG00000116128	680	7.9436	1.2679
ENSG00000116132	14	0.1273	0.0203
ENSG00000116133	46	0.7769	0.1240
ENSG00000116138	543	4.7537	0.7588
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	57	0.8169	0.1304
ENSG00000116157	4598	203.9500	32.5541
ENSG00000116161	1953	32.4756	5.1837
ENSG00000116171	2283	20.6129	3.2902
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	18	0.1803	0.0288
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	488	4.6483	0.7419
ENSG00000116199	1420	17.6334	2.8146
ENSG00000116205	82	1.0556	0.1685
ENSG00000116209	12126	218.8310	34.9294
ENSG00000116212	762	23.7188	3.7859
ENSG00000116213	565	5.5771	0.8902
