gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1377	26.8694	3.7434
ENSG00000000460	1775	20.9539	2.9192
ENSG00000000938	9373	199.4840	27.7913
ENSG00000000971	191	1.7554	0.2446
ENSG00000001460	770	6.7821	0.9449
ENSG00000001461	3156	25.1710	3.5067
ENSG00000004455	7684	101.4140	14.1286
ENSG00000004487	8791	193.0150	26.8901
ENSG00000006555	238	2.9526	0.4113
ENSG00000007341	2478	22.9144	3.1924
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2971	43.2922	6.0313
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	598	8.2166	1.1447
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5749	91.3875	12.7318
ENSG00000008130	6770	88.4769	12.3263
ENSG00000009307	77606	1011.3700	140.8998
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	48	0.8414	0.1172
ENSG00000009780	1293	33.7156	4.6971
ENSG00000009790	11414	110.4170	15.3829
ENSG00000010072	1668	21.1879	2.9518
ENSG00000010165	937	18.2922	2.5484
ENSG00000010803	11460	193.2740	26.9262
ENSG00000010932	21	0.4407	0.0614
ENSG00000011007	11628	161.7760	22.5380
ENSG00000011009	2734	93.3611	13.0067
ENSG00000011021	5351	58.3035	8.1226
ENSG00000014914	161	2.6323	0.3667
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0057
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3604	54.9709	7.6583
ENSG00000020633	9645	157.0800	21.8837
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	142	8.1940	1.1416
ENSG00000023902	11432	137.4430	19.1481
ENSG00000023909	489	6.8292	0.9514
ENSG00000024526	56	0.7114	0.0991
ENSG00000025800	9029	88.0982	12.2735
ENSG00000026751	948	15.4479	2.1521
ENSG00000027644	17	0.2433	0.0339
ENSG00000027869	689	20.5760	2.8666
ENSG00000028137	7082	141.0400	19.6491
ENSG00000031698	5832	114.0240	15.8853
ENSG00000033122	23	0.1436	0.0200
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3875	79.2730	11.0440
ENSG00000036549	4470	37.2181	5.1851
ENSG00000037637	3398	28.3685	3.9522
ENSG00000040487	667	18.6288	2.5953
ENSG00000041988	879	16.1982	2.2567
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1089	26.6024	3.7061
