gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1321	25.7828	2.3467
ENSG00000000460	3541	41.7970	3.8043
ENSG00000000938	2124	45.2097	4.1149
ENSG00000000971	1080	9.9446	0.9051
ENSG00000001460	765	6.7418	0.6136
ENSG00000001461	3620	28.8727	2.6279
ENSG00000004455	14132	186.5100	16.9757
ENSG00000004487	17083	375.0690	34.1379
ENSG00000006555	86	1.0689	0.0973
ENSG00000007341	2361	21.8278	1.9867
ENSG00000007908	176	3.1370	0.2855
ENSG00000007923	4030	58.7270	5.3452
ENSG00000007933	64	1.3826	0.1258
ENSG00000007968	758	10.4222	0.9486
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4690	74.5513	6.7855
ENSG00000008130	6483	84.7223	7.7112
ENSG00000009307	98193	1279.6700	116.4726
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1570	27.6918	2.5204
ENSG00000009780	1325	34.5515	3.1448
ENSG00000009790	3090	29.8896	2.7205
ENSG00000010072	3508	44.5498	4.0548
ENSG00000010165	1204	23.5035	2.1392
ENSG00000010803	15459	260.7200	23.7301
ENSG00000010932	48	1.0106	0.0920
ENSG00000011007	15529	216.0430	19.6637
ENSG00000011009	2961	101.1320	9.2047
ENSG00000011021	4332	47.1925	4.2953
ENSG00000014914	291	4.7480	0.4322
ENSG00000016490	0	0.0021	0.0002
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	7	0.0800	0.0073
ENSG00000020129	3479	53.0724	4.8305
ENSG00000020633	7699	125.3890	11.4126
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	430	24.8491	2.2617
ENSG00000023902	22863	274.8810	25.0190
ENSG00000023909	556	7.7661	0.7069
ENSG00000024526	149	1.8977	0.1727
ENSG00000025800	13286	129.6300	11.7986
ENSG00000026751	2272	37.0113	3.3687
ENSG00000027644	23	0.3339	0.0304
ENSG00000027869	524	15.6389	1.4234
ENSG00000028137	2854	56.8423	5.1736
ENSG00000031698	7051	137.8590	12.5476
ENSG00000033122	97	0.6058	0.0551
ENSG00000034971	10	0.3601	0.0328
ENSG00000035687	6157	125.9520	11.4638
ENSG00000036549	4205	35.0114	3.1867
ENSG00000037637	4785	39.9423	3.6355
ENSG00000040487	676	18.8805	1.7184
ENSG00000041988	2392	44.0572	4.0100
ENSG00000042781	8	0.0291	0.0027
ENSG00000043514	857	20.9362	1.9056
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12957	95.4600	8.6885
ENSG00000048707	14904	54.9393	5.0004
ENSG00000049089	5171	93.4380	8.5045
ENSG00000049239	9572	78.7408	7.1668
ENSG00000049245	17709	481.2340	43.8008
ENSG00000049246	342	3.6125	0.3288
ENSG00000049247	77	3.2468	0.2955
ENSG00000049249	124	4.0648	0.3700
ENSG00000050628	19	0.1453	0.0132
ENSG00000052723	4159	52.9260	4.8172
ENSG00000053371	4870	205.0720	18.6652
ENSG00000053372	3764	100.0290	9.1044
ENSG00000054116	5567	126.0360	11.4715
ENSG00000054118	14824	234.7570	21.3671
ENSG00000054267	16820	113.9250	10.3691
ENSG00000054277	2301	49.5994	4.5144
ENSG00000054282	4782	68.3493	6.2210
ENSG00000054392	1400	24.4369	2.2242
ENSG00000054523	10281	43.5796	3.9665
ENSG00000055070	23349	368.8980	33.5762
ENSG00000055732	25	0.2860	0.0260
ENSG00000057252	4533	48.3384	4.3996
ENSG00000057468	36	0.8340	0.0759
ENSG00000057757	6617	227.0170	20.6625
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3483	21.2956	1.9383
ENSG00000058668	8233	63.5195	5.7814
ENSG00000058673	23235	179.6540	16.3516
ENSG00000058799	2301	76.3295	6.9473
ENSG00000058804	2568	37.5057	3.4137
ENSG00000059588	14049	136.0770	12.3854
ENSG00000060642	1172	25.9861	2.3652
ENSG00000060656	32	0.3594	0.0327
ENSG00000060688	3116	58.2638	5.3030
ENSG00000060718	84	0.7647	0.0696
ENSG00000064703	3542	44.1331	4.0169
ENSG00000064886	220	5.0109	0.4561
ENSG00000065135	17379	406.5640	37.0045
ENSG00000065183	1526	27.5270	2.5055
ENSG00000065243	5973	63.8650	5.8128
ENSG00000065526	44027	248.3830	22.6072
ENSG00000065600	3188	82.0446	7.4675
ENSG00000065978	97051	3771.4000	343.2638
ENSG00000066027	11338	220.1200	20.0348
ENSG00000066056	12429	139.2560	12.6747
ENSG00000066135	6053	87.7697	7.9886
ENSG00000066136	5344	66.9454	6.0932
ENSG00000066185	240	8.2155	0.7478
ENSG00000066279	421	2.9027	0.2642
ENSG00000066294	4275	34.6395	3.1528
ENSG00000066322	8392	255.9470	23.2957
ENSG00000066557	1874	48.7382	4.4360
ENSG00000067208	1226	11.1187	1.0120
ENSG00000067334	6359	79.4258	7.2291
ENSG00000067533	2541	24.1744	2.2003
ENSG00000067606	401	3.9395	0.3586
ENSG00000067704	12055	217.2340	19.7721
