gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	473	9.2222	1.2214
ENSG00000000460	575	6.7872	0.8989
ENSG00000000938	13682	291.1880	38.5666
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	125	1.0977	0.1454
ENSG00000001461	581	4.6363	0.6141
ENSG00000004455	3879	51.1974	6.7809
ENSG00000004487	3158	69.3270	9.1821
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	516	4.7693	0.6317
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1087	15.8370	2.0975
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1432	19.6804	2.6066
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1418	22.5449	2.9860
ENSG00000008130	4655	60.8324	8.0570
ENSG00000009307	39288	512.0030	67.8127
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	489	12.7396	1.6873
ENSG00000009790	3540	34.2467	4.5358
ENSG00000010072	661	8.3989	1.1124
ENSG00000010165	302	5.8996	0.7814
ENSG00000010803	5311	89.5732	11.8636
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2700	37.5671	4.9756
ENSG00000011009	1881	64.2459	8.5091
ENSG00000011021	2316	25.2337	3.3421
ENSG00000014914	6734	110.0130	14.5707
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	598	9.1271	1.2088
ENSG00000020633	1112	18.1029	2.3977
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	601	34.6805	4.5933
ENSG00000023902	22643	272.2370	36.0567
ENSG00000023909	178	2.4797	0.3284
ENSG00000024526	64	0.8113	0.1075
ENSG00000025800	9477	92.4677	12.2470
ENSG00000026751	64	1.0350	0.1371
ENSG00000027644	26	0.3860	0.0511
ENSG00000027869	62	1.8591	0.2462
ENSG00000028137	20883	415.8930	55.0833
ENSG00000031698	5126	100.2290	13.2749
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1726	35.3025	4.6757
ENSG00000036549	2148	17.8828	2.3685
ENSG00000037637	3292	27.4830	3.6400
ENSG00000040487	1014	28.3075	3.7492
ENSG00000041988	520	9.5742	1.2681
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	363	8.8558	1.1729
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2614	19.2583	2.5507
ENSG00000048707	1746	6.4359	0.8524
ENSG00000049089	1003	18.1147	2.3992
ENSG00000049239	1240	10.1978	1.3507
ENSG00000049245	8804	239.2500	31.6877
ENSG00000049246	141	1.4938	0.1978
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	10	0.3284	0.0435
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1633	20.7808	2.7523
ENSG00000053371	4391	184.9310	24.4933
ENSG00000053372	655	17.3983	2.3043
ENSG00000054116	1676	37.9411	5.0252
ENSG00000054118	6006	95.1085	12.5967
ENSG00000054267	5689	38.5345	5.1037
ENSG00000054277	1311	28.2560	3.7424
ENSG00000054282	2774	39.6581	5.2526
ENSG00000054392	192	3.3478	0.4434
ENSG00000054523	1308	5.5464	0.7346
ENSG00000055070	15287	241.5290	31.9895
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2307	24.5973	3.2578
ENSG00000057468	8	0.1837	0.0243
