gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	161	3.1501	0.5752
ENSG00000000460	283	3.3437	0.6106
ENSG00000000938	15694	334.0170	60.9940
ENSG00000000971	28	0.2579	0.0471
ENSG00000001460	90	0.7925	0.1447
ENSG00000001461	144	1.1516	0.2103
ENSG00000004455	2159	28.4915	5.2027
ENSG00000004487	2566	56.3428	10.2886
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	645	5.9672	1.0897
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	597	8.7058	1.5897
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1422	19.5371	3.5676
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3182	50.5907	9.2382
ENSG00000008130	2131	27.8526	5.0861
ENSG00000009307	31585	411.6150	75.1640
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	333	8.6867	1.5863
ENSG00000009790	1039	10.0508	1.8354
ENSG00000010072	295	3.7452	0.6839
ENSG00000010165	167	3.2508	0.5936
ENSG00000010803	3293	55.5356	10.1412
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1501	20.8850	3.8137
ENSG00000011009	730	24.9226	4.5510
ENSG00000011021	1088	11.8542	2.1646
ENSG00000014914	3786	61.8567	11.2955
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	325	4.9553	0.9049
ENSG00000020633	1650	26.8651	4.9058
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	319	18.4095	3.3617
ENSG00000023902	7269	87.3969	15.9593
ENSG00000023909	290	4.0452	0.7387
ENSG00000024526	164	2.0847	0.3807
ENSG00000025800	6199	60.4804	11.0442
ENSG00000026751	42	0.6881	0.1257
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	32	0.9538	0.1742
ENSG00000028137	9923	197.6140	36.0858
ENSG00000031698	3480	68.0381	12.4243
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	611	12.4924	2.2812
ENSG00000036549	1778	14.8066	2.7038
ENSG00000037637	2128	17.7673	3.2444
ENSG00000040487	398	11.1009	2.0271
ENSG00000041988	423	7.8001	1.4243
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	126	3.0772	0.5619
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2299	16.9366	3.0928
ENSG00000048707	956	3.5251	0.6437
ENSG00000049089	1249	22.5632	4.1202
ENSG00000049239	481	3.9608	0.7233
ENSG00000049245	8488	230.6470	42.1180
ENSG00000049246	249	2.6303	0.4803
ENSG00000049247	13	0.5468	0.0999
ENSG00000049249	364	11.9676	2.1854
ENSG00000050628	19	0.1476	0.0270
ENSG00000052723	1323	16.8337	3.0740
ENSG00000053371	2125	89.4823	16.3402
ENSG00000053372	397	10.5468	1.9259
ENSG00000054116	695	15.7386	2.8740
ENSG00000054118	3896	61.6981	11.2665
ENSG00000054267	5604	37.9566	6.9312
ENSG00000054277	446	9.6121	1.7552
ENSG00000054282	969	13.8491	2.5289
ENSG00000054392	84	1.4665	0.2678
ENSG00000054523	3277	13.8930	2.5370
ENSG00000055070	12316	194.5940	35.5342
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6114	65.1999	11.9060
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	3886	133.3120	24.3438
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	507	3.0976	0.5656
ENSG00000058668	667	5.1481	0.9401
ENSG00000058673	6450	49.8720	9.1070
ENSG00000058799	910	30.2012	5.5150
ENSG00000058804	515	7.5266	1.3744
ENSG00000059588	1222	11.8383	2.1618
ENSG00000060642	277	6.1407	1.1214
ENSG00000060656	59	0.6604	0.1206
ENSG00000060688	951	17.7791	3.2466
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1114	13.8820	2.5350
ENSG00000064886	53	1.2015	0.2194
ENSG00000065135	3057	71.5237	13.0608
ENSG00000065183	57	1.0272	0.1876
ENSG00000065243	1571	16.8038	3.0685
ENSG00000065526	13217	74.5657	13.6162
ENSG00000065600	993	25.5601	4.6674
ENSG00000065978	57917	2250.6700	410.9881
ENSG00000066027	3107	60.3285	11.0164
ENSG00000066056	1066	11.9402	2.1804
ENSG00000066135	558	8.0911	1.4775
ENSG00000066136	2004	25.1026	4.5839
ENSG00000066185	16	0.5467	0.0998
ENSG00000066279	283	1.9476	0.3557
ENSG00000066294	669	5.4242	0.9905
ENSG00000066322	3070	93.6316	17.0978
ENSG00000066557	1106	28.7531	5.2505
ENSG00000067208	317	2.8704	0.5242
ENSG00000067334	1589	19.8458	3.6240
ENSG00000067533	233	2.2165	0.4048
ENSG00000067606	255	2.5026	0.4570
ENSG00000067704	1138	20.5096	3.7452
ENSG00000069248	699	10.3729	1.8942
ENSG00000069275	4778	54.7456	9.9970
ENSG00000069424	8068	74.4615	13.5972
ENSG00000069702	115	0.9964	0.1819
ENSG00000069712	0	0.0000	0.0000
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	833	18.0468	3.2955
ENSG00000070785	205	5.0545	0.9230
ENSG00000070831	28077	606.8450	110.8144
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	261	2.7962	0.5106
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1610	22.9155	4.1845
ENSG00000074800	79351	1452.6000	265.2556
ENSG00000074964	220	2.1030	0.3840
ENSG00000075151	3989	35.4946	6.4816
ENSG00000075391	443	2.8114	0.5134
ENSG00000075945	393	5.8751	1.0728
ENSG00000076258	8	0.2384	0.0435
ENSG00000076321	524	9.2351	1.6864
ENSG00000076356	192	1.0449	0.1908
ENSG00000076864	178	2.1012	0.3837
ENSG00000077152	1453	102.3490	18.6897
ENSG00000077157	433	2.2570	0.4122
ENSG00000077254	831	9.0107	1.6454
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	14904	321.2180	58.6567
ENSG00000077585	574	18.8850	3.4485
ENSG00000078369	13824	168.9640	30.8541
ENSG00000078618	3823	43.3227	7.9110
ENSG00000078808	6679	106.6490	19.4749
ENSG00000078900	6	0.0810	0.0148
ENSG00000079277	2053	19.1065	3.4890
ENSG00000079335	1956	25.6115	4.6768
ENSG00000079739	409	7.3595	1.3439
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	40	0.4403	0.0804
ENSG00000081019	2716	29.8696	5.4544
ENSG00000081026	16	0.1467	0.0268
ENSG00000081237	22743	200.5060	36.6138
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	180	3.1286	0.5713
ENSG00000081721	2273	96.7350	17.6645
ENSG00000081870	1210	32.8837	6.0048
ENSG00000081985	39	0.6910	0.1262
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	614	5.1053	0.9323
ENSG00000083444	2599	36.5853	6.6807
ENSG00000084070	7747	176.1310	32.1628
ENSG00000084072	987	9.1671	1.6740
ENSG00000084073	440	9.2318	1.6858
ENSG00000084623	23773	1033.6200	188.7467
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	4	0.0278	0.0051
ENSG00000084652	1101	16.1795	2.9545
ENSG00000085433	532	8.7998	1.6069
ENSG00000085465	103	2.5830	0.4717
ENSG00000085491	1132	12.9714	2.3687
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	2	0.0186	0.0034
ENSG00000085832	1988	19.7457	3.6057
ENSG00000085840	2270	53.9202	9.8462
ENSG00000085998	240	2.8289	0.5166
ENSG00000085999	315	7.3605	1.3441
ENSG00000086015	660	5.5768	1.0184
ENSG00000086619	695	9.1665	1.6739
ENSG00000088035	124	1.8761	0.3426
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	2993	37.5640	6.8595
ENSG00000090104	7358	134.0430	24.4772
ENSG00000090273	5292	138.9190	25.3676
ENSG00000090432	1446	44.5296	8.1314
ENSG00000090621	13966	154.4420	28.2022
ENSG00000090686	1671	13.1996	2.4104
ENSG00000091483	1823	63.8389	11.6575
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	61	0.8138	0.1486
ENSG00000092847	3135	18.2476	3.3322
ENSG00000092850	4	0.1517	0.0277
ENSG00000092853	756	10.4842	1.9145
ENSG00000092969	47	0.6797	0.1241
ENSG00000092978	283	2.4006	0.4384
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	3224	37.3878	6.8273
ENSG00000097021	1708	26.2011	4.7845
ENSG00000097033	7865	88.3409	16.1317
ENSG00000097046	309	6.4321	1.1745
ENSG00000097096	5	0.0629	0.0115
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	626	13.4590	2.4577
ENSG00000116128	1522	17.7791	3.2466
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	0	0.0000	0.0000
ENSG00000116138	331	2.9009	0.5297
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	114	1.6306	0.2978
