gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	207	4.0403	0.6941
ENSG00000000460	273	3.2177	0.5528
ENSG00000000938	2211	47.0633	8.0850
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	122	1.0747	0.1846
ENSG00000001461	341	2.7196	0.4672
ENSG00000004455	1494	19.7158	3.3870
ENSG00000004487	4833	106.1120	18.2289
ENSG00000006555	4	0.0495	0.0085
ENSG00000007341	280	2.5880	0.4446
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	752	10.9594	1.8827
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	187	2.5633	0.4404
ENSG00000008118	18	0.5045	0.0867
ENSG00000008128	1784	28.3552	4.8711
ENSG00000008130	1715	22.4158	3.8508
ENSG00000009307	21108	275.0800	47.2558
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	18	0.3176	0.0546
ENSG00000009780	184	4.8084	0.8260
ENSG00000009790	898	8.6861	1.4922
ENSG00000010072	689	8.7528	1.5036
ENSG00000010165	465	9.0736	1.5587
ENSG00000010803	5447	91.8583	15.7803
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5442	75.7114	13.0064
ENSG00000011009	2523	86.1694	14.8030
ENSG00000011021	2164	23.5742	4.0498
ENSG00000014914	42	0.6861	0.1179
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1443	22.0045	3.7801
ENSG00000020633	18479	300.9580	51.7013
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	405	23.4095	4.0215
ENSG00000023902	11917	143.2840	24.6147
ENSG00000023909	231	3.2268	0.5543
ENSG00000024526	1	0.0127	0.0022
ENSG00000025800	9310	90.8319	15.6040
ENSG00000026751	170	2.7693	0.4757
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	219	6.5382	1.1232
ENSG00000028137	3765	74.9896	12.8824
ENSG00000031698	2446	47.8238	8.2156
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	230	4.7144	0.8099
ENSG00000036549	3874	32.2554	5.5411
ENSG00000037637	3513	29.3295	5.0385
ENSG00000040487	176	4.9077	0.8431
ENSG00000041988	1969	36.2743	6.2315
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	229	5.5848	0.9594
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	1375	10.1266	1.7396
ENSG00000048707	603	2.2235	0.3820
ENSG00000049089	583	10.5336	1.8096
ENSG00000049239	2756	22.6725	3.8949
ENSG00000049245	7986	217.0100	37.2800
ENSG00000049246	339	3.5790	0.6148
ENSG00000049247	295	12.4100	2.1319
ENSG00000049249	81	2.6646	0.4578
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1047	13.3281	2.2896
ENSG00000053371	2725	114.7610	19.7147
ENSG00000053372	917	24.3721	4.1869
ENSG00000054116	1847	41.8189	7.1840
ENSG00000054118	1981	31.3758	5.3900
ENSG00000054267	4783	32.3953	5.5652
ENSG00000054277	144	3.1069	0.5337
ENSG00000054282	619	8.8542	1.5211
ENSG00000054392	572	9.9900	1.7162
ENSG00000054523	764	3.2367	0.5560
ENSG00000055070	26947	425.7430	73.1382
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	733	7.8160	1.3427
ENSG00000057468	4	0.0919	0.0158
ENSG00000057757	5286	181.3460	31.1534
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	441	2.6974	0.4634
ENSG00000058668	1473	11.3678	1.9529
ENSG00000058673	3771	29.1555	5.0086
ENSG00000058799	1115	36.9828	6.3533
ENSG00000058804	442	6.4621	1.1101
ENSG00000059588	1879	18.1955	3.1258
ENSG00000060642	1026	22.7513	3.9084
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	1733	32.4119	5.5680
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	622	7.7556	1.3323
ENSG00000064886	111	2.5266	0.4340
ENSG00000065135	1403	32.8256	5.6391
ENSG00000065183	93	1.6761	0.2880
ENSG00000065243	1149	12.2821	2.1099
ENSG00000065526	13319	75.1387	12.9080
ENSG00000065600	5500	141.5660	24.3195
ENSG00000065978	76407	2969.1700	510.0716
ENSG00000066027	2227	43.2405	7.4282
ENSG00000066056	3195	35.7962	6.1494
ENSG00000066135	1551	22.4911	3.8637
ENSG00000066136	1459	18.2831	3.1408
ENSG00000066185	107	3.6410	0.6255
ENSG00000066279	8	0.0551	0.0095
