gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1805	35.2214	4.1044
ENSG00000000460	990	11.6821	1.3613
ENSG00000000938	26675	567.7170	66.1573
ENSG00000000971	70	0.6442	0.0751
ENSG00000001460	343	3.0195	0.3519
ENSG00000001461	1254	10.0003	1.1654
ENSG00000004455	7550	99.6386	11.6111
ENSG00000004487	12386	271.9350	31.6892
ENSG00000006555	207	2.5599	0.2983
ENSG00000007341	2649	24.4914	2.8540
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	631	9.1968	1.0717
ENSG00000007933	4	0.0866	0.0101
ENSG00000007968	1629	22.3846	2.6085
ENSG00000008118	38	1.0635	0.1239
ENSG00000008128	5917	94.0557	10.9605
ENSG00000008130	7959	104.0170	12.1213
ENSG00000009307	124498	1622.4800	189.0712
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1795	31.6676	3.6903
ENSG00000009780	2093	54.5859	6.3610
ENSG00000009790	3801	36.7703	4.2849
ENSG00000010072	2676	33.9819	3.9600
ENSG00000010165	825	16.1062	1.8769
ENSG00000010803	2815	47.4761	5.5325
ENSG00000010932	20	0.4289	0.0500
ENSG00000011007	6842	95.1797	11.0915
ENSG00000011009	3027	103.3890	12.0482
ENSG00000011021	5830	63.5147	7.4015
ENSG00000014914	1029	16.8070	1.9586
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	3	0.0595	0.0069
ENSG00000018625	7	0.0786	0.0092
ENSG00000020129	285	4.3516	0.5071
ENSG00000020633	10410	169.5380	19.7567
ENSG00000021852	16	0.4397	0.0512
ENSG00000023572	292	16.8499	1.9636
ENSG00000023902	29255	351.7370	40.9887
ENSG00000023909	951	13.2789	1.5474
ENSG00000024526	85	1.0782	0.1257
ENSG00000025800	14742	143.8340	16.7613
ENSG00000026751	176	2.8627	0.3336
ENSG00000027644	63	0.9235	0.1076
ENSG00000027869	465	13.8961	1.6194
ENSG00000028137	33444	666.0330	77.6143
ENSG00000031698	5163	100.9350	11.7622
ENSG00000033122	143	0.8928	0.1040
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2483	50.7911	5.9188
ENSG00000036549	3282	27.3255	3.1843
ENSG00000037637	13103	109.3850	12.7469
ENSG00000040487	1581	44.1474	5.1446
