gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	616	12.0203	1.4499
ENSG00000000460	1231	14.5310	1.7528
ENSG00000000938	4424	94.1578	11.3575
ENSG00000000971	2197	20.2358	2.4409
ENSG00000001460	398	3.5059	0.4229
ENSG00000001461	2144	17.0992	2.0625
ENSG00000004455	26401	348.4220	42.0273
ENSG00000004487	12284	269.7010	32.5319
ENSG00000006555	72	0.8918	0.1076
ENSG00000007341	1311	12.1258	1.4626
ENSG00000007908	258	4.5809	0.5526
ENSG00000007923	2236	32.5813	3.9300
ENSG00000007933	91	1.9697	0.2376
ENSG00000007968	2546	34.9875	4.2203
ENSG00000008118	22	0.6211	0.0749
ENSG00000008128	2167	34.4525	4.1557
ENSG00000008130	6360	83.1204	10.0261
ENSG00000009307	53214	693.4910	83.6503
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2557	0.0308
ENSG00000009780	712	18.5549	2.2381
ENSG00000009790	3583	34.6618	4.1810
ENSG00000010072	1679	21.3193	2.5716
ENSG00000010165	893	17.4226	2.1015
ENSG00000010803	6899	116.3530	14.0347
ENSG00000010932	56	1.1751	0.1417
ENSG00000011007	7411	103.1060	12.4369
ENSG00000011009	4256	145.3550	17.5330
ENSG00000011021	2410	26.2571	3.1672
ENSG00000014914	64	1.0455	0.1261
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0595	0.0072
ENSG00000020129	2934	44.7576	5.3988
ENSG00000020633	6428	104.6980	12.6288
ENSG00000021852	2	0.0550	0.0066
ENSG00000023572	389	22.4442	2.7072
ENSG00000023902	8228	98.9243	11.9325
ENSG00000023909	994	13.8761	1.6738
ENSG00000024526	118	1.4981	0.1807
ENSG00000025800	12294	119.9450	14.4680
ENSG00000026751	387	6.2973	0.7596
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	818	24.4180	2.9453
ENSG00000028137	4029	80.2379	9.6784
ENSG00000031698	5011	97.9781	11.8183
ENSG00000033122	8	0.0500	0.0060
ENSG00000034971	14	0.5041	0.0608
ENSG00000035687	2616	53.5251	6.4563
ENSG00000036549	2288	19.0525	2.2981
ENSG00000037637	5778	48.2359	5.8183
ENSG00000040487	356	9.9512	1.2003
ENSG00000041988	1023	18.8387	2.2723
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	680	16.6027	2.0027
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4084	30.0869	3.6291
ENSG00000048707	3755	13.8409	1.6695
