gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2647	51.6519	3.3989
ENSG00000000460	5625	66.4005	4.3694
ENSG00000000938	19040	405.2270	26.6652
ENSG00000000971	783	7.2084	0.4743
ENSG00000001460	1191	10.4941	0.6905
ENSG00000001461	10354	82.5754	5.4337
ENSG00000004455	89484	1180.9400	77.7096
ENSG00000004487	29002	636.7480	41.9000
ENSG00000006555	42	0.5242	0.0345
ENSG00000007341	3275	30.2812	1.9926
ENSG00000007908	1	0.0178	0.0012
ENSG00000007923	11624	169.3740	11.1454
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2309	31.7372	2.0884
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7328	116.4900	7.6654
ENSG00000008130	13703	179.0750	11.7837
ENSG00000009307	130710	1703.4300	112.0913
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	557	9.8285	0.6467
ENSG00000009780	1761	45.9315	3.0224
ENSG00000009790	22377	216.4640	14.2440
ENSG00000010072	1586	20.1343	1.3249
ENSG00000010165	11661	227.5740	14.9751
ENSG00000010803	18913	318.9680	20.9891
ENSG00000010932	30	0.6245	0.0411
ENSG00000011007	11720	163.0540	10.7295
ENSG00000011009	9177	313.4320	20.6248
ENSG00000011021	5745	62.5864	4.1184
ENSG00000014914	862	14.0741	0.9261
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0237	0.0016
ENSG00000020129	9409	143.5150	9.4437
ENSG00000020633	11487	187.0840	12.3107
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1753	101.2190	6.6606
ENSG00000023902	19827	238.3810	15.6862
ENSG00000023909	1261	17.5953	1.1578
ENSG00000024526	307	3.9036	0.2569
ENSG00000025800	21736	212.0720	13.9550
ENSG00000026751	454	7.4031	0.4871
ENSG00000027644	9	0.1323	0.0087
ENSG00000027869	287	8.5701	0.5639
ENSG00000028137	12724	253.4060	16.6749
ENSG00000031698	21500	420.3560	27.6608
ENSG00000033122	53	0.3301	0.0217
ENSG00000034971	6	0.2160	0.0142
ENSG00000035687	9669	197.8170	13.0170
ENSG00000036549	3871	32.2277	2.1207
ENSG00000037637	10111	84.4077	5.5543
ENSG00000040487	5427	151.5440	9.9720
ENSG00000041988	6530	120.2650	7.9138
ENSG00000042781	6	0.0219	0.0014
ENSG00000043514	2938	71.7548	4.7217
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15518	114.3280	7.5231
ENSG00000048707	15955	58.8127	3.8701
ENSG00000049089	3703	66.9116	4.4030
ENSG00000049239	13618	112.0230	7.3715
ENSG00000049245	11679	317.3630	20.8835
ENSG00000049246	350	3.6992	0.2434
ENSG00000049247	64	2.6983	0.1776
ENSG00000049249	29	0.9466	0.0623
ENSG00000050628	2	0.0155	0.0010
ENSG00000052723	3882	49.3941	3.2503
ENSG00000053371	21726	914.9280	60.2051
ENSG00000053372	11816	314.0260	20.6639
ENSG00000054116	12352	279.6270	18.4004
ENSG00000054118	31533	499.3560	32.8592
ENSG00000054267	7390	50.0560	3.2938
ENSG00000054277	12707	273.8560	18.0206
ENSG00000054282	5749	82.1795	5.4077
ENSG00000054392	1654	28.8785	1.9003
ENSG00000054523	4391	18.6114	1.2247
ENSG00000055070	37753	596.4760	39.2500
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	8201	87.4553	5.7548
ENSG00000057468	20	0.4669	0.0307
ENSG00000057757	11440	392.5050	25.8280
ENSG00000058085	2	0.0229	0.0015
ENSG00000058453	3553	21.7286	1.4298
ENSG00000058668	43295	334.0320	21.9804
ENSG00000058673	22469	173.7300	11.4320
ENSG00000058799	6407	212.5340	13.9854
ENSG00000058804	9685	141.4540	9.3081
ENSG00000059588	26710	258.7210	17.0247
ENSG00000060642	3816	84.6295	5.5689
ENSG00000060656	16	0.1791	0.0118
ENSG00000060688	10149	189.7640	12.4871
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3201	39.8880	2.6248
ENSG00000064886	110	2.5120	0.1653
ENSG00000065135	12248	286.5200	18.8539
ENSG00000065183	6336	114.2640	7.5189
ENSG00000065243	2541	27.1722	1.7880
ENSG00000065526	34494	194.6030	12.8055
ENSG00000065600	8124	209.0930	13.7590
ENSG00000065978	136059	5287.2500	347.9176
ENSG00000066027	11281	219.0140	14.4118
ENSG00000066056	6585	73.7785	4.8549
ENSG00000066135	15320	222.1520	14.6183
ENSG00000066136	7958	99.6855	6.5596
ENSG00000066185	631	21.5654	1.4191
ENSG00000066279	1526	10.5132	0.6918
ENSG00000066294	24133	195.5710	12.8692
ENSG00000066322	15631	476.7500	31.3716
ENSG00000066557	958	24.9102	1.6392
ENSG00000067208	537	4.8656	0.3202
ENSG00000067334	8153	101.8320	6.7009
ENSG00000067533	1564	14.8796	0.9791
ENSG00000067606	2338	22.9684	1.5114
ENSG00000067704	23233	418.6710	27.5499
ENSG00000069248	7606	112.8110	7.4233
ENSG00000069275	46664	534.6480	35.1815
ENSG00000069424	125851	1161.5600	76.4341
ENSG00000069702	139	1.2038	0.0792
ENSG00000069712	222	3.5994	0.2369
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	4639	100.5510	6.6166
ENSG00000070785	5283	130.2030	8.5678
ENSG00000070831	62702	1355.2200	89.1780
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	320	3.4352	0.2261
