gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	113	2.2047	0.2811
ENSG00000000460	233	2.7460	0.3501
ENSG00000000938	11795	251.0280	32.0018
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	310	2.7274	0.3477
ENSG00000001461	1082	8.6283	1.1000
ENSG00000004455	4385	57.8721	7.3777
ENSG00000004487	2969	65.1900	8.3106
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	562	5.1944	0.6622
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2368	34.5044	4.3987
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	819	11.2606	1.4355
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	854	13.5827	1.7316
ENSG00000008130	5028	65.7099	8.3769
ENSG00000009307	15525	202.3260	25.7931
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	26	0.4587	0.0585
ENSG00000009780	290	7.5591	0.9637
ENSG00000009790	2273	21.9921	2.8036
ENSG00000010072	350	4.4446	0.5666
ENSG00000010165	877	17.1168	2.1821
ENSG00000010803	10243	172.7580	22.0237
ENSG00000010932	36	0.7555	0.0963
ENSG00000011007	3087	42.9423	5.4744
ENSG00000011009	5656	193.1600	24.6246
ENSG00000011021	1305	14.2198	1.8128
ENSG00000014914	3756	61.3644	7.8229
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1881	28.6850	3.6568
ENSG00000020633	1837	29.9249	3.8149
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	569	32.8661	4.1899
ENSG00000023902	23751	285.5590	36.4038
ENSG00000023909	96	1.3385	0.1706
ENSG00000024526	65	0.8257	0.1053
ENSG00000025800	3444	33.6023	4.2837
ENSG00000026751	36	0.5864	0.0748
ENSG00000027644	8	0.1176	0.0150
ENSG00000027869	1009	30.1310	3.8412
ENSG00000028137	40966	815.8300	104.0043
ENSG00000031698	4416	86.3472	11.0078
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	844	17.2733	2.2021
ENSG00000036549	1244	10.3603	1.3208
ENSG00000037637	2187	18.2615	2.3280
ENSG00000040487	1104	30.8340	3.9308
ENSG00000041988	884	16.2900	2.0767
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	181	4.4204	0.5635
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2282	16.8126	2.1433
ENSG00000048707	1643	6.0567	0.7721
ENSG00000049089	959	17.3190	2.2079
ENSG00000049239	7822	64.3440	8.2027
ENSG00000049245	7696	209.1420	26.6621
ENSG00000049246	1	0.0106	0.0013
ENSG00000049247	43	1.8088	0.2306
ENSG00000049249	35	1.1471	0.1462
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	528	6.7129	0.8558
ENSG00000053371	9276	390.6380	49.7997
ENSG00000053372	2583	68.6460	8.7512
ENSG00000054116	2747	62.1905	7.9282
ENSG00000054118	3385	53.5980	6.8328
ENSG00000054267	1304	8.8323	1.1260
ENSG00000054277	1587	34.1991	4.3598
ENSG00000054282	1433	20.4803	2.6109
ENSG00000054392	187	3.2677	0.4166
ENSG00000054523	1154	4.8911	0.6235
ENSG00000055070	15982	252.5050	32.1901
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	378	4.0290	0.5136
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	3366	115.4900	14.7230
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	65	0.3962	0.0505
ENSG00000058668	5762	44.4520	5.6669
ENSG00000058673	3190	24.6675	3.1447
ENSG00000058799	1527	50.6519	6.4573
ENSG00000058804	734	10.7176	1.3663
ENSG00000059588	842	8.1596	1.0402
ENSG00000060642	902	19.9967	2.5492
ENSG00000060656	0	0.0000	0.0000
ENSG00000060688	987	18.4592	2.3532
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	487	6.0683	0.7736
ENSG00000064886	79	1.7982	0.2292
ENSG00000065135	2016	47.1560	6.0116
ENSG00000065183	165	2.9755	0.3793
ENSG00000065243	431	4.6131	0.5881
ENSG00000065526	16027	90.4177	11.5267
ENSG00000065600	1230	31.6517	4.0350
ENSG00000065978	52968	2058.3400	262.4023
ENSG00000066027	1758	34.1281	4.3508
ENSG00000066056	5172	57.9479	7.3874
ENSG00000066135	454	6.5905	0.8402
ENSG00000066136	4875	61.0728	7.7857
ENSG00000066185	105	3.5877	0.4574
ENSG00000066279	89	0.6131	0.0782
ENSG00000066294	1096	8.8823	1.1323
ENSG00000066322	11252	343.1970	43.7517
ENSG00000066557	166	4.3169	0.5503
ENSG00000067208	81	0.7344	0.0936
ENSG00000067334	1886	23.5545	3.0028
ENSG00000067533	176	1.6732	0.2133
ENSG00000067606	131	1.2847	0.1638
ENSG00000067704	1658	29.8832	3.8096
ENSG00000069248	389	5.7722	0.7359
ENSG00000069275	4388	50.2753	6.4092
ENSG00000069424	40847	377.0070	48.0619
ENSG00000069702	68	0.5893	0.0751
ENSG00000069712	27	0.4380	0.0558
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1596	34.6017	4.4111
ENSG00000070785	249	6.1255	0.7809
ENSG00000070831	11531	249.2190	31.7712
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1524	16.3373	2.0827
ENSG00000073754	22	0.6718	0.0856
ENSG00000073756	9660	137.5020	17.5292
ENSG00000074800	253508	4640.7300	591.6137
ENSG00000074964	648	6.1954	0.7898
ENSG00000075151	3138	27.9204	3.5594
ENSG00000075391	57	0.3617	0.0461
ENSG00000075945	623	9.3125	1.1872
ENSG00000076258	142	4.2400	0.5405
ENSG00000076321	369	6.5054	0.8293
ENSG00000076356	337	1.8336	0.2338
ENSG00000076864	0	0.0000	0.0000
ENSG00000077152	211	14.8592	1.8943
ENSG00000077157	308	1.6031	0.2044
ENSG00000077254	289	3.1378	0.4000
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	47015	1013.2600	129.1736
ENSG00000077585	266	8.7499	1.1155
ENSG00000078369	38646	472.3730	60.2194
ENSG00000078618	3971	44.9944	5.7360
ENSG00000078808	15888	253.6980	32.3421
ENSG00000078900	10	0.1350	0.0172
ENSG00000079277	4359	40.5659	5.1715
ENSG00000079335	204	2.6706	0.3405
ENSG00000079739	358	6.4440	0.8215
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	77	0.8476	0.1081
ENSG00000081019	1622	17.8400	2.2743
ENSG00000081026	15	0.1375	0.0175
ENSG00000081237	4998	44.0675	5.6178
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1482	25.7643	3.2845
ENSG00000081721	1024	43.5783	5.5555
ENSG00000081870	1427	38.7811	4.9439
ENSG00000081985	0	0.0000	0.0000
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	772	6.4177	0.8181
ENSG00000083444	5931	83.5059	10.6456
ENSG00000084070	20704	470.6840	60.0041
ENSG00000084072	2465	22.9071	2.9203
ENSG00000084073	420	8.8163	1.1239
ENSG00000084623	16131	701.3640	89.4118
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	3416	50.2001	6.3996
ENSG00000085433	286	4.7317	0.6032
ENSG00000085465	64	1.6064	0.2048
ENSG00000085491	1232	14.1068	1.7984
ENSG00000085552	226	2.5601	0.3264
ENSG00000085831	43	0.3445	0.0439
ENSG00000085832	1486	14.7562	1.8812
ENSG00000085840	1170	27.8065	3.5449
ENSG00000085998	2930	34.5185	4.4005
ENSG00000085999	265	6.1877	0.7888
ENSG00000086015	1351	11.4196	1.4558
ENSG00000086619	437	5.7628	0.7347
ENSG00000088035	71	1.0694	0.1363
ENSG00000088280	10	0.1533	0.0195
ENSG00000090020	4327	54.3101	6.9236
ENSG00000090104	2329	42.4277	5.4088
ENSG00000090273	9607	252.1840	32.1491
ENSG00000090432	4278	131.7170	16.7916
ENSG00000090621	19999	221.1570	28.1938
ENSG00000090686	1062	8.3904	1.0696
ENSG00000091483	1456	50.9753	6.4985
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	2978	39.7293	5.0648
ENSG00000092847	3867	22.5072	2.8693
ENSG00000092850	82	3.1031	0.3956
ENSG00000092853	320	4.4354	0.5654
ENSG00000092969	1	0.0146	0.0019
ENSG00000092978	315	2.6727	0.3407
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	617	7.1593	0.9127
ENSG00000097021	4124	63.2750	8.0665
ENSG00000097033	2699	30.3202	3.8653
ENSG00000097046	136	2.8341	0.3613
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	2042	43.9309	5.6004
ENSG00000116128	246	2.8790	0.3670
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	220	3.7199	0.4742
ENSG00000116138	423	3.7013	0.4719
ENSG00000116141	22	0.2310	0.0294
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	338	4.8416	0.6172
ENSG00000116157	8932	396.1770	50.5057
ENSG00000116161	2131	35.4435	4.5184
ENSG00000116171	1884	17.0137	2.1690
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	23	0.2324	0.0296
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1413	13.4539	1.7151
ENSG00000116199	520	6.4569	0.8231
ENSG00000116205	296	3.8105	0.4858
ENSG00000116209	4586	82.7534	10.5496
ENSG00000116212	350	10.8839	1.3875
ENSG00000116213	1473	14.5305	1.8524
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	14487	492.9740	62.8456
ENSG00000116237	2646	40.4093	5.1515
ENSG00000116251	16955	259.5210	33.0845
ENSG00000116254	53	0.4019	0.0512
ENSG00000116260	13175	106.1270	13.5293
ENSG00000116266	497	6.3227	0.8060
ENSG00000116273	123	2.5061	0.3195
ENSG00000116285	4	0.0717	0.0091
ENSG00000116288	6864	214.7770	27.3804
ENSG00000116299	50	0.4012	0.0511
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	17713	194.5580	24.8028
ENSG00000116350	1949	45.9906	5.8630
ENSG00000116353	1686	31.8966	4.0663
ENSG00000116396	129	1.0363	0.1321
ENSG00000116406	239	2.3798	0.3034
ENSG00000116455	2545	68.0488	8.6751
ENSG00000116459	3439	76.2486	9.7204
ENSG00000116473	2175	28.4535	3.6273
ENSG00000116478	3904	73.0389	9.3112
ENSG00000116489	1169	21.2235	2.7056
ENSG00000116497	760	6.2015	0.7906
ENSG00000116514	5520	158.6140	20.2206
ENSG00000116521	14197	436.0270	55.5860
ENSG00000116525	543	10.2598	1.3079
ENSG00000116539	1537	8.6685	1.1051
ENSG00000116544	8069	152.1600	19.3977
ENSG00000116560	11691	118.0790	15.0531
ENSG00000116574	1440	24.6988	3.1487
ENSG00000116580	1871	11.5405	1.4712
ENSG00000116584	9772	98.8518	12.6019
ENSG00000116586	10503	547.8120	69.8365
ENSG00000116604	68742	805.5660	102.6958
ENSG00000116641	498	3.4368	0.4381
ENSG00000116649	29340	1159.3800	147.8015
ENSG00000116652	0	0.0000	0.0000
ENSG00000116661	84	2.7004	0.3443
ENSG00000116663	1049	43.4224	5.5356
ENSG00000116667	441	3.0170	0.3846
ENSG00000116668	115	2.1275	0.2712
ENSG00000116670	5150	113.5070	14.4702
ENSG00000116675	0	0.0000	0.0000
ENSG00000116678	313	2.0489	0.2612
ENSG00000116679	880	8.3219	1.0609
ENSG00000116685	6745	154.1790	19.6551
ENSG00000116688	3856	58.0904	7.4055
ENSG00000116690	16	0.2376	0.0303
ENSG00000116691	4764	126.6580	16.1468
ENSG00000116698	6618	59.6825	7.6085
ENSG00000116701	2868	73.4518	9.3638
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	178	1.8661	0.2379
ENSG00000116711	50	1.3043	0.1663
ENSG00000116717	3907	141.6380	18.0564
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	0	0.0000	0.0000
ENSG00000116731	2315	15.9125	2.0286
ENSG00000116741	7508	269.9260	34.4110
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	998	8.2265	1.0487
ENSG00000116748	18	0.5465	0.0697
ENSG00000116750	795	16.5604	2.1112
ENSG00000116752	1347	77.7460	9.9113
ENSG00000116754	1491	13.1877	1.6812
ENSG00000116761	1085	33.7001	4.2962
ENSG00000116771	0	0.0000	0.0000
ENSG00000116774	595	19.7020	2.5117
ENSG00000116783	62	0.7899	0.1007
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	13698	249.2430	31.7741
ENSG00000116791	82	1.5070	0.1921
ENSG00000116793	507	5.3022	0.6759
ENSG00000116809	3934	69.5833	8.8707
ENSG00000116815	532	22.3573	2.8502
ENSG00000116819	35	1.1992	0.1529
ENSG00000116824	442	19.7570	2.5187
ENSG00000116830	1191	14.2896	1.8217
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	2025	12.5028	1.5939
ENSG00000116857	3163	60.5890	7.7241
ENSG00000116863	1081	48.5081	6.1839
ENSG00000116871	17947	255.3650	32.5547
ENSG00000116874	316	6.1606	0.7854
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	833	34.0840	4.3451
ENSG00000116885	237	6.2987	0.8030
ENSG00000116898	8971	230.7350	29.4147
ENSG00000116903	650	9.5216	1.2138
ENSG00000116906	913	21.5881	2.7521
ENSG00000116918	514	6.1360	0.7822
ENSG00000116922	172	3.6441	0.4646
ENSG00000116954	870	12.6282	1.6099
ENSG00000116957	181	5.2851	0.6738
ENSG00000116962	14098	180.3160	22.9872
ENSG00000116977	1019	7.8707	1.0034
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	0	0.0000	0.0000
ENSG00000116984	572	3.7605	0.4794
ENSG00000116985	2	0.0292	0.0037
ENSG00000116990	275	4.0721	0.5191
ENSG00000116991	43	0.4181	0.0533
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	486	5.7538	0.7335
ENSG00000117009	14	0.1766	0.0225
ENSG00000117010	676	16.6881	2.1274
ENSG00000117013	41	0.7351	0.0937
ENSG00000117016	81	0.8397	0.1070
ENSG00000117020	209	2.0876	0.2661
ENSG00000117036	1049	11.7297	1.4953
ENSG00000117054	876	13.7481	1.7526
ENSG00000117069	0	0.0000	0.0000
