gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	283	5.5206	0.5517
ENSG00000000460	372	4.3950	0.4392
ENSG00000000938	17855	379.9990	37.9776
ENSG00000000971	25	0.2302	0.0230
ENSG00000001460	353	3.1108	0.3109
ENSG00000001461	1507	12.0204	1.2013
ENSG00000004455	23861	314.9030	31.4718
ENSG00000004487	6479	142.2420	14.2158
ENSG00000006555	267	3.3026	0.3301
ENSG00000007341	872	8.0645	0.8060
ENSG00000007908	18	0.3200	0.0320
ENSG00000007923	1468	21.3971	2.1385
ENSG00000007933	4	0.0861	0.0086
ENSG00000007968	3510	48.2434	4.8215
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3367	53.5187	5.3487
ENSG00000008130	5768	75.3809	7.5337
ENSG00000009307	34692	452.1120	45.1847
ENSG00000009709	7	0.0832	0.0083
ENSG00000009724	199	3.5180	0.3516
ENSG00000009780	676	17.6189	1.7609
ENSG00000009790	2290	22.1567	2.2144
ENSG00000010072	1549	19.6651	1.9654
ENSG00000010165	659	12.8519	1.2844
ENSG00000010803	6399	107.9280	10.7865
ENSG00000010932	16	0.3318	0.0332
ENSG00000011007	9607	133.6530	13.3575
ENSG00000011009	3857	131.7170	13.1640
ENSG00000011021	2146	23.3800	2.3366
ENSG00000014914	967	15.7935	1.5784
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0254	0.0025
ENSG00000020129	1104	16.8426	1.6833
ENSG00000020633	11852	193.0270	19.2914
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	726	41.8976	4.1873
ENSG00000023902	23628	284.0860	28.3919
ENSG00000023909	914	12.7592	1.2752
ENSG00000024526	22	0.2795	0.0279
ENSG00000025800	11756	114.7020	11.4635
ENSG00000026751	41	0.6670	0.0667
ENSG00000027644	5	0.0672	0.0067
ENSG00000027869	382	11.4041	1.1397
ENSG00000028137	7136	142.1100	14.2027
ENSG00000031698	5215	101.9550	10.1895
ENSG00000033122	9	0.0563	0.0056
ENSG00000034971	0	0.0000	0.0000
