gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1357	26.4844	2.1122
ENSG00000000460	1266	14.9485	1.1922
ENSG00000000938	69193	1472.6000	117.4441
ENSG00000000971	43	0.3959	0.0316
ENSG00000001460	1850	16.2932	1.2994
ENSG00000001461	5616	44.7932	3.5724
ENSG00000004455	61119	806.6080	64.3292
ENSG00000004487	14853	326.1030	26.0076
ENSG00000006555	118	1.4614	0.1166
ENSG00000007341	2295	21.2230	1.6926
ENSG00000007908	0	0.0043	0.0003
ENSG00000007923	5322	77.5543	6.1852
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5395	74.1450	5.9133
ENSG00000008118	2	0.0561	0.0045
ENSG00000008128	4852	77.1327	6.1515
ENSG00000008130	15460	202.0330	16.1127
ENSG00000009307	34050	443.7410	35.3896
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	86	1.5142	0.1208
ENSG00000009780	766	19.9708	1.5927
ENSG00000009790	6272	60.6711	4.8387
ENSG00000010072	670	8.5140	0.6790
ENSG00000010165	5241	102.2810	8.1572
ENSG00000010803	8066	136.0380	10.8494
ENSG00000010932	90	1.8858	0.1504
ENSG00000011007	5604	77.9644	6.2179
ENSG00000011009	11466	391.6030	31.2315
ENSG00000011021	3451	37.6015	2.9988
ENSG00000014914	1787	29.1973	2.3286
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0192	0.0015
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	6367	97.1096	7.7448
ENSG00000020633	13079	213.0060	16.9878
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1422	82.0770	6.5459
ENSG00000023902	21565	259.2810	20.6784
ENSG00000023909	568	7.9204	0.6317
ENSG00000024526	114	1.4480	0.1155
ENSG00000025800	12351	120.5010	9.6103
ENSG00000026751	90	1.4672	0.1170
ENSG00000027644	72	1.0629	0.0848
ENSG00000027869	1624	48.4853	3.8668
ENSG00000028137	28343	564.4610	45.0173
ENSG00000031698	17407	340.3300	27.1423
ENSG00000033122	1	0.0088	0.0007
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4508	92.2354	7.3560
ENSG00000036549	1008	8.3898	0.6691
ENSG00000037637	7418	61.9305	4.9391
ENSG00000040487	5325	148.6920	11.8586
ENSG00000041988	4733	87.1788	6.9528
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	584	14.2742	1.1384
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3077	22.6716	1.8081
ENSG00000048707	2973	10.9589	0.8740
ENSG00000049089	17534	316.8070	25.2662
ENSG00000049239	17255	141.9500	11.3209
ENSG00000049245	9623	261.5070	20.8559
ENSG00000049246	1648	17.3956	1.3873
ENSG00000049247	485	20.4033	1.6272
ENSG00000049249	27	0.8989	0.0717
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1404	17.8649	1.4248
ENSG00000053371	14563	613.2780	48.9106
ENSG00000053372	7685	204.2570	16.2900
ENSG00000054116	10859	245.8320	19.6058
ENSG00000054118	12755	201.9900	16.1093
ENSG00000054267	4065	27.5332	2.1958
ENSG00000054277	905	19.5106	1.5560
ENSG00000054282	2556	36.5334	2.9136
ENSG00000054392	697	12.1755	0.9710
ENSG00000054523	3527	14.9492	1.1922
ENSG00000055070	31311	494.7000	39.4537
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1384	14.7552	1.1768
ENSG00000057468	5	0.1062	0.0085
ENSG00000057757	5870	201.4040	16.0625
ENSG00000058085	4	0.0459	0.0037
ENSG00000058453	2493	15.2456	1.2159
ENSG00000058668	26133	201.6230	16.0800
ENSG00000058673	4195	32.4341	2.5867
ENSG00000058799	3621	120.1260	9.5804
ENSG00000058804	2703	39.4826	3.1488
ENSG00000059588	6824	66.0939	5.2712
ENSG00000060642	2930	64.9823	5.1825
ENSG00000060656	562	6.2909	0.5017
ENSG00000060688	5891	110.1490	8.7847
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1089	13.5672	1.0820
ENSG00000064886	83	1.8986	0.1514
ENSG00000065135	4482	104.8480	8.3619
ENSG00000065183	1051	18.9560	1.5118
ENSG00000065243	596	6.3701	0.5080
ENSG00000065526	13605	76.7535	6.1213
ENSG00000065600	3881	99.8898	7.9665
ENSG00000065978	101142	3930.3700	313.4578
ENSG00000066027	7780	151.0570	12.0472
ENSG00000066056	25444	285.0810	22.7360
ENSG00000066135	5876	85.2063	6.7954
ENSG00000066136	8401	105.2400	8.3932
ENSG00000066185	301	10.2847	0.8202
ENSG00000066279	249	1.7161	0.1369
ENSG00000066294	8289	67.1684	5.3569
ENSG00000066322	22230	678.0180	54.0738
ENSG00000066557	247	6.4154	0.5116
ENSG00000067208	256	2.3192	0.1850
ENSG00000067334	1615	20.1744	1.6090
ENSG00000067533	685	6.5211	0.5201
ENSG00000067606	1641	16.1222	1.2858
ENSG00000067704	4906	88.4025	7.0503
ENSG00000069248	1390	20.6112	1.6438
ENSG00000069275	14729	168.7540	13.4586
ENSG00000069424	88262	814.6240	64.9685
ENSG00000069702	5	0.0443	0.0035
ENSG00000069712	56	0.9079	0.0724
ENSG00000069812	1	0.0139	0.0011
ENSG00000070759	4969	107.7100	8.5902
ENSG00000070785	1271	31.3191	2.4978
ENSG00000070831	46461	1004.1900	80.0873
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	84	0.8964	0.0715
ENSG00000073754	2	0.0611	0.0049
ENSG00000073756	2442	34.7620	2.7724
ENSG00000074800	547030	10014.0000	798.6419
ENSG00000074964	202	1.9309	0.1540
ENSG00000075151	8479	75.4470	6.0171
ENSG00000075391	1118	7.0938	0.5657
ENSG00000075945	752	11.2549	0.8976
ENSG00000076258	339	10.1045	0.8059
ENSG00000076321	728	12.8392	1.0240
ENSG00000076356	413	2.2483	0.1793
ENSG00000076864	16	0.1870	0.0149
ENSG00000077152	1172	82.5606	6.5844
ENSG00000077157	1631	8.4971	0.6777
ENSG00000077254	1305	14.1496	1.1285
ENSG00000077522	14	0.1938	0.0155
ENSG00000077549	77514	1670.5600	133.2314
ENSG00000077585	486	15.9917	1.2754
