gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	296	5.7843	0.9246
ENSG00000000460	497	5.8716	0.9385
ENSG00000000938	694	14.7719	2.3611
ENSG00000000971	69	0.6354	0.1016
ENSG00000001460	172	1.5166	0.2424
ENSG00000001461	600	4.7821	0.7644
ENSG00000004455	6450	85.1274	13.6067
ENSG00000004487	6573	144.3190	23.0678
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	801	7.4101	1.1844
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3113	45.3635	7.2509
ENSG00000007933	10	0.2166	0.0346
ENSG00000007968	731	10.0434	1.6053
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1534	24.3872	3.8980
ENSG00000008130	4117	53.7974	8.5989
ENSG00000009307	24140	314.6020	50.2858
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	151	3.9412	0.6300
ENSG00000009790	1096	10.6027	1.6947
ENSG00000010072	491	6.2333	0.9963
ENSG00000010165	992	19.3679	3.0957
ENSG00000010803	7120	120.0840	19.1942
ENSG00000010932	14	0.2913	0.0466
ENSG00000011007	5176	72.0050	11.5092
ENSG00000011009	4937	168.6100	26.9504
ENSG00000011021	1857	20.2345	3.2343
ENSG00000014914	129	2.1074	0.3368
ENSG00000016490	1	0.0189	0.0030
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3421	52.1773	8.3400
ENSG00000020633	1307	21.2879	3.4026
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	598	34.4996	5.5144
ENSG00000023902	9397	112.9780	18.0583
ENSG00000023909	106	1.4851	0.2374
ENSG00000024526	6	0.0762	0.0122
ENSG00000025800	8913	86.9658	13.9005
ENSG00000026751	31	0.5050	0.0807
ENSG00000027644	2	0.0318	0.0051
ENSG00000027869	993	29.6572	4.7404
ENSG00000028137	2136	42.5385	6.7993
ENSG00000031698	6040	118.0890	18.8752
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1457	29.8047	4.7639
ENSG00000036549	1519	12.6465	2.0214
ENSG00000037637	1829	15.2703	2.4408
ENSG00000040487	635	17.7178	2.8320
ENSG00000041988	1965	36.1842	5.7837
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	299	7.3116	1.1687
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2944	21.6875	3.4665
ENSG00000048707	1291	4.7581	0.7605
ENSG00000049089	674	12.1838	1.9474
ENSG00000049239	138	1.1352	0.1815
ENSG00000049245	7558	205.3710	32.8263
ENSG00000049246	382	4.0305	0.6442
ENSG00000049247	4	0.1671	0.0267
ENSG00000049249	41	1.3608	0.2175
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	707	8.9964	1.4380
ENSG00000053371	6064	255.3720	40.8185
ENSG00000053372	2731	72.5765	11.6006
ENSG00000054116	2384	53.9626	8.6253
ENSG00000054118	3334	52.8024	8.4399
ENSG00000054267	2664	18.0423	2.8839
ENSG00000054277	1116	24.0595	3.8456
ENSG00000054282	2774	39.6482	6.3373
ENSG00000054392	175	3.0610	0.4893
ENSG00000054523	884	3.7461	0.5988
ENSG00000055070	18384	290.4520	46.4256
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	312	3.3310	0.5324
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	5162	177.1060	28.3085
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	825	5.0450	0.8064
ENSG00000058668	2598	20.0423	3.2035
ENSG00000058673	3727	28.8137	4.6056
ENSG00000058799	1681	55.7492	8.9109
ENSG00000058804	1406	20.5392	3.2830
ENSG00000059588	2392	23.1670	3.7030
ENSG00000060642	806	17.8693	2.8562
ENSG00000060656	41	0.4590	0.0734
ENSG00000060688	1866	34.9005	5.5785
ENSG00000060718	2	0.0181	0.0029
ENSG00000064703	988	12.3125	1.9680
ENSG00000064886	45	1.0243	0.1637
ENSG00000065135	2959	69.2196	11.0640
ENSG00000065183	321	5.7886	0.9253
ENSG00000065243	823	8.7954	1.4059
ENSG00000065526	13556	76.4768	12.2240
ENSG00000065600	1978	50.9070	8.1369
ENSG00000065978	95800	3722.7800	595.0462
ENSG00000066027	4023	78.0973	12.4830
ENSG00000066056	6080	68.1203	10.8883
ENSG00000066135	799	11.5889	1.8524
ENSG00000066136	3419	42.8356	6.8468
ENSG00000066185	51	1.7449	0.2789
ENSG00000066279	90	0.6206	0.0992
ENSG00000066294	487	3.9439	0.6304
ENSG00000066322	10923	333.1570	53.2516
ENSG00000066557	606	15.7587	2.5188
ENSG00000067208	108	0.9749	0.1558
ENSG00000067334	2017	25.1892	4.0262
ENSG00000067533	617	5.8662	0.9376
ENSG00000067606	59	0.5795	0.0926
ENSG00000067704	2944	53.0481	8.4791
ENSG00000069248	970	14.3919	2.3004
ENSG00000069275	5639	64.6074	10.3268
ENSG00000069424	8806	81.2776	12.9914
ENSG00000069702	45	0.3900	0.0623
ENSG00000069712	41	0.6652	0.1063
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1414	30.6572	4.9002
ENSG00000070785	709	17.4867	2.7950
ENSG00000070831	20250	437.6820	69.9587
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	53	0.5682	0.0908
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1317	18.7508	2.9971
ENSG00000074800	151983	2782.2100	444.7069
ENSG00000074964	89	0.8462	0.1352
ENSG00000075151	3734	33.2286	5.3112
ENSG00000075391	284	1.8023	0.2881
ENSG00000075945	1146	17.1418	2.7399
ENSG00000076258	138	4.1001	0.6554
ENSG00000076321	450	7.9349	1.2683
ENSG00000076356	109	0.5929	0.0948
ENSG00000076864	2	0.0236	0.0038
ENSG00000077152	739	52.0263	8.3158
ENSG00000077157	480	2.5013	0.3998
ENSG00000077254	554	6.0114	0.9609
ENSG00000077522	27	0.3737	0.0597
ENSG00000077549	23479	506.0160	80.8811
ENSG00000077585	329	10.8126	1.7283
ENSG00000078369	30477	372.5200	59.5433
ENSG00000078618	4188	47.4526	7.5848
ENSG00000078808	11157	178.1570	28.4764
ENSG00000078900	0	0.0000	0.0000
ENSG00000079277	3458	32.1782	5.1433
ENSG00000079335	690	9.0321	1.4437
ENSG00000079739	229	4.1287	0.6599
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	124	1.3649	0.2182
ENSG00000081019	3319	36.5026	5.8345
ENSG00000081026	94	0.8634	0.1380
ENSG00000081237	4481	39.5090	6.3151
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1528	26.5592	4.2452
ENSG00000081721	2956	125.8180	20.1106
ENSG00000081870	1573	42.7539	6.8337
