gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	222	4.3335	0.7410
ENSG00000000460	577	6.8083	1.1642
ENSG00000000938	2644	56.2736	9.6224
ENSG00000000971	6	0.0553	0.0094
ENSG00000001460	134	1.1829	0.2023
ENSG00000001461	710	5.6631	0.9684
ENSG00000004455	2010	26.5272	4.5359
ENSG00000004487	5225	114.7220	19.6167
ENSG00000006555	28	0.3445	0.0589
ENSG00000007341	784	7.2468	1.2392
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	743	10.8265	1.8513
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2684	36.8921	6.3083
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3028	48.1350	8.2307
ENSG00000008130	1878	24.5423	4.1965
ENSG00000009307	38374	500.0960	85.5127
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	575	15.0070	2.5661
ENSG00000009790	1444	13.9659	2.3881
ENSG00000010072	1670	21.2071	3.6263
ENSG00000010165	185	3.6021	0.6159
ENSG00000010803	5757	97.0929	16.6022
ENSG00000010932	12	0.2518	0.0431
ENSG00000011007	5908	82.1979	14.0552
ENSG00000011009	1302	44.4818	7.6061
ENSG00000011021	1666	18.1456	3.1028
ENSG00000014914	214	3.4905	0.5969
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	698	10.6435	1.8200
ENSG00000020633	3538	57.6156	9.8518
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	372	21.4511	3.6679
ENSG00000023902	8185	98.4056	16.8266
ENSG00000023909	1092	15.2376	2.6055
ENSG00000024526	156	1.9756	0.3378
ENSG00000025800	7460	72.7874	12.4461
ENSG00000026751	147	2.3994	0.4103
ENSG00000027644	3	0.0441	0.0075
ENSG00000027869	391	11.6716	1.9958
ENSG00000028137	2852	56.8056	9.7133
ENSG00000031698	2644	51.7007	8.8404
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1408	28.8134	4.9269
ENSG00000036549	1811	15.0746	2.5776
ENSG00000037637	1955	16.3193	2.7905
ENSG00000040487	522	14.5648	2.4905
ENSG00000041988	673	12.3956	2.1196
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	427	10.4162	1.7811
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	4613	33.9881	5.8117
ENSG00000048707	3194	11.7738	2.0132
ENSG00000049089	333	6.0217	1.0297
ENSG00000049239	1687	13.8780	2.3730
ENSG00000049245	11729	318.7170	54.4982
ENSG00000049246	251	2.6491	0.4530
ENSG00000049247	3	0.1054	0.0181
ENSG00000049249	34	1.1274	0.1928
ENSG00000050628	19	0.1476	0.0252
ENSG00000052723	1947	24.7762	4.2365
ENSG00000053371	2040	85.9085	14.6897
ENSG00000053372	761	20.2349	3.4600
ENSG00000054116	981	22.2077	3.7974
ENSG00000054118	5038	79.7800	13.6418
ENSG00000054267	8504	57.5991	9.8490
ENSG00000054277	331	7.1422	1.2213
ENSG00000054282	1469	20.9909	3.5893
ENSG00000054392	345	6.0230	1.0299
ENSG00000054523	3472	14.7173	2.5166
ENSG00000055070	12839	202.8520	34.6861
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1834	19.5622	3.3450
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	5167	177.2810	30.3138
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	654	4.0020	0.6843
ENSG00000058668	2355	18.1687	3.1067
ENSG00000058673	11705	90.5034	15.4754
ENSG00000058799	860	28.5122	4.8754
ENSG00000058804	908	13.2576	2.2670
