gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	447	8.7175	1.0216
ENSG00000000460	598	7.0636	0.8278
ENSG00000000938	46684	993.5670	116.4359
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	525	4.6238	0.5419
ENSG00000001461	1338	10.6708	1.2505
ENSG00000004455	50169	662.0970	77.5910
ENSG00000004487	5515	121.0740	14.1886
ENSG00000006555	8	0.0991	0.0116
ENSG00000007341	1043	9.6399	1.1297
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4506	65.6602	7.6947
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	696	9.5677	1.1212
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1881	29.8995	3.5039
ENSG00000008130	7456	97.4393	11.4189
ENSG00000009307	26431	344.4560	40.3667
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	403	10.5056	1.2311
ENSG00000009790	5915	57.2198	6.7056
ENSG00000010072	789	10.0240	1.1747
ENSG00000010165	1417	27.6633	3.2419
ENSG00000010803	2972	50.1217	5.8737
ENSG00000010932	16	0.3358	0.0393
ENSG00000011007	3794	52.7826	6.1856
ENSG00000011009	7612	259.9640	30.4651
ENSG00000011021	2082	22.6839	2.6583
ENSG00000014914	11602	189.5350	22.2115
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0014
ENSG00000020129	3385	51.6345	6.0510
ENSG00000020633	20012	325.9340	38.1961
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	1223	70.5982	8.2734
ENSG00000023902	8187	98.4304	11.5350
ENSG00000023909	195	2.7199	0.3187
ENSG00000024526	95	1.2061	0.1414
ENSG00000025800	5264	51.3551	6.0183
ENSG00000026751	62	1.0100	0.1184
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	250	7.4737	0.8758
ENSG00000028137	12738	253.6870	29.7295
ENSG00000031698	9085	177.6320	20.8166
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3020	61.7870	7.2408
ENSG00000036549	1286	10.7057	1.2546
ENSG00000037637	3335	27.8445	3.2631
ENSG00000040487	10497	293.1000	34.3483
