gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	911	17.7695	1.6458
ENSG00000000460	1183	13.9580	1.2928
ENSG00000000938	68517	1458.2100	135.0579
ENSG00000000971	52	0.4784	0.0443
ENSG00000001460	709	6.2454	0.5784
ENSG00000001461	3190	25.4398	2.3562
ENSG00000004455	39962	527.3950	48.8466
ENSG00000004487	7622	167.3390	15.4988
ENSG00000006555	89	1.1024	0.1021
ENSG00000007341	1374	12.7067	1.1769
ENSG00000007908	20	0.3555	0.0329
ENSG00000007923	4261	62.0878	5.7505
ENSG00000007933	26	0.5631	0.0522
ENSG00000007968	1759	24.1809	2.2396
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3702	58.8415	5.4498
ENSG00000008130	13569	177.3270	16.4238
ENSG00000009307	36719	478.5320	44.3210
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	22	0.3947	0.0366
ENSG00000009780	763	19.9092	1.8440
ENSG00000009790	14900	144.1390	13.3500
ENSG00000010072	1839	23.3474	2.1624
ENSG00000010165	1636	31.9188	2.9563
ENSG00000010803	7296	123.0530	11.3970
ENSG00000010932	10	0.2098	0.0194
ENSG00000011007	8312	115.6360	10.7100
ENSG00000011009	8589	293.3520	27.1698
ENSG00000011021	5058	55.1059	5.1038
ENSG00000014914	5674	92.6900	8.5848
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	6586	100.4570	9.3042
ENSG00000020633	9479	154.3800	14.2984
ENSG00000021852	6	0.1649	0.0153
ENSG00000023572	676	39.0123	3.6133
ENSG00000023902	24649	296.3520	27.4477
ENSG00000023909	436	6.0839	0.5635
ENSG00000024526	355	4.5096	0.4177
ENSG00000025800	9444	92.1470	8.5345
ENSG00000026751	593	9.6625	0.8949
ENSG00000027644	5	0.0741	0.0069
ENSG00000027869	439	13.0936	1.2127
ENSG00000028137	24864	495.1720	45.8622
ENSG00000031698	11510	225.0450	20.8433
ENSG00000033122	11	0.0687	0.0064
ENSG00000034971	6	0.2160	0.0200
ENSG00000035687	4293	87.8221	8.1340
ENSG00000036549	2952	24.5800	2.2766
ENSG00000037637	6926	57.8198	5.3552
ENSG00000040487	5397	150.6850	13.9562
ENSG00000041988	1176	21.6557	2.0057
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	932	22.7642	2.1084
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7859	57.9025	5.3628
ENSG00000048707	5547	20.4472	1.8938
ENSG00000049089	13425	242.5570	22.4653
ENSG00000049239	10593	87.1429	8.0711
ENSG00000049245	17410	473.0920	43.8172
ENSG00000049246	117	1.2328	0.1142
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	82	2.6848	0.2487
ENSG00000050628	29	0.2253	0.0209
ENSG00000052723	4050	51.5411	4.7737
ENSG00000053371	21216	893.4460	82.7498
ENSG00000053372	2090	55.5500	5.1450
ENSG00000054116	4731	107.0920	9.9187
