gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	542	10.5762	1.3379
ENSG00000000460	1020	12.0434	1.5235
ENSG00000000938	9491	201.9970	25.5533
ENSG00000000971	50	0.4605	0.0583
ENSG00000001460	641	5.6465	0.7143
ENSG00000001461	1793	14.2968	1.8086
ENSG00000004455	4521	59.6595	7.5471
ENSG00000004487	13862	304.3540	38.5019
ENSG00000006555	81	1.0008	0.1266
ENSG00000007341	2084	19.2730	2.4381
ENSG00000007908	32	0.5660	0.0716
ENSG00000007923	1136	16.5508	2.0937
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	891	12.2505	1.5497
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3743	59.4998	7.5269
ENSG00000008130	5577	72.8887	9.2207
ENSG00000009307	124013	1616.1500	204.4489
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1787	31.5309	3.9888
ENSG00000009780	1033	26.9482	3.4090
ENSG00000009790	1456	14.0867	1.7820
ENSG00000010072	3436	43.6327	5.5197
ENSG00000010165	406	7.9316	1.0034
ENSG00000010803	7487	126.2650	15.9730
ENSG00000010932	21	0.4412	0.0558
ENSG00000011007	5730	79.7153	10.0843
ENSG00000011009	2548	87.0337	11.0101
ENSG00000011021	2886	31.4448	3.9779
ENSG00000014914	315	5.1457	0.6510
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1258	19.1822	2.4266
ENSG00000020633	3208	52.2495	6.6097
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	172	9.9153	1.2543
ENSG00000023902	10718	128.8630	16.3016
ENSG00000023909	209	2.9099	0.3681
ENSG00000024526	84	1.0671	0.1350
ENSG00000025800	18294	178.4850	22.5790
ENSG00000026751	343	5.5930	0.7075
ENSG00000027644	17	0.2482	0.0314
ENSG00000027869	374	11.1624	1.4121
ENSG00000028137	2874	57.2302	7.2398
ENSG00000031698	4093	80.0151	10.1222
