gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1313	25.6163	3.3918
ENSG00000000460	1165	13.7502	1.8206
ENSG00000000938	27382	582.7560	77.1617
ENSG00000000971	8	0.0737	0.0098
ENSG00000001460	818	7.2064	0.9542
ENSG00000001461	3079	24.5563	3.2515
ENSG00000004455	26480	349.4610	46.2715
ENSG00000004487	11058	242.7900	32.1473
ENSG00000006555	20	0.2464	0.0326
ENSG00000007341	1085	10.0309	1.3282
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3268	47.6169	6.3049
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	550	7.5629	1.0014
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3260	51.8215	6.8616
ENSG00000008130	7785	101.7340	13.4704
ENSG00000009307	75948	989.7680	131.0535
ENSG00000009709	1	0.0119	0.0016
ENSG00000009724	26	0.4561	0.0604
ENSG00000009780	785	20.4739	2.7109
ENSG00000009790	7210	69.7428	9.2345
ENSG00000010072	1153	14.6466	1.9393
ENSG00000010165	887	17.3091	2.2919
ENSG00000010803	3229	54.4614	7.2111
ENSG00000010932	6	0.1259	0.0167
ENSG00000011007	4759	66.2070	8.7664
ENSG00000011009	4798	163.8690	21.6976
ENSG00000011021	5022	54.7144	7.2446
ENSG00000014914	742	12.1154	1.6042
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0610	0.0081
ENSG00000020129	1672	25.5054	3.3771
ENSG00000020633	24232	394.6540	52.2554
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	275	15.8915	2.1042
ENSG00000023902	14986	180.1720	23.8563
ENSG00000023909	298	4.1624	0.5511
ENSG00000024526	450	5.7183	0.7572
ENSG00000025800	6511	63.5243	8.4111
ENSG00000026751	171	2.7865	0.3689
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	235	7.0179	0.9292
ENSG00000028137	13289	264.6540	35.0424
ENSG00000031698	6932	135.5240	17.9445
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6114	125.0910	16.5630
ENSG00000036549	4463	37.1556	4.9197
ENSG00000037637	4828	40.3022	5.3363
ENSG00000040487	4622	129.0520	17.0876
ENSG00000041988	776	14.2940	1.8926
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1031	25.1703	3.3328
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17053	125.6370	16.6353
ENSG00000048707	4819	17.7650	2.3522
ENSG00000049089	3794	68.5473	9.0762
ENSG00000049239	5231	43.0304	5.6976
ENSG00000049245	8362	227.2230	30.0862
ENSG00000049246	82	0.8708	0.1153
ENSG00000049247	135	5.6697	0.7507
ENSG00000049249	23	0.7548	0.1000
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	6713	85.4214	11.3105
ENSG00000053371	17571	739.9420	97.9745
ENSG00000053372	2830	75.2232	9.9602
ENSG00000054116	4257	96.3782	12.7613
ENSG00000054118	7217	114.2870	15.1325
ENSG00000054267	11438	77.4756	10.2584
ENSG00000054277	6601	142.2730	18.8382
ENSG00000054282	2824	40.3674	5.3450
ENSG00000054392	797	13.9204	1.8432
ENSG00000054523	1516	6.4250	0.8507
ENSG00000055070	8275	130.7430	17.3115
ENSG00000055732	36	0.4130	0.0547
ENSG00000057252	4188	44.6583	5.9131
ENSG00000057468	35	0.8031	0.1063
ENSG00000057757	4453	152.7900	20.2307
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3198	19.5531	2.5890
ENSG00000058668	30098	232.2170	30.7475
ENSG00000058673	20625	159.4720	21.1154
ENSG00000058799	1969	65.2985	8.6461
ENSG00000058804	3060	44.6956	5.9181
ENSG00000059588	27586	267.2050	35.3801
ENSG00000060642	925	20.5183	2.7168
ENSG00000060656	275	3.0790	0.4077
ENSG00000060688	2816	52.6510	6.9714
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4864	60.6038	8.0244
ENSG00000064886	502	11.4297	1.5134
ENSG00000065135	7473	174.8160	23.1471
ENSG00000065183	1365	24.6201	3.2599
ENSG00000065243	5564	59.4957	7.8777
ENSG00000065526	19014	107.2710	14.2036
ENSG00000065600	6873	176.9080	23.4241
ENSG00000065978	60225	2340.3600	309.8827
ENSG00000066027	9148	177.6110	23.5172
ENSG00000066056	13	0.1410	0.0187
ENSG00000066135	2359	34.2150	4.5304
ENSG00000066136	5170	64.7596	8.5747
ENSG00000066185	236	8.0720	1.0688
ENSG00000066279	1209	8.3310	1.1031
ENSG00000066294	13703	111.0490	14.7038
ENSG00000066322	7440	226.9300	30.0474
ENSG00000066557	1423	37.0080	4.9002
ENSG00000067208	4295	38.9427	5.1563
ENSG00000067334	11363	141.9130	18.7905
ENSG00000067533	984	9.3643	1.2399
ENSG00000067606	60	0.5911	0.0783
ENSG00000067704	15071	271.5740	35.9587
ENSG00000069248	4151	61.5665	8.1519
ENSG00000069275	13206	151.3110	20.0348
ENSG00000069424	31109	287.1220	38.0173
ENSG00000069702	540	4.6766	0.6192
ENSG00000069712	935	15.1707	2.0087
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	3298	71.4887	9.4657
ENSG00000070785	947	23.3345	3.0897
ENSG00000070831	20342	439.6600	58.2146
ENSG00000070886	3	0.0420	0.0056
ENSG00000072694	196	2.1046	0.2787
ENSG00000073754	20	0.6107	0.0809
ENSG00000073756	261	3.7151	0.4919
ENSG00000074800	107119	1960.9300	259.6435
ENSG00000074964	3951	37.7599	4.9997
ENSG00000075151	9407	83.7042	11.0831
ENSG00000075391	652	4.1368	0.5477
ENSG00000075945	649	9.7104	1.2857
ENSG00000076258	346	10.3055	1.3645
ENSG00000076321	1563	27.5644	3.6497
ENSG00000076356	118	0.6418	0.0850
ENSG00000076864	127	1.5015	0.1988
ENSG00000077152	509	35.8338	4.7447
ENSG00000077157	2955	15.3881	2.0375
ENSG00000077254	7299	79.1315	10.4777
ENSG00000077522	16	0.2211	0.0293
ENSG00000077549	21261	458.2170	60.6717
ENSG00000077585	812	26.7319	3.5395
ENSG00000078369	43090	526.6830	69.7372
ENSG00000078618	18404	208.5400	27.6124
ENSG00000078808	16007	255.5950	33.8428
ENSG00000078900	2046	27.6279	3.6582
ENSG00000079277	5971	55.5628	7.3570
ENSG00000079335	3399	44.5017	5.8924
ENSG00000079739	3959	71.3096	9.4420
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	496	5.4607	0.7230
ENSG00000081019	5692	62.6014	8.2889
ENSG00000081026	111	1.0220	0.1353
ENSG00000081237	71023	626.1590	82.9087
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1491	25.9073	3.4303
ENSG00000081721	2104	89.5363	11.8554
ENSG00000081870	1637	44.5042	5.8927
ENSG00000081985	25	0.4429	0.0587
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	892	7.4185	0.9823
ENSG00000083444	7177	101.0440	13.3791
ENSG00000084070	13212	300.3580	39.7698
ENSG00000084072	4866	45.2162	5.9870
ENSG00000084073	4693	98.5423	13.0478
ENSG00000084623	17562	763.5460	101.0998
ENSG00000084628	18	0.4520	0.0598
ENSG00000084636	2	0.0157	0.0021
ENSG00000084652	5340	78.4783	10.3912
ENSG00000085433	5170	85.4859	11.3190
ENSG00000085465	416	10.4444	1.3829
ENSG00000085491	5915	67.7471	8.9703
ENSG00000085552	10	0.1133	0.0150
ENSG00000085831	7	0.0561	0.0074
ENSG00000085832	8166	81.1115	10.7398
ENSG00000085840	1512	35.9199	4.7561
ENSG00000085998	3053	35.9714	4.7629
ENSG00000085999	395	9.2207	1.2209
ENSG00000086015	4017	33.9465	4.4948
ENSG00000086619	1365	17.9924	2.3824
ENSG00000088035	1583	24.0115	3.1793
ENSG00000088280	3	0.0529	0.0070
ENSG00000090020	2806	35.2269	4.6643
ENSG00000090104	1102	20.0702	2.6575
ENSG00000090273	6550	171.9510	22.7677
ENSG00000090432	1919	59.0936	7.8245
ENSG00000090621	53090	587.1050	77.7375
ENSG00000090686	9455	74.6653	9.8863
ENSG00000091483	4460	156.1720	20.6785
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	377	5.0283	0.6658
ENSG00000092847	11003	64.0383	8.4792
ENSG00000092850	107	4.0566	0.5371
ENSG00000092853	1634	22.6535	2.9995
ENSG00000092969	11	0.1565	0.0207
ENSG00000092978	1212	10.2900	1.3625
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	6008	69.6760	9.2257
ENSG00000097021	1567	24.0364	3.1826
ENSG00000097033	9744	109.4500	14.4921
ENSG00000097046	2193	45.7105	6.0524
ENSG00000097096	39	0.4534	0.0600
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	3998	86.0123	11.3887
ENSG00000116128	1659	19.3752	2.5654
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	2221	37.5132	4.9671
ENSG00000116138	6001	52.5608	6.9595
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	4	0.0560	0.0074
ENSG00000116151	418	5.9895	0.7931
ENSG00000116157	6584	292.0090	38.6645
ENSG00000116161	7970	132.5360	17.5488
ENSG00000116171	16319	147.3710	19.5131
ENSG00000116183	46	0.3158	0.0418
ENSG00000116191	3553	35.9046	4.7541
ENSG00000116194	2	0.0437	0.0058
ENSG00000116198	6311	60.0997	7.9577
ENSG00000116199	4707	58.4622	7.7409
