gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	205	4.0065	0.4635
ENSG00000000460	324	3.8296	0.4430
ENSG00000000938	39830	847.6800	98.0685
ENSG00000000971	44	0.4052	0.0469
ENSG00000001460	747	6.5812	0.7614
ENSG00000001461	2479	19.7694	2.2871
ENSG00000004455	29150	384.7040	44.5065
ENSG00000004487	5069	111.2870	12.8748
ENSG00000006555	11	0.1311	0.0152
ENSG00000007341	1547	14.3032	1.6547
ENSG00000007908	17	0.2956	0.0342
ENSG00000007923	2934	42.7593	4.9468
ENSG00000007933	6	0.1299	0.0150
ENSG00000007968	1198	16.4715	1.9056
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2406	38.2495	4.4251
ENSG00000008130	9519	124.3960	14.3914
ENSG00000009307	28370	369.7220	42.7733
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	30	0.5281	0.0611
ENSG00000009780	322	8.3870	0.9703
ENSG00000009790	5198	50.2823	5.8172
ENSG00000010072	1328	16.8612	1.9507
ENSG00000010165	536	10.4564	1.2097
ENSG00000010803	4173	70.3818	8.1425
ENSG00000010932	16	0.3358	0.0388
ENSG00000011007	6570	91.4016	10.5743
ENSG00000011009	6235	212.9580	24.6372
ENSG00000011021	1920	20.9198	2.4202
ENSG00000014914	5679	92.7689	10.7325
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3400	51.8674	6.0006
ENSG00000020633	14238	231.8870	26.8271
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	660	38.1062	4.4085
ENSG00000023902	3106	37.3403	4.3199
ENSG00000023909	388	5.4129	0.6262
ENSG00000024526	180	2.2803	0.2638
ENSG00000025800	4093	39.9329	4.6198
ENSG00000026751	89	1.4468	0.1674
ENSG00000027644	10	0.1470	0.0170
ENSG00000027869	189	5.6421	0.6527
ENSG00000028137	14753	293.8160	33.9917
ENSG00000031698	7744	151.4050	17.5161
ENSG00000033122	39	0.2435	0.0282
ENSG00000034971	4	0.1440	0.0167
ENSG00000035687	2258	46.1899	5.3437
ENSG00000036549	2035	16.9409	1.9599
ENSG00000037637	2928	24.4438	2.8279
ENSG00000040487	5564	155.3480	17.9723
ENSG00000041988	1042	19.2011	2.2214
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	270	6.5936	0.7628
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5174	38.1206	4.4102
ENSG00000048707	2878	10.6100	1.2275
ENSG00000049089	6502	117.4820	13.5916
ENSG00000049239	14657	120.5770	13.9497
ENSG00000049245	18909	513.8390	59.4463
ENSG00000049246	336	3.5521	0.4109
ENSG00000049247	38	1.6057	0.1858
ENSG00000049249	20	0.6567	0.0760
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1644	20.9220	2.4205
ENSG00000053371	19279	811.8460	93.9228
ENSG00000053372	3115	82.7775	9.5766
ENSG00000054116	3715	84.0987	9.7294
ENSG00000054118	4905	77.6763	8.9864
ENSG00000054267	3862	26.1553	3.0259
ENSG00000054277	5492	118.3650	13.6937
ENSG00000054282	3477	49.7012	5.7499
ENSG00000054392	524	9.1429	1.0578
ENSG00000054523	2656	11.2588	1.3025
ENSG00000055070	18190	287.3970	33.2491
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2425	25.8641	2.9922
ENSG00000057468	9	0.1990	0.0230
ENSG00000057757	3888	133.3990	15.4330
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1319	8.0652	0.9331
ENSG00000058668	11190	86.3352	9.9882
ENSG00000058673	6534	50.5220	5.8449
ENSG00000058799	2169	71.9531	8.3243
ENSG00000058804	2010	29.3581	3.3964
ENSG00000059588	4444	43.0437	4.9797
ENSG00000060642	715	15.8631	1.8352
ENSG00000060656	404	4.5193	0.5228
ENSG00000060688	2645	49.4508	5.7210
ENSG00000060718	34	0.3122	0.0361
ENSG00000064703	1216	15.1510	1.7528
ENSG00000064886	126	2.8567	0.3305
ENSG00000065135	4752	111.1720	12.8615
ENSG00000065183	384	6.9327	0.8020
ENSG00000065243	1242	13.2837	1.5368
ENSG00000065526	15945	89.9554	10.4070
ENSG00000065600	4095	105.4000	12.1938
ENSG00000065978	72192	2805.3900	324.5567
ENSG00000066027	6254	121.4270	14.0480
ENSG00000066056	263	2.9434	0.3405
ENSG00000066135	1432	20.7678	2.4026
ENSG00000066136	7614	95.3790	11.0344
ENSG00000066185	307	10.4797	1.2124
ENSG00000066279	765	5.2704	0.6097
ENSG00000066294	5196	42.1051	4.8712
ENSG00000066322	8257	251.8410	29.1356
ENSG00000066557	823	21.4119	2.4772
ENSG00000067208	758	6.8749	0.7954
ENSG00000067334	5068	63.3026	7.3235
ENSG00000067533	766	7.2902	0.8434
ENSG00000067606	260	2.5533	0.2954
ENSG00000067704	5179	93.3220	10.7965
ENSG00000069248	1115	16.5304	1.9124
ENSG00000069275	6230	71.3805	8.2580
ENSG00000069424	30259	279.2830	32.3104
ENSG00000069702	362	3.1357	0.3628
ENSG00000069712	72	1.1663	0.1349
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1933	41.9038	4.8479
ENSG00000070785	778	19.1722	2.2180
ENSG00000070831	24749	534.9170	61.8848
ENSG00000070886	6	0.0840	0.0097
ENSG00000072694	2609	27.9680	3.2356
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1791	25.4974	2.9498
ENSG00000074800	227967	4173.1800	482.7973
