gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2078	40.5346	3.7303
ENSG00000000460	1742	20.5663	1.8927
ENSG00000000938	8712	185.4130	17.0633
ENSG00000000971	72	0.6606	0.0608
ENSG00000001460	1054	9.2808	0.8541
ENSG00000001461	4782	38.1410	3.5101
ENSG00000004455	27461	362.4080	33.3519
ENSG00000004487	15117	331.9010	30.5444
ENSG00000006555	174	2.1543	0.1983
ENSG00000007341	3654	33.7855	3.1092
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	7992	116.4520	10.7169
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2473	33.9846	3.1276
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6578	104.5750	9.6238
ENSG00000008130	10354	135.3160	12.4530
ENSG00000009307	55424	722.2880	66.4711
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	615	10.8534	0.9988
ENSG00000009780	539	14.0535	1.2933
ENSG00000009790	8672	83.8905	7.7203
ENSG00000010072	1011	12.8334	1.1810
ENSG00000010165	7072	138.0090	12.7007
ENSG00000010803	14856	250.5440	23.0572
ENSG00000010932	4	0.0823	0.0076
ENSG00000011007	7492	104.2240	9.5915
ENSG00000011009	6077	207.5510	19.1006
ENSG00000011021	9115	99.3080	9.1392
ENSG00000014914	51	0.8275	0.0761
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	9308	141.9720	13.0655
ENSG00000020633	13668	222.6100	20.4865
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	497	28.6682	2.6383
ENSG00000023902	17348	208.5800	19.1953
ENSG00000023909	732	10.2093	0.9395
ENSG00000024526	233	2.9539	0.2718
ENSG00000025800	11346	110.6970	10.1873
ENSG00000026751	18	0.2932	0.0270
ENSG00000027644	8	0.1147	0.0106
ENSG00000027869	110	3.2719	0.3011
ENSG00000028137	9378	186.7600	17.1872
ENSG00000031698	12668	247.6840	22.7940
ENSG00000033122	74	0.4635	0.0427
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3621	74.0739	6.8169
ENSG00000036549	4652	38.7343	3.5647
ENSG00000037637	8793	73.4085	6.7557
ENSG00000040487	4017	112.1720	10.3230
ENSG00000041988	5998	110.4650	10.1660
ENSG00000042781	6	0.0219	0.0020
ENSG00000043514	973	23.7506	2.1857
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16599	122.2920	11.2543
ENSG00000048707	14044	51.7710	4.7644
ENSG00000049089	898	16.2260	1.4932
ENSG00000049239	13139	108.0900	9.9474
ENSG00000049245	6025	163.7200	15.0669
ENSG00000049246	14	0.1529	0.0141
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	13	0.4413	0.0406
ENSG00000050628	23	0.1787	0.0164
ENSG00000052723	2154	27.4135	2.5228
ENSG00000053371	11724	493.7110	45.4355
ENSG00000053372	7138	189.7020	17.4580
ENSG00000054116	9060	205.0920	18.8743
ENSG00000054118	11950	189.2470	17.4161
ENSG00000054267	6749	45.7117	4.2068
ENSG00000054277	1647	35.4974	3.2668
ENSG00000054282	5019	71.7454	6.6026
ENSG00000054392	726	12.6662	1.1657
ENSG00000054523	3867	16.3913	1.5085
ENSG00000055070	37856	598.0980	55.0420
ENSG00000055732	12	0.1344	0.0124
ENSG00000057252	2250	23.9964	2.2084
ENSG00000057468	33	0.7596	0.0699
ENSG00000057757	7378	253.1220	23.2945
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	4338	26.5287	2.4414
ENSG00000058668	33198	256.1300	23.5713
ENSG00000058673	17086	132.1050	12.1574
ENSG00000058799	3692	122.4560	11.2694
ENSG00000058804	2617	38.2292	3.5182
ENSG00000059588	12657	122.5990	11.2826
ENSG00000060642	3675	81.5062	7.5009
ENSG00000060656	66	0.7407	0.0682
ENSG00000060688	3449	64.4974	5.9356
ENSG00000060718	4	0.0363	0.0033
ENSG00000064703	2201	27.4250	2.5239
ENSG00000064886	40	0.9071	0.0835
ENSG00000065135	4258	99.6020	9.1662
ENSG00000065183	2119	38.2113	3.5165
ENSG00000065243	3227	34.5060	3.1755
ENSG00000065526	39536	223.0480	20.5268
ENSG00000065600	3845	98.9526	9.1065
ENSG00000065978	66805	2596.0700	238.9119
ENSG00000066027	5978	116.0620	10.6810
ENSG00000066056	4827	54.0798	4.9769
ENSG00000066135	8702	126.1920	11.6133
ENSG00000066136	6214	77.8490	7.1643
ENSG00000066185	250	8.5376	0.7857
ENSG00000066279	1984	13.6670	1.2578
ENSG00000066294	10607	85.9546	7.9103
ENSG00000066322	13857	422.6400	38.8949
ENSG00000066557	788	20.4851	1.8852
ENSG00000067208	485	4.3965	0.4046
ENSG00000067334	7450	93.0441	8.5627
ENSG00000067533	1719	16.3571	1.5053
ENSG00000067606	1726	16.9560	1.5604
ENSG00000067704	8041	144.9050	13.3354
ENSG00000069248	3800	56.3633	5.1870
ENSG00000069275	13051	149.5340	13.7614
ENSG00000069424	128541	1186.3900	109.1817
ENSG00000069702	0	0.0000	0.0000
ENSG00000069712	480	7.7846	0.7164
ENSG00000069812	6	0.0832	0.0077
ENSG00000070759	4893	106.0610	9.7607
ENSG00000070785	1906	46.9750	4.3230
ENSG00000070831	20487	442.7980	40.7501
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	16	0.1715	0.0158
ENSG00000073754	12	0.3599	0.0331
ENSG00000073756	8325	118.4990	10.9053
ENSG00000074800	452288	8279.6200	761.9609
ENSG00000074964	472	4.5067	0.4147
ENSG00000075151	12007	106.8350	9.8319
ENSG00000075391	354	2.2468	0.2068
ENSG00000075945	774	11.5844	1.0661
ENSG00000076258	378	11.2725	1.0374
ENSG00000076321	1024	18.0531	1.6614
ENSG00000076356	90	0.4898	0.0451
ENSG00000076864	237	2.7969	0.2574
ENSG00000077152	1385	97.5183	8.9745
ENSG00000077157	7590	39.5324	3.6381
ENSG00000077254	4413	47.8450	4.4031
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	41452	893.3620	82.2147
ENSG00000077585	277	9.1250	0.8398
ENSG00000078369	60678	741.6610	68.2539
ENSG00000078618	21368	242.1230	22.2822
ENSG00000078808	31007	495.1060	45.5639
ENSG00000078900	131	1.7620	0.1622
ENSG00000079277	6336	58.9565	5.4257
ENSG00000079335	1910	25.0044	2.3011
ENSG00000079739	9139	164.6150	15.1492
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1096	12.0696	1.1107
ENSG00000081019	3271	35.9762	3.3108
ENSG00000081026	2697	24.7287	2.2757
ENSG00000081237	15611	137.6350	12.6663
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	2	0.0242	0.0022
ENSG00000081692	5728	99.5511	9.1615
ENSG00000081721	1883	80.1459	7.3757
ENSG00000081870	1657	45.0304	4.1441
ENSG00000081985	649	11.4963	1.0580
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	10289	85.5356	7.8717
ENSG00000083444	11047	155.5390	14.3140
ENSG00000084070	25315	575.5110	52.9634
ENSG00000084072	7893	73.3433	6.7497
ENSG00000084073	850	17.8413	1.6419
ENSG00000084623	35974	1564.0900	143.9411
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	24	0.1884	0.0173
ENSG00000084652	10600	155.7980	14.3378
ENSG00000085433	1461	24.1490	2.2224
ENSG00000085465	553	13.8869	1.2780
ENSG00000085491	1486	17.0180	1.5661
ENSG00000085552	354	4.0069	0.3688
ENSG00000085831	59	0.4740	0.0436
ENSG00000085832	6956	69.0870	6.3580
ENSG00000085840	3832	91.0295	8.3773
ENSG00000085998	10741	126.5380	11.6451
ENSG00000085999	2731	63.7643	5.8681
ENSG00000086015	9729	82.2037	7.5651
ENSG00000086619	1618	21.3407	1.9640
ENSG00000088035	897	13.6027	1.2518
ENSG00000088280	27	0.4137	0.0381
ENSG00000090020	6369	79.9500	7.3577
ENSG00000090104	1224	22.2973	2.0520
ENSG00000090273	13982	367.0350	33.7777
ENSG00000090432	4449	136.9780	12.6059
ENSG00000090621	38417	424.8360	39.0971
ENSG00000090686	13400	105.8250	9.7389
ENSG00000091483	4855	170.0100	15.6457
ENSG00000092607	2	0.0394	0.0036
ENSG00000092621	36758	490.3720	45.1282
ENSG00000092847	15258	88.8061	8.1727
ENSG00000092850	245	9.2791	0.8539
ENSG00000092853	1470	20.3689	1.8745
ENSG00000092969	39	0.5624	0.0518
ENSG00000092978	785	6.6632	0.6132
ENSG00000094963	12	0.1443	0.0133
ENSG00000094975	2897	33.6032	3.0924
ENSG00000097021	5984	91.8138	8.4495
ENSG00000097033	8615	96.7707	8.9057
ENSG00000097046	1962	40.8883	3.7629
ENSG00000097096	1130	13.1400	1.2092
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	5699	122.6120	11.2838
ENSG00000116128	478	5.5843	0.5139
ENSG00000116132	8	0.0728	0.0067
ENSG00000116133	7374	124.5300	11.4603
ENSG00000116138	2424	21.2310	1.9539
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	1729	24.7833	2.2808
ENSG00000116157	6379	282.9300	26.0376
ENSG00000116161	6477	107.7120	9.9126
ENSG00000116171	6015	54.3179	4.9988
ENSG00000116183	8	0.0549	0.0051
ENSG00000116191	2141	21.6395	1.9914
ENSG00000116194	209	4.5703	0.4206
ENSG00000116198	5038	47.9777	4.4153
ENSG00000116199	5245	65.1439	5.9951
ENSG00000116205	1907	24.5537	2.2596
ENSG00000116209	11576	208.9070	19.2254
ENSG00000116212	2199	68.4119	6.2958
ENSG00000116213	6030	59.4799	5.4738
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	2	0.0744	0.0069
ENSG00000116221	16518	562.0960	51.7288
ENSG00000116237	5927	90.5121	8.3297
ENSG00000116251	54747	837.9700	77.1171
ENSG00000116254	104	0.7924	0.0729
ENSG00000116260	30581	246.3310	22.6695
ENSG00000116266	4717	60.0151	5.5231
ENSG00000116273	2971	60.5273	5.5702
ENSG00000116285	78	1.4033	0.1291
ENSG00000116288	14203	444.4080	40.8982
ENSG00000116299	1	0.0081	0.0007
ENSG00000116329	8	0.3382	0.0311
ENSG00000116337	41262	453.2270	41.7098
ENSG00000116350	10191	240.5030	22.1331
ENSG00000116353	2939	55.5942	5.1162
ENSG00000116396	642	5.1557	0.4745
ENSG00000116406	3171	31.5734	2.9057
ENSG00000116455	7314	195.5610	17.9972
ENSG00000116459	9660	214.1680	19.7095
ENSG00000116473	4792	62.6855	5.7689
ENSG00000116478	15026	281.1010	25.8693
ENSG00000116489	4864	88.3293	8.1288
ENSG00000116497	8288	67.6402	6.2248
ENSG00000116514	3709	106.5740	9.8078
ENSG00000116521	10961	336.6320	30.9797
ENSG00000116525	1529	28.8545	2.6554
ENSG00000116539	14871	83.8861	7.7199
ENSG00000116544	19	0.3588	0.0330
ENSG00000116560	49857	503.5380	46.3398
ENSG00000116574	525	9.0121	0.8294
ENSG00000116580	10801	66.6279	6.1317
ENSG00000116584	49790	503.6710	46.3521
ENSG00000116586	6643	346.4760	31.8857
ENSG00000116604	23085	270.5320	24.8966
ENSG00000116641	4287	29.5692	2.7212
ENSG00000116649	27454	1084.8600	99.8381
ENSG00000116652	37	2.3838	0.2194
ENSG00000116661	19	0.6022	0.0554
ENSG00000116663	1925	79.7394	7.3383
ENSG00000116667	12623	86.3343	7.9452
ENSG00000116668	561	10.3705	0.9544
ENSG00000116670	4340	95.6600	8.8034
ENSG00000116675	128	1.3931	0.1282
ENSG00000116678	380	2.4885	0.2290
ENSG00000116679	6780	64.1339	5.9021
ENSG00000116685	6234	142.5040	13.1144
ENSG00000116688	9696	146.0760	13.4431
ENSG00000116690	349	5.1778	0.4765
ENSG00000116691	6706	178.2850	16.4073
ENSG00000116698	19229	173.3990	15.9577
ENSG00000116701	4116	105.4370	9.7032
ENSG00000116703	4	0.2240	0.0206
ENSG00000116704	1606	16.8352	1.5493
ENSG00000116711	727	18.9617	1.7450
ENSG00000116717	3363	121.8950	11.2178
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	62	1.0246	0.0943
ENSG00000116731	8780	60.3638	5.5552
ENSG00000116741	3699	132.9900	12.2389
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	2641	21.7608	2.0026
ENSG00000116748	2	0.0601	0.0055
ENSG00000116750	2332	48.5996	4.4725
ENSG00000116752	1855	107.0920	9.8555
ENSG00000116754	14627	129.4090	11.9093
ENSG00000116761	263	8.1628	0.7512
ENSG00000116771	120	3.5956	0.3309
ENSG00000116774	152	5.0327	0.4632
ENSG00000116783	149	1.9158	0.1763
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	24449	444.8450	40.9384
ENSG00000116791	1191	21.8802	2.0136
ENSG00000116793	3312	34.6483	3.1886
ENSG00000116809	11010	194.7540	17.9229
ENSG00000116815	1494	62.8323	5.7823
ENSG00000116819	631	21.6313	1.9907
ENSG00000116824	37	1.6528	0.1521
ENSG00000116830	4915	58.9762	5.4275
ENSG00000116833	0	0.0000	0.0000
ENSG00000116852	3757	23.1926	2.1344
ENSG00000116857	7487	143.4380	13.2004
ENSG00000116863	3848	172.6910	15.8925
ENSG00000116871	24218	344.6000	31.7130
ENSG00000116874	1345	26.2160	2.4126
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	419	17.1281	1.5763
ENSG00000116885	43	1.1396	0.1049
ENSG00000116898	6879	176.9380	16.2834
ENSG00000116903	1999	29.2915	2.6956
ENSG00000116906	6314	149.2470	13.7349
ENSG00000116918	1919	22.9267	2.1099
ENSG00000116922	1214	25.6560	2.3611
ENSG00000116954	2436	35.3524	3.2534
ENSG00000116957	2481	72.4560	6.6680
ENSG00000116962	2458	31.4330	2.8927
ENSG00000116977	12260	94.6985	8.7150
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	0	0.0000	0.0000
ENSG00000116984	9226	60.6857	5.5848
ENSG00000116985	428	6.2454	0.5748
ENSG00000116990	96	1.4215	0.1308
ENSG00000116991	274	2.6927	0.2478
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	3804	45.0333	4.1443
ENSG00000117009	1053	13.2883	1.2229
ENSG00000117010	193	4.7677	0.4388
ENSG00000117013	51	0.9216	0.0848
ENSG00000117016	81	0.8397	0.0773
ENSG00000117020	3490	34.9064	3.2124
ENSG00000117036	1714	19.1697	1.7642
ENSG00000117054	3958	62.1109	5.7160
ENSG00000117069	2	0.0279	0.0026
ENSG00000117090	7	0.1282	0.0118
ENSG00000117091	1780	53.5405	4.9273
ENSG00000117114	0	0.0000	0.0000
ENSG00000117115	2116	26.4414	2.4334
ENSG00000117118	9716	295.9790	27.2385
ENSG00000117122	116	2.9777	0.2740
ENSG00000117133	3386	146.9720	13.5256
ENSG00000117139	17601	143.7090	13.2253
ENSG00000117143	1779	39.1588	3.6037
ENSG00000117148	1	0.0403	0.0037
ENSG00000117151	2608	57.1273	5.2573
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	1797	37.9355	3.4912
ENSG00000117154	6	0.1459	0.0134
ENSG00000117155	1050	9.5461	0.8785
ENSG00000117174	3409	41.2588	3.7970
ENSG00000117215	10	0.2807	0.0258
ENSG00000117222	1752	29.8417	2.7463
ENSG00000117226	1215	21.2013	1.9511
ENSG00000117228	4	0.0601	0.0055
ENSG00000117242	8910	150.4090	13.8419
ENSG00000117245	40	0.6707	0.0617
ENSG00000117262	300	4.0218	0.3701
ENSG00000117266	4361	43.1509	3.9711
ENSG00000117280	2175	42.0268	3.8677
ENSG00000117281	98	1.8324	0.1686
ENSG00000117289	17406	360.0150	33.1316
ENSG00000117298	262	2.7089	0.2493
ENSG00000117305	4076	52.7220	4.8519
ENSG00000117308	1702	32.2794	2.9706
ENSG00000117318	50	2.0868	0.1920
ENSG00000117322	8	0.1228	0.0113
ENSG00000117335	9195	79.1953	7.2882
ENSG00000117360	6896	96.2535	8.8581
ENSG00000117362	32741	708.0620	65.1618
ENSG00000117385	19557	216.7820	19.9502
ENSG00000117394	15009	300.8940	27.6908
ENSG00000117395	4459	94.7411	8.7189
ENSG00000117399	6207	228.4080	21.0200
ENSG00000117400	6423	226.3850	20.8338
ENSG00000117407	164	4.6234	0.4255
ENSG00000117408	6297	92.9066	8.5501
ENSG00000117410	29877	633.8830	58.3353
ENSG00000117411	2176	43.1898	3.9747
ENSG00000117419	10615	301.1030	27.7100
ENSG00000117425	1511	22.0049	2.0251
ENSG00000117448	24913	598.6710	55.0947
ENSG00000117450	21596	1064.2100	97.9378
ENSG00000117461	276	2.6982	0.2483
ENSG00000117472	27	0.8449	0.0777
ENSG00000117475	1365	26.8089	2.4672
ENSG00000117477	37	1.0555	0.0971
ENSG00000117479	777	15.8763	1.4611
ENSG00000117480	5016	135.5270	12.4724
ENSG00000117481	8473	75.0469	6.9064
ENSG00000117500	4992	39.7353	3.6568
ENSG00000117501	0	0.0000	0.0000
ENSG00000117505	3861	71.6253	6.5916
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	0	0.0000	0.0000
ENSG00000117523	35688	188.5980	17.3564
ENSG00000117525	52	1.3680	0.1259
ENSG00000117528	1882	18.4055	1.6938
ENSG00000117533	1484	21.5707	1.9851
ENSG00000117543	3862	97.5370	8.9762
ENSG00000117560	0	0.0000	0.0000
ENSG00000117569	1541	27.3313	2.5153
ENSG00000117586	713	13.5723	1.2490
ENSG00000117592	42513	1347.0700	123.9686
ENSG00000117593	4342	88.2727	8.1236
ENSG00000117594	6	0.2949	0.0271
ENSG00000117595	66	1.0380	0.0955
ENSG00000117597	1164	17.3782	1.5993
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	0	0.0000	0.0000
ENSG00000117601	0	0.0000	0.0000
ENSG00000117602	1238	31.5731	2.9056
ENSG00000117614	6468	143.9520	13.2477
ENSG00000117616	10888	120.0210	11.0454
ENSG00000117620	1970	23.6736	2.1786
ENSG00000117625	4886	40.3061	3.7093
ENSG00000117632	20632	247.1490	22.7447
ENSG00000117640	12602	162.5080	14.9554
ENSG00000117643	907	7.5457	0.6944
ENSG00000117650	330	8.1804	0.7528
ENSG00000117676	28383	361.7860	33.2946
ENSG00000117682	3144	42.1363	3.8777
ENSG00000117691	11075	643.9000	59.2571
ENSG00000117697	1514	27.7587	2.5546
ENSG00000117707	0	0.0000	0.0000
ENSG00000117713	35745	289.9510	26.6838
ENSG00000117724	5240	33.6937	3.1008
ENSG00000117748	10457	388.4650	35.7499
ENSG00000117751	1961	52.1738	4.8015
ENSG00000117758	1699	33.1282	3.0487
ENSG00000117791	77	2.2170	0.2040
ENSG00000117834	44	0.7299	0.0672
ENSG00000117859	8840	67.6701	6.2276
ENSG00000117862	7633	186.0420	17.1211
ENSG00000118193	857	8.8368	0.8132
ENSG00000118194	0	0.0000	0.0000
ENSG00000118197	2081	34.9228	3.2139
ENSG00000118200	49	0.4698	0.0432
ENSG00000118217	8506	80.8526	7.4407
ENSG00000118292	2793	155.0650	14.2704
ENSG00000118298	334	13.2077	1.2155
ENSG00000118454	1779	29.0413	2.6726
ENSG00000118473	25	0.1799	0.0166
ENSG00000118655	1418	26.9985	2.4846
ENSG00000118729	0	0.0000	0.0000
ENSG00000118733	0	0.0000	0.0000
ENSG00000118873	4029	26.6792	2.4552
ENSG00000119280	285	4.1445	0.3814
ENSG00000119283	12	0.0965	0.0089
ENSG00000119285	9174	76.0328	6.9972
ENSG00000119535	159498	1419.7000	130.6528
ENSG00000120332	0	0.0000	0.0000
ENSG00000120333	2504	72.4048	6.6633
ENSG00000120334	769	11.7375	1.0802
ENSG00000120337	0	0.0000	0.0000
ENSG00000120341	312	3.3695	0.3101
ENSG00000120370	526	9.4832	0.8727
ENSG00000120656	2360	75.7377	6.9700
ENSG00000120937	2	0.1744	0.0160
ENSG00000120942	5786	86.9619	8.0030
ENSG00000120948	15884	257.7390	23.7193
ENSG00000120949	88	1.7638	0.1623
ENSG00000120952	0	0.0000	0.0000
ENSG00000121310	7845	51.1740	4.7095
ENSG00000121446	2	0.0173	0.0016
ENSG00000121454	2300	23.5549	2.1677
ENSG00000121481	1116	20.5566	1.8918
ENSG00000121486	1492	22.2853	2.0509
ENSG00000121634	0	0.0000	0.0000
ENSG00000121644	2002	29.4220	2.7077
ENSG00000121753	23	0.2255	0.0207
ENSG00000121764	134	4.0180	0.3698
ENSG00000121766	2687	106.5710	9.8075
ENSG00000121769	47	3.4688	0.3192
ENSG00000121774	31757	663.8180	61.0902
ENSG00000121775	4549	98.4916	9.0640
ENSG00000121848	3364	66.3403	6.1052
ENSG00000121851	2860	119.0500	10.9560
ENSG00000121900	12	0.6111	0.0563
ENSG00000121903	385	5.5987	0.5152
ENSG00000121904	0	0.0000	0.0000
ENSG00000121905	17	0.6439	0.0592
ENSG00000121931	1160	24.0295	2.2114
ENSG00000121933	68	1.1313	0.1041
ENSG00000121940	5019	75.3429	6.9337
ENSG00000121957	5021	94.7125	8.7163
ENSG00000122176	28	0.6339	0.0583
ENSG00000122180	0	0.0000	0.0000
ENSG00000122188	258	6.0425	0.5561
ENSG00000122218	20705	249.1770	22.9314
ENSG00000122223	5920	152.8900	14.0703
ENSG00000122224	123	1.2749	0.1173
ENSG00000122406	216179	5655.1800	520.4380
ENSG00000122417	2029	13.9202	1.2811
ENSG00000122420	0	0.0000	0.0000
ENSG00000122432	645	13.1166	1.2071
ENSG00000122435	1604	29.0990	2.6779
ENSG00000122477	88	4.3838	0.4034
ENSG00000122481	607	16.4294	1.5120
ENSG00000122482	3450	34.0449	3.1331
ENSG00000122483	2945	39.2114	3.6086
ENSG00000122484	2095	48.2034	4.4361
ENSG00000122497	1093	22.0212	2.0266
ENSG00000123080	3143	71.0437	6.5380
ENSG00000123091	4897	117.6420	10.8264
ENSG00000123472	3675	48.7432	4.4858
ENSG00000123473	1546	15.9036	1.4636
ENSG00000123684	5500	46.8785	4.3142
ENSG00000123685	138	3.8268	0.3522
ENSG00000123689	44	3.8106	0.3507
ENSG00000123836	688	5.2562	0.4837
ENSG00000123838	0	0.0000	0.0000
ENSG00000123843	0	0.0000	0.0000
ENSG00000125459	3633	50.8416	4.6789
ENSG00000125462	4	0.0357	0.0033
ENSG00000125703	1623	39.1389	3.6019
