gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	728	14.1998	1.2418
ENSG00000000460	928	10.9570	0.9582
ENSG00000000938	9817	208.9290	18.2707
ENSG00000000971	4	0.0368	0.0032
ENSG00000001460	214	1.8809	0.1645
ENSG00000001461	2213	17.6484	1.5433
ENSG00000004455	10138	133.7960	11.7004
ENSG00000004487	19509	428.3360	37.4578
ENSG00000006555	8	0.0976	0.0085
ENSG00000007341	3812	35.2493	3.0825
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3273	47.6959	4.1710
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	3482	47.8560	4.1850
ENSG00000008118	44	1.2309	0.1076
ENSG00000008128	9877	157.0170	13.7310
ENSG00000008130	8164	106.6900	9.3300
ENSG00000009307	92526	1205.8100	105.4479
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2608	46.0191	4.0243
ENSG00000009780	898	23.4138	2.0475
ENSG00000009790	4915	47.5482	4.1581
ENSG00000010072	4945	62.8016	5.4920
ENSG00000010165	1306	25.4845	2.2286
ENSG00000010803	19432	327.7300	28.6599
ENSG00000010932	11	0.2219	0.0194
ENSG00000011007	28274	393.3510	34.3984
ENSG00000011009	3819	130.4370	11.4067
ENSG00000011021	4570	49.7913	4.3542
ENSG00000014914	3366	54.9891	4.8088
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	6	0.1233	0.0108
ENSG00000018625	16	0.1901	0.0166
ENSG00000020129	4113	62.7340	5.4861
ENSG00000020633	503	8.1952	0.7167
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	515	29.7598	2.6025
ENSG00000023902	30245	363.6320	31.7995
ENSG00000023909	599	8.3623	0.7313
ENSG00000024526	78	0.9895	0.0865
ENSG00000025800	26769	261.1760	22.8398
ENSG00000026751	347	5.6544	0.4945
ENSG00000027644	43	0.6354	0.0556
ENSG00000027869	366	10.9268	0.9555
ENSG00000028137	9987	198.8860	17.3925
ENSG00000031698	4604	90.0198	7.8722
ENSG00000033122	153	0.9547	0.0835
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1907	39.0207	3.4123
ENSG00000036549	4403	36.6600	3.2059
ENSG00000037637	5355	44.7083	3.9097
ENSG00000040487	1525	42.5774	3.7234
ENSG00000041988	3422	63.0189	5.5110
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	784	19.1384	1.6736
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	17205	126.7570	11.0849
ENSG00000048707	10141	37.3812	3.2690
ENSG00000049089	1351	24.4156	2.1351
ENSG00000049239	9224	75.8827	6.6359
ENSG00000049245	23736	644.9990	56.4049
ENSG00000049246	60	0.6292	0.0550
ENSG00000049247	6	0.2557	0.0224
