gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1050	20.4870	2.1339
ENSG00000000460	738	8.7169	0.9079
ENSG00000000938	16719	355.8180	37.0618
ENSG00000000971	315	2.8973	0.3018
ENSG00000001460	122	1.0711	0.1116
ENSG00000001461	999	7.9692	0.8301
ENSG00000004455	9379	123.7740	12.8922
ENSG00000004487	10040	220.4400	22.9609
ENSG00000006555	24	0.2922	0.0304
ENSG00000007341	1541	14.2515	1.4844
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1295	18.8716	1.9656
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	7990	109.8100	11.4378
ENSG00000008118	5	0.1416	0.0147
ENSG00000008128	8407	133.6370	13.9195
ENSG00000008130	16379	214.0440	22.2947
ENSG00000009307	164554	2144.4900	223.3684
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	59	1.0391	0.1082
ENSG00000009780	1006	26.2371	2.7329
ENSG00000009790	6476	62.6505	6.5256
ENSG00000010072	2672	33.9272	3.5338
ENSG00000010165	177	3.4522	0.3596
ENSG00000010803	8042	135.6370	14.1279
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5453	75.8600	7.9015
ENSG00000011009	3482	118.9070	12.3853
ENSG00000011021	25599	278.8930	29.0494
ENSG00000014914	18282	298.6530	31.1075
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	572	8.7246	0.9088
ENSG00000020633	30517	497.0270	51.7701
ENSG00000021852	12	0.3298	0.0344
ENSG00000023572	143	8.2848	0.8629
ENSG00000023902	9947	119.5990	12.4573
ENSG00000023909	274	3.8268	0.3986
ENSG00000024526	194	2.4599	0.2562
ENSG00000025800	33653	328.3390	34.1996
ENSG00000026751	968	15.7611	1.6417
ENSG00000027644	7	0.1057	0.0110
ENSG00000027869	295	8.8221	0.9189
ENSG00000028137	41793	832.3150	86.6934
ENSG00000031698	7583	148.2580	15.4424
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	4	0.1440	0.0150
ENSG00000035687	2559	52.3462	5.4523
ENSG00000036549	3910	32.5525	3.3906
ENSG00000037637	8640	72.1241	7.5124
ENSG00000040487	790	22.0473	2.2964
ENSG00000041988	1093	20.1405	2.0978
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2259	55.1602	5.7455
ENSG00000044012	2	0.2513	0.0262
ENSG00000047410	24514	180.6050	18.8117
ENSG00000048707	8936	32.9417	3.4312
ENSG00000049089	1739	31.4134	3.2720
ENSG00000049239	4676	38.4697	4.0070
ENSG00000049245	10869	295.3650	30.7651
ENSG00000049246	196	2.0683	0.2154
ENSG00000049247	334	14.0398	1.4624
ENSG00000049249	411	13.4943	1.4056
ENSG00000050628	58	0.4505	0.0469
ENSG00000052723	4677	59.5170	6.1993
ENSG00000053371	2863	120.5460	12.5560
ENSG00000053372	628	16.6945	1.7389
ENSG00000054116	1497	33.8928	3.5303
ENSG00000054118	26898	425.9610	44.3678
ENSG00000054267	54081	366.3040	38.1540
ENSG00000054277	2189	47.1770	4.9139
ENSG00000054282	1418	20.2733	2.1117
ENSG00000054392	373	6.5084	0.6779
ENSG00000054523	3707	15.7157	1.6369
ENSG00000055070	32435	512.4580	53.3774
ENSG00000055732	6	0.0670	0.0070
ENSG00000057252	11449	122.0900	12.7168
ENSG00000057468	43	0.9911	0.1032
ENSG00000057757	8601	295.1080	30.7382
ENSG00000058085	22	0.2488	0.0259
ENSG00000058453	1625	9.9386	1.0352
ENSG00000058668	5977	46.1156	4.8034
ENSG00000058673	82292	636.2760	66.2741
ENSG00000058799	1468	48.7063	5.0732
ENSG00000058804	1863	27.2162	2.8348
ENSG00000059588	6134	59.4159	6.1887
