gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1184	23.1095	2.1090
ENSG00000000460	1330	15.6964	1.4324
ENSG00000000938	1027	21.8496	1.9940
ENSG00000000971	7809	71.9137	6.5628
ENSG00000001460	224	1.9726	0.1800
ENSG00000001461	1111	8.8578	0.8084
ENSG00000004455	5818	76.7832	7.0072
ENSG00000004487	27411	601.8240	54.9220
ENSG00000006555	6	0.0743	0.0068
ENSG00000007341	2702	24.9814	2.2798
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	957	13.9518	1.2732
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	5412	74.3786	6.7877
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5380	85.5312	7.8055
ENSG00000008130	4944	64.6147	5.8967
ENSG00000009307	191097	2490.4000	227.2719
ENSG00000009709	2	0.0238	0.0022
ENSG00000009724	10	0.1764	0.0161
ENSG00000009780	703	18.3376	1.6735
ENSG00000009790	660	6.3838	0.5826
ENSG00000010072	3204	40.6829	3.7127
ENSG00000010165	1284	25.0546	2.2865
ENSG00000010803	8862	149.4670	13.6402
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	21571	300.0950	27.3865
ENSG00000011009	5820	198.7860	18.1410
ENSG00000011021	10841	118.1060	10.7783
ENSG00000014914	255	4.1603	0.3797
ENSG00000016490	2	0.0449	0.0041
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1267	19.3246	1.7635
ENSG00000020633	2294	37.3592	3.4094
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	706	40.7683	3.7205
ENSG00000023902	10274	123.5230	11.2726
ENSG00000023909	1188	16.5731	1.5125
ENSG00000024526	902	11.4556	1.0454
ENSG00000025800	38458	375.2210	34.2424
ENSG00000026751	38	0.6164	0.0563
ENSG00000027644	41	0.6050	0.0552
ENSG00000027869	935	27.9100	2.5470
ENSG00000028137	2258	44.9724	4.1041
ENSG00000031698	17686	345.7890	31.5564
ENSG00000033122	1957	12.2192	1.1151
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2308	47.2212	4.3094
ENSG00000036549	10128	84.3264	7.6956
ENSG00000037637	8785	73.3360	6.6926
ENSG00000040487	269	7.5194	0.6862
ENSG00000041988	2734	50.3554	4.5954
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2252	54.9974	5.0190
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	41999	309.4250	28.2379
ENSG00000048707	7088	26.1265	2.3843
ENSG00000049089	552	9.9706	0.9099
ENSG00000049239	65	0.5339	0.0487
ENSG00000049245	17676	480.3180	43.8335
ENSG00000049246	4558	48.1184	4.3912
ENSG00000049247	840	35.3287	3.2241
ENSG00000049249	516	16.9505	1.5469
ENSG00000050628	28	0.2175	0.0199
ENSG00000052723	13204	168.0250	15.3338
ENSG00000053371	3090	130.1310	11.8756
ENSG00000053372	2061	54.7771	4.9989
ENSG00000054116	1897	42.9393	3.9186
ENSG00000054118	17109	270.9430	24.7261
ENSG00000054267	42707	289.2620	26.3978
ENSG00000054277	601	12.9563	1.1824
ENSG00000054282	1906	27.2512	2.4869
ENSG00000054392	81	1.4141	0.1291
ENSG00000054523	7472	31.6721	2.8904
ENSG00000055070	27060	427.5300	39.0161
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	10254	109.3490	9.9791
ENSG00000057468	398	9.1436	0.8344
ENSG00000057757	12004	411.8550	37.5856
ENSG00000058085	8	0.0899	0.0082
ENSG00000058453	415	2.5395	0.2318
ENSG00000058668	21901	168.9730	15.4204
ENSG00000058673	49242	380.7380	34.7459
ENSG00000058799	2318	76.8806	7.0161
ENSG00000058804	2294	33.4987	3.0571
ENSG00000059588	10010	96.9614	8.8486
ENSG00000060642	1718	38.0973	3.4767
ENSG00000060656	127	1.4257	0.1301
ENSG00000060688	10764	201.2790	18.3686
ENSG00000060718	8324	75.5348	6.8932
ENSG00000064703	7968	99.2799	9.0602
ENSG00000064886	111	2.5311	0.2310
ENSG00000065135	18544	433.8030	39.5885
ENSG00000065183	1603	28.9067	2.6380
ENSG00000065243	18931	202.4280	18.4735
ENSG00000065526	36255	204.5400	18.6661
ENSG00000065600	353	9.0913	0.8297
ENSG00000065978	124637	4843.4200	442.0069
ENSG00000066027	33887	657.9060	60.0400
ENSG00000066056	8572	96.0465	8.7651
ENSG00000066135	3175	46.0344	4.2011
ENSG00000066136	2686	33.6426	3.0702
ENSG00000066185	129	4.4077	0.4022
ENSG00000066279	3154	21.7289	1.9830
ENSG00000066294	166	1.3428	0.1225
ENSG00000066322	7603	231.8820	21.1614
ENSG00000066557	14155	368.1080	33.5933
ENSG00000067208	56	0.5074	0.0463
ENSG00000067334	29803	372.2280	33.9692
ENSG00000067533	3633	34.5610	3.1540
ENSG00000067606	259	2.5407	0.2319
ENSG00000067704	7720	139.1200	12.6960
ENSG00000069248	9054	134.2810	12.2544
ENSG00000069275	44602	511.0220	46.6355
ENSG00000069424	3177	29.3184	2.6756
ENSG00000069702	60	0.5200	0.0475
ENSG00000069712	209	3.3904	0.3094
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1550	33.6040	3.0667
ENSG00000070785	1535	37.8317	3.4525
ENSG00000070831	55147	1191.9400	108.7752
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	5	0.0579	0.0053
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	119808	1705.3700	155.6312
ENSG00000074800	88883	1627.0900	148.4875
ENSG00000074964	4	0.0386	0.0035
ENSG00000075151	17245	153.4470	14.0034
ENSG00000075391	1129	7.1632	0.6537
ENSG00000075945	3551	53.1131	4.8471
ENSG00000076258	178	5.3119	0.4848
ENSG00000076321	7055	124.3870	11.3515
ENSG00000076356	2855	15.5378	1.4180
ENSG00000076864	61	0.7230	0.0660
ENSG00000077152	953	67.1465	6.1277
ENSG00000077157	3272	17.0403	1.5551
ENSG00000077254	9593	103.9950	9.4905
ENSG00000077522	6	0.0830	0.0076
ENSG00000077549	17971	387.3030	35.3450
ENSG00000077585	20	0.6582	0.0601
ENSG00000078369	39097	477.8850	43.6114
ENSG00000078618	13031	147.6560	13.4750
ENSG00000078808	7134	113.9110	10.3954
ENSG00000078900	20	0.2758	0.0252
ENSG00000079277	3057	28.4422	2.5956
ENSG00000079335	16517	216.2330	19.7333
ENSG00000079739	2692	48.4926	4.4254
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	148	1.6254	0.1483
ENSG00000081019	12866	141.5090	12.9140
ENSG00000081026	1798	16.4813	1.5041
ENSG00000081237	33735	297.4180	27.1422
ENSG00000081248	16	0.1946	0.0178
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	605	10.5226	0.9603
ENSG00000081721	9986	425.0740	38.7919
ENSG00000081870	3309	89.9572	8.2094
ENSG00000081985	72	1.2752	0.1164
ENSG00000082482	2	0.0384	0.0035
ENSG00000082497	4	0.0549	0.0050
ENSG00000082512	5878	48.8650	4.4594
ENSG00000083444	903	12.7107	1.1600
ENSG00000084070	5883	133.7390	12.2049
ENSG00000084072	5442	50.5660	4.6146
ENSG00000084073	6994	146.8600	13.4024
ENSG00000084623	38812	1687.4900	153.9988
ENSG00000084628	139	3.5025	0.3196
ENSG00000084636	18	0.1413	0.0129
ENSG00000084652	6333	93.0727	8.4938
ENSG00000085433	2505	41.4202	3.7800
ENSG00000085465	4010	100.6620	9.1864
ENSG00000085491	8202	93.9461	8.5735
ENSG00000085552	143	1.6168	0.1475
ENSG00000085831	124	0.9905	0.0904
ENSG00000085832	42264	419.7830	38.3091
ENSG00000085840	8522	202.4460	18.4750
ENSG00000085998	3379	39.8069	3.6327
ENSG00000085999	782	18.2584	1.6663
ENSG00000086015	2059	17.3980	1.5877
ENSG00000086619	656	8.6443	0.7889
ENSG00000088035	668	10.1235	0.9239
ENSG00000088280	8	0.1226	0.0112
ENSG00000090020	7334	92.0539	8.4008
ENSG00000090104	6591	120.0660	10.9571
ENSG00000090273	8782	230.5520	21.0400
ENSG00000090432	6199	190.8430	17.4162
ENSG00000090621	46454	513.7210	46.8818
