gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1312	25.5908	1.9303
ENSG00000000460	1542	18.1986	1.3727
ENSG00000000938	29159	620.5760	46.8109
ENSG00000000971	267	2.4575	0.1854
ENSG00000001460	705	6.2088	0.4683
ENSG00000001461	5021	40.0469	3.0208
ENSG00000004455	43353	572.1370	43.1570
ENSG00000004487	15630	343.1750	25.8862
ENSG00000006555	23	0.2819	0.0213
ENSG00000007341	1672	15.4616	1.1663
ENSG00000007908	2	0.0356	0.0027
ENSG00000007923	5414	78.8978	5.9514
ENSG00000007933	38	0.8230	0.0621
ENSG00000007968	2285	31.4085	2.3692
ENSG00000008118	2	0.0433	0.0033
ENSG00000008128	4319	68.6579	5.1790
ENSG00000008130	10177	132.9940	10.0319
ENSG00000009307	99187	1292.6200	97.5041
ENSG00000009709	1	0.0146	0.0011
ENSG00000009724	483	8.5159	0.6424
ENSG00000009780	1091	28.4381	2.1451
ENSG00000009790	10228	98.9413	7.4633
ENSG00000010072	2233	28.3578	2.1391
ENSG00000010165	1955	38.1611	2.8785
ENSG00000010803	8600	145.0380	10.9404
ENSG00000010932	33	0.6852	0.0517
ENSG00000011007	8978	124.8990	9.4213
ENSG00000011009	6925	236.4980	17.8394
ENSG00000011021	4393	47.8648	3.6105
ENSG00000014914	2538	41.4690	3.1281
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0206	0.0016
ENSG00000018625	2	0.0237	0.0018
ENSG00000020129	5818	88.7431	6.6940
ENSG00000020633	9312	151.6660	11.4404
ENSG00000021852	0	0.0062	0.0005
ENSG00000023572	680	39.2602	2.9615
ENSG00000023902	29424	353.7620	26.6847
ENSG00000023909	642	8.9544	0.6754
ENSG00000024526	116	1.4702	0.1109
ENSG00000025800	17180	167.6180	12.6436
ENSG00000026751	689	11.2255	0.8467
ENSG00000027644	20	0.3001	0.0226
ENSG00000027869	418	12.4745	0.9410
ENSG00000028137	16217	322.9580	24.3612
ENSG00000031698	13846	270.7080	20.4199
ENSG00000033122	23	0.1447	0.0109
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4510	92.2690	6.9600
ENSG00000036549	2679	22.3077	1.6827
ENSG00000037637	9572	79.9105	6.0278
ENSG00000040487	2779	77.5912	5.8528
ENSG00000041988	3196	58.8706	4.4407
ENSG00000042781	7	0.0262	0.0020
ENSG00000043514	1388	33.8890	2.5563
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	11264	82.9883	6.2599
ENSG00000048707	12605	46.4653	3.5049
ENSG00000049089	8302	149.9940	11.3143
ENSG00000049239	16507	135.7940	10.2431
ENSG00000049245	14135	384.1100	28.9739
ENSG00000049246	2190	23.1159	1.7437
ENSG00000049247	392	16.4728	1.2426
ENSG00000049249	62	2.0311	0.1532
ENSG00000050628	14	0.1088	0.0082
ENSG00000052723	3087	39.2878	2.9635
ENSG00000053371	19194	808.2750	60.9693
ENSG00000053372	5205	138.3290	10.4343
ENSG00000054116	9080	205.5490	15.5048
ENSG00000054118	17805	281.9670	21.2692
ENSG00000054267	6375	43.1810	3.2572
ENSG00000054277	5525	119.0800	8.9824
ENSG00000054282	5278	75.4481	5.6912
ENSG00000054392	1497	26.1299	1.9710
ENSG00000054523	4562	19.3361	1.4585
ENSG00000055070	36717	580.1080	43.7583
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	4436	47.3034	3.5682
ENSG00000057468	7	0.1644	0.0124
ENSG00000057757	8326	285.6720	21.5487
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	686	4.1958	0.3165
ENSG00000058668	23832	183.8730	13.8698
ENSG00000058673	19827	153.3000	11.5636
ENSG00000058799	3296	109.3160	8.2459
ENSG00000058804	4031	58.8759	4.4411
ENSG00000059588	14304	138.5540	10.4513
ENSG00000060642	1533	34.0062	2.5651
ENSG00000060656	68	0.7637	0.0576
ENSG00000060688	4040	75.5350	5.6977
ENSG00000060718	10	0.0907	0.0068
ENSG00000064703	2654	33.0681	2.4944
ENSG00000064886	97	2.2055	0.1664
ENSG00000065135	10217	239.0070	18.0286
ENSG00000065183	1891	34.1051	2.5726
ENSG00000065243	3098	33.1213	2.4984
ENSG00000065526	39358	222.0420	16.7489
ENSG00000065600	5532	142.3920	10.7408
ENSG00000065978	133416	5184.5600	391.0785
ENSG00000066027	7169	139.1800	10.4986
ENSG00000066056	8613	96.5051	7.2795
ENSG00000066135	7817	113.3600	8.5509
ENSG00000066136	5778	72.3857	5.4602
ENSG00000066185	543	18.5476	1.3991
ENSG00000066279	645	4.4405	0.3350
ENSG00000066294	18037	146.1670	11.0256
ENSG00000066322	8425	256.9740	19.3839
ENSG00000066557	607	15.7965	1.1916
ENSG00000067208	721	6.5364	0.4930
ENSG00000067334	5118	63.9254	4.8220
ENSG00000067533	857	8.1525	0.6150
ENSG00000067606	975	9.5803	0.7227
ENSG00000067704	16496	297.2540	22.4223
ENSG00000069248	4233	62.7744	4.7352
ENSG00000069275	27799	318.5080	24.0255
ENSG00000069424	96526	890.9000	67.2018
ENSG00000069702	175	1.5156	0.1143
ENSG00000069712	174	2.8170	0.2125
ENSG00000069812	4	0.0555	0.0042
ENSG00000070759	2756	59.7439	4.5066
ENSG00000070785	2851	70.2616	5.2999
