gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	631	12.3023	1.4406
ENSG00000000460	848	10.0099	1.1722
ENSG00000000938	18999	404.3520	47.3499
ENSG00000000971	69	0.6353	0.0744
ENSG00000001460	151	1.3330	0.1561
ENSG00000001461	1368	10.9127	1.2779
ENSG00000004455	6723	88.7281	10.3901
ENSG00000004487	12437	273.0510	31.9745
ENSG00000006555	10	0.1244	0.0146
ENSG00000007341	1900	17.5705	2.0575
ENSG00000007908	1	0.0180	0.0021
ENSG00000007923	2464	35.9095	4.2050
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2353	32.3449	3.7876
ENSG00000008118	21	0.5826	0.0682
ENSG00000008128	7718	122.6920	14.3674
ENSG00000008130	12416	162.2570	19.0004
ENSG00000009307	88507	1153.4400	135.0683
ENSG00000009709	2	0.0206	0.0024
ENSG00000009724	1511	26.6606	3.1220
ENSG00000009780	758	19.7723	2.3153
ENSG00000009790	6526	63.1287	7.3924
ENSG00000010072	2927	37.1719	4.3529
ENSG00000010165	483	9.4236	1.1035
ENSG00000010803	9893	166.8560	19.5390
ENSG00000010932	6	0.1203	0.0141
ENSG00000011007	5179	72.0555	8.4378
ENSG00000011009	3054	104.3200	12.2159
ENSG00000011021	12270	133.6790	15.6540
ENSG00000014914	4734	77.3437	9.0570
ENSG00000016490	2	0.0449	0.0053
ENSG00000016602	1	0.0137	0.0016
ENSG00000018625	12	0.1453	0.0170
ENSG00000020129	1051	16.0248	1.8765
ENSG00000020633	1278	20.8069	2.4365
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	375	21.6559	2.5359
ENSG00000023902	24953	300.0170	35.1322
ENSG00000023909	170	2.3703	0.2776
ENSG00000024526	95	1.2093	0.1416
ENSG00000025800	18782	183.2530	21.4590
ENSG00000026751	279	4.5467	0.5324
ENSG00000027644	11	0.1627	0.0191
ENSG00000027869	138	4.1302	0.4836
ENSG00000028137	20637	410.9790	48.1259
ENSG00000031698	6613	129.3020	15.1413
ENSG00000033122	267	1.6644	0.1949
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2505	51.2575	6.0023
ENSG00000036549	4938	41.1127	4.8143
ENSG00000037637	5386	44.9619	5.2651
ENSG00000040487	1996	55.7260	6.5255
ENSG00000041988	2315	42.6302	4.9920
ENSG00000042781	2	0.0073	0.0009
ENSG00000043514	2114	51.6265	6.0455
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16272	119.8790	14.0379
ENSG00000048707	13102	48.2969	5.6556
ENSG00000049089	2402	43.3915	5.0812
ENSG00000049239	7205	59.2745	6.9411
ENSG00000049245	9803	266.3920	31.1947
ENSG00000049246	156	1.6427	0.1924
ENSG00000049247	30	1.2614	0.1477
ENSG00000049249	60	1.9799	0.2318
ENSG00000050628	4	0.0325	0.0038
ENSG00000052723	2667	33.9415	3.9746
ENSG00000053371	3537	148.9430	17.4414
ENSG00000053372	1547	41.1212	4.8153
ENSG00000054116	2830	64.0546	7.5009
ENSG00000054118	9943	157.4590	18.4385
ENSG00000054267	14500	98.2123	11.5007
ENSG00000054277	1331	28.6756	3.3579
ENSG00000054282	2520	36.0252	4.2186
ENSG00000054392	661	11.5358	1.3508
ENSG00000054523	4440	18.8204	2.2039
ENSG00000055070	25419	401.6120	47.0290
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7527	80.2639	9.3990
ENSG00000057468	15	0.3438	0.0403
ENSG00000057757	6692	229.5940	26.8856
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1016	6.2121	0.7274
ENSG00000058668	4718	36.4040	4.2629
ENSG00000058673	40148	310.4200	36.3505
ENSG00000058799	1121	37.1805	4.3539
ENSG00000058804	1616	23.6062	2.7643
ENSG00000059588	19611	189.9510	22.2434
ENSG00000060642	746	16.5364	1.9364
ENSG00000060656	15	0.1634	0.0191
ENSG00000060688	3112	58.1900	6.8141
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6422	80.0213	9.3705
ENSG00000064886	61	1.3827	0.1619
ENSG00000065135	7114	166.4330	19.4895
ENSG00000065183	699	12.6025	1.4758
ENSG00000065243	8643	92.4157	10.8219
ENSG00000065526	49601	279.8310	32.7684
ENSG00000065600	1765	45.4266	5.3195
ENSG00000065978	58405	2269.6100	265.7724
ENSG00000066027	7034	136.5560	15.9908
ENSG00000066056	2919	32.7045	3.8297
ENSG00000066135	4919	71.3368	8.3536
ENSG00000066136	2297	28.7707	3.3691
ENSG00000066185	83	2.8214	0.3304
ENSG00000066279	1615	11.1247	1.3027
ENSG00000066294	13190	106.8860	12.5164
ENSG00000066322	4925	150.2210	17.5910
ENSG00000066557	3175	82.5711	9.6691
ENSG00000067208	1027	9.3096	1.0902
ENSG00000067334	10748	134.2370	15.7193
ENSG00000067533	1081	10.2876	1.2047
ENSG00000067606	239	2.3440	0.2745
ENSG00000067704	5778	104.1170	12.1921
ENSG00000069248	4853	71.9773	8.4286
ENSG00000069275	9731	111.4900	13.0556
ENSG00000069424	34848	321.6310	37.6632
