gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	156	3.0437	0.5273
ENSG00000000460	375	4.4240	0.7664
ENSG00000000938	17602	374.6220	64.9028
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	421	3.7064	0.6421
ENSG00000001461	952	7.5919	1.3153
ENSG00000004455	24542	323.8910	56.1136
ENSG00000004487	4945	108.5720	18.8100
ENSG00000006555	6	0.0743	0.0129
ENSG00000007341	849	7.8495	1.3599
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2580	37.5976	6.5137
ENSG00000007933	18	0.3898	0.0675
ENSG00000007968	1064	14.6273	2.5342
ENSG00000008118	1	0.0153	0.0027
ENSG00000008128	1799	28.5920	4.9535
ENSG00000008130	2719	35.5313	6.1557
ENSG00000009307	14552	189.6500	32.8566
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2470	0.0428
ENSG00000009780	181	4.7236	0.8183
ENSG00000009790	3052	29.5219	5.1146
ENSG00000010072	351	4.4573	0.7722
ENSG00000010165	859	16.7570	2.9031
ENSG00000010803	3099	52.2640	9.0547
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	1798	25.0202	4.3347
ENSG00000011009	2579	88.0801	15.2598
ENSG00000011021	1534	16.7092	2.8948
ENSG00000014914	2473	40.4047	7.0001
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1875	28.6048	4.9557
ENSG00000020633	11498	187.2710	32.4445
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	311	17.9561	3.1109
ENSG00000023902	2747	33.0240	5.7214
ENSG00000023909	435	6.0707	1.0518
ENSG00000024526	112	1.4245	0.2468
ENSG00000025800	3323	32.4197	5.6167
ENSG00000026751	0	0.0000	0.0000
ENSG00000027644	4	0.0588	0.0102
ENSG00000027869	166	4.9506	0.8577
ENSG00000028137	5137	102.3050	17.7243
ENSG00000031698	7336	143.4260	24.8484
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	22	0.7921	0.1372
ENSG00000035687	1788	36.5835	6.3380
ENSG00000036549	782	6.5123	1.1282
ENSG00000037637	1685	14.0692	2.4375
ENSG00000040487	3892	108.6730	18.8274
ENSG00000041988	704	12.9646	2.2461
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	379	9.2530	1.6031
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2387	17.5890	3.0473
ENSG00000048707	1077	3.9712	0.6880
ENSG00000049089	3231	58.3693	10.1124
ENSG00000049239	10590	87.1156	15.0927
ENSG00000049245	3167	86.0732	14.9121
ENSG00000049246	12	0.1267	0.0219
ENSG00000049247	25	1.0622	0.1840
ENSG00000049249	14	0.4597	0.0796
ENSG00000050628	18	0.1398	0.0242
ENSG00000052723	1150	14.6391	2.5362
ENSG00000053371	8625	363.1970	62.9234
ENSG00000053372	2858	75.9642	13.1607
ENSG00000054116	5162	116.8620	20.2463
ENSG00000054118	2675	42.3577	7.3384
ENSG00000054267	1980	13.4110	2.3234
ENSG00000054277	1345	28.9842	5.0215
ENSG00000054282	1761	25.1700	4.3607
ENSG00000054392	186	3.2458	0.5623
