gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1890	36.8777	3.6324
ENSG00000000460	2314	27.3174	2.6907
ENSG00000000938	1566	33.3388	3.2838
ENSG00000000971	506	4.6623	0.4592
ENSG00000001460	573	5.0471	0.4971
ENSG00000001461	2574	20.5273	2.0219
ENSG00000004455	15940	210.3590	20.7198
ENSG00000004487	15388	337.8450	33.2768
ENSG00000006555	81	0.9972	0.0982
ENSG00000007341	3493	32.3009	3.1816
ENSG00000007908	11	0.1955	0.0193
ENSG00000007923	5651	82.3416	8.1104
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2796	38.4233	3.7846
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4244	67.4724	6.6459
ENSG00000008130	5470	71.4860	7.0412
ENSG00000009307	133844	1744.2800	171.8068
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	37	0.6577	0.0648
ENSG00000009780	1033	26.9412	2.6536
ENSG00000009790	6519	63.0580	6.2110
ENSG00000010072	5914	75.0994	7.3971
ENSG00000010165	1910	37.2717	3.6712
ENSG00000010803	19563	329.9380	32.4980
ENSG00000010932	2	0.0420	0.0041
ENSG00000011007	18092	251.6930	24.7911
ENSG00000011009	3737	127.6190	12.5701
ENSG00000011021	4817	52.4820	5.1693
ENSG00000014914	364	5.9392	0.5850
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0040
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	6390	97.4712	9.6006
ENSG00000020633	5331	86.8224	8.5518
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	321	18.5604	1.8282
ENSG00000023902	13296	159.8570	15.7455
ENSG00000023909	1662	23.1956	2.2847
ENSG00000024526	1164	14.7907	1.4568
ENSG00000025800	12360	120.5950	11.8783
ENSG00000026751	671	10.9290	1.0765
ENSG00000027644	8	0.1176	0.0116
ENSG00000027869	519	15.4809	1.5248
ENSG00000028137	4020	80.0595	7.8856
ENSG00000031698	8305	162.3670	15.9927
ENSG00000033122	35	0.2187	0.0215
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	7249	148.2950	14.6066
ENSG00000036549	9332	77.7013	7.6534
ENSG00000037637	6324	52.7917	5.1998
ENSG00000040487	633	17.6750	1.7409
ENSG00000041988	1322	24.3453	2.3980
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2108	51.4767	5.0703
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	25105	184.9590	18.2180
ENSG00000048707	8045	29.6574	2.9212
ENSG00000049089	1884	34.0472	3.3536
ENSG00000049239	9078	74.6753	7.3553
ENSG00000049245	20071	545.4210	53.7225
ENSG00000049246	322	3.3965	0.3345
ENSG00000049247	14	0.6018	0.0593
ENSG00000049249	53	1.7517	0.1726
ENSG00000050628	4	0.0311	0.0031
ENSG00000052723	7727	98.3271	9.6850
ENSG00000053371	5236	220.4890	21.7176
ENSG00000053372	3770	100.1970	9.8691
ENSG00000054116	4662	105.5380	10.3952
ENSG00000054118	9194	145.6000	14.3412
