gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1486	28.9899	3.5356
ENSG00000000460	150	1.7650	0.2153
ENSG00000000938	197	4.1853	0.5104
ENSG00000000971	14	0.1289	0.0157
ENSG00000001460	150	1.3246	0.1616
ENSG00000001461	597	4.7595	0.5805
ENSG00000004455	2336	30.8307	3.7601
ENSG00000004487	8307	182.3880	22.2441
ENSG00000006555	10	0.1239	0.0151
ENSG00000007341	826	7.6372	0.9314
ENSG00000007908	6	0.1067	0.0130
ENSG00000007923	1127	16.4288	2.0037
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	305	4.1891	0.5109
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	6379	101.4040	12.3673
ENSG00000008130	3052	39.8794	4.8637
ENSG00000009307	110499	1440.0300	175.6274
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	44	0.7791	0.0950
ENSG00000009780	286	7.4531	0.9090
ENSG00000009790	710	6.8719	0.8381
ENSG00000010072	2207	28.0207	3.4174
ENSG00000010165	255	4.9727	0.6065
ENSG00000010803	8950	150.9450	18.4094
ENSG00000010932	7	0.1469	0.0179
ENSG00000011007	14651	203.8290	24.8592
ENSG00000011009	2581	88.1321	10.7487
ENSG00000011021	10317	112.4010	13.7085
ENSG00000014914	219	3.5790	0.4365
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0058
ENSG00000020129	230	3.5064	0.4276
ENSG00000020633	42890	698.5310	85.1934
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	132	7.6005	0.9270
ENSG00000023902	13183	158.4980	19.3305
ENSG00000023909	328	4.5828	0.5589
ENSG00000024526	43	0.5462	0.0666
ENSG00000025800	26678	260.2950	31.7458
ENSG00000026751	230	3.7413	0.4563
ENSG00000027644	8	0.1176	0.0143
ENSG00000027869	287	8.5545	1.0433
ENSG00000028137	13069	260.2710	31.7428
ENSG00000031698	9452	184.7950	22.5377
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	4	0.1440	0.0176
ENSG00000035687	1824	37.3202	4.5516
ENSG00000036549	5542	46.1449	5.6279
ENSG00000037637	8670	72.3789	8.8274
ENSG00000040487	67	1.8712	0.2282
ENSG00000041988	2824	52.0142	6.3437
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	625	15.2585	1.8610
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22025	162.2660	19.7901
ENSG00000048707	8379	30.8866	3.7670
ENSG00000049089	481	8.6837	1.0591
ENSG00000049239	605	4.9789	0.6072
ENSG00000049245	10356	281.4130	34.3213
ENSG00000049246	554	5.8454	0.7129
ENSG00000049247	39	1.6382	0.1998
ENSG00000049249	779	25.5933	3.1214
ENSG00000050628	308	2.3955	0.2922
ENSG00000052723	4189	53.3040	6.5010
ENSG00000053371	905	38.1011	4.6468
ENSG00000053372	506	13.4504	1.6404
ENSG00000054116	562	12.7190	1.5512
ENSG00000054118	12562	198.9390	24.2628
ENSG00000054267	35253	238.7760	29.1213
ENSG00000054277	1229	26.4977	3.2317
ENSG00000054282	1027	14.6731	1.7895
ENSG00000054392	63	1.0957	0.1336
ENSG00000054523	1141	4.8387	0.5901
ENSG00000055070	19140	302.3960	36.8805
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7439	79.3330	9.6755
ENSG00000057468	18	0.4036	0.0492
ENSG00000057757	7289	250.0860	30.5006
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	376	2.2966	0.2801
ENSG00000058668	1559	12.0256	1.4667
ENSG00000058673	95152	735.7100	89.7277
ENSG00000058799	552	18.2972	2.2315
ENSG00000058804	1466	21.4082	2.6110
ENSG00000059588	4976	48.1951	5.8779
ENSG00000060642	286	6.3406	0.7733
ENSG00000060656	13	0.1466	0.0179
ENSG00000060688	1202	22.4847	2.7422
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4667	58.1582	7.0930
ENSG00000064886	57	1.3087	0.1596
ENSG00000065135	10497	245.5600	29.9486
ENSG00000065183	296	5.3289	0.6499
ENSG00000065243	10304	110.1810	13.4378
ENSG00000065526	53225	300.2780	36.6221
ENSG00000065600	2310	59.4458	7.2501
ENSG00000065978	58536	2274.7300	277.4278
ENSG00000066027	9276	180.0980	21.9649
ENSG00000066056	895	10.0326	1.2236
ENSG00000066135	1497	21.7063	2.6473
ENSG00000066136	1577	19.7526	2.4091
ENSG00000066185	18	0.6150	0.0750
ENSG00000066279	436	3.0007	0.3660
ENSG00000066294	320	2.5951	0.3165
ENSG00000066322	3825	116.6560	14.2274
ENSG00000066557	9360	243.4150	29.6871
ENSG00000067208	638	5.7857	0.7056
ENSG00000067334	20758	259.2540	31.6188
ENSG00000067533	1178	11.2112	1.3673
ENSG00000067606	25	0.2459	0.0300
ENSG00000067704	1910	34.4142	4.1972
ENSG00000069248	4766	70.6842	8.6207
ENSG00000069275	10637	121.8750	14.8639
ENSG00000069424	16793	154.9970	18.9035
ENSG00000069702	121	1.0485	0.1279
ENSG00000069712	21	0.3407	0.0416
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1497	32.4419	3.9566
ENSG00000070785	137	3.3848	0.4128
ENSG00000070831	45761	989.0660	120.6272
ENSG00000070886	151	2.1084	0.2572
ENSG00000072694	40	0.4318	0.0527
ENSG00000073754	2	0.0611	0.0074
ENSG00000073756	3157	44.9343	5.4802
ENSG00000074800	49395	904.2230	110.2797
ENSG00000074964	8	0.0729	0.0089
ENSG00000075151	12383	110.1850	13.4383
ENSG00000075391	28	0.1777	0.0217
ENSG00000075945	2239	33.4946	4.0850
ENSG00000076258	10	0.2976	0.0363
ENSG00000076321	1884	33.2111	4.0504
ENSG00000076356	53	0.2887	0.0352
ENSG00000076864	547	6.4708	0.7892
ENSG00000077152	86	6.0272	0.7351
ENSG00000077157	3257	16.9647	2.0690
ENSG00000077254	8908	96.5763	11.7785
ENSG00000077522	3	0.0415	0.0051
ENSG00000077549	9482	204.3540	24.9232
ENSG00000077585	303	9.9802	1.2172
ENSG00000078369	31044	379.4430	46.2772
ENSG00000078618	3582	40.5876	4.9501
ENSG00000078808	4350	69.4560	8.4709
ENSG00000078900	0	0.0000	0.0000
ENSG00000079277	2754	25.6258	3.1253
ENSG00000079335	29212	382.4210	46.6404
ENSG00000079739	828	14.9143	1.8190
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	15	0.1597	0.0195
ENSG00000081019	24302	267.2910	32.5990
ENSG00000081026	31	0.2842	0.0347
ENSG00000081237	94518	833.2930	101.6291
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	166	2.8895	0.3524
ENSG00000081721	1531	65.1566	7.9466
ENSG00000081870	321	8.7126	1.0626
ENSG00000081985	2	0.0302	0.0037
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	842	6.9957	0.8532
ENSG00000083444	369	5.1984	0.6340
ENSG00000084070	28870	656.3310	80.0467
ENSG00000084072	695	6.4603	0.7879
ENSG00000084073	4392	92.2226	11.2475
ENSG00000084623	23843	1036.6400	126.4296
ENSG00000084628	4	0.1024	0.0125
ENSG00000084636	3	0.0236	0.0029
ENSG00000084652	1430	21.0153	2.5630
ENSG00000085433	5349	88.4356	10.7857
ENSG00000085465	2866	71.9424	8.7742
ENSG00000085491	4515	51.7144	6.3071
ENSG00000085552	6	0.0680	0.0083
ENSG00000085831	20	0.1641	0.0200
ENSG00000085832	26450	262.7140	32.0407
ENSG00000085840	3304	78.4888	9.5725
ENSG00000085998	247	2.9081	0.3547
ENSG00000085999	49	1.1513	0.1404
ENSG00000086015	811	6.8489	0.8353
ENSG00000086619	2722	35.8952	4.3778
ENSG00000088035	176	2.6709	0.3257
ENSG00000088280	2	0.0307	0.0037
ENSG00000090020	3718	46.6756	5.6926
ENSG00000090104	16905	307.9520	37.5581
ENSG00000090273	2171	56.9937	6.9510
ENSG00000090432	2197	67.6326	8.2485
ENSG00000090621	36523	403.8920	49.2590
ENSG00000090686	11083	87.5275	10.6749
ENSG00000091483	317	11.0873	1.3522
ENSG00000092607	43	0.8473	0.1033
ENSG00000092621	41	0.5470	0.0667
ENSG00000092847	14064	81.8554	9.9831
ENSG00000092850	113	4.2781	0.5218
ENSG00000092853	76	1.0538	0.1285
ENSG00000092969	219	3.1817	0.3880
ENSG00000092978	510	4.3244	0.5274
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	17618	204.3220	24.9193
ENSG00000097021	346	5.3071	0.6473
ENSG00000097033	38192	429.0000	52.3212
ENSG00000097046	320	6.6735	0.8139
ENSG00000097096	91	1.0592	0.1292
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	596	12.8253	1.5642
ENSG00000116128	6655	77.7447	9.4818
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	19	0.3209	0.0391
ENSG00000116138	865	7.5775	0.9242
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	4	0.0560	0.0068
ENSG00000116151	15	0.2146	0.0262
ENSG00000116157	2532	112.3220	13.6988
ENSG00000116161	3309	55.0319	6.7117
ENSG00000116171	2658	24.0073	2.9279
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	2232	22.5505	2.7503
ENSG00000116194	10	0.2183	0.0266
ENSG00000116198	3018	28.7362	3.5047
ENSG00000116199	2789	34.6379	4.2245
ENSG00000116205	141	1.8127	0.2211
ENSG00000116209	13926	251.3160	30.6507
ENSG00000116212	1601	49.7964	6.0732
ENSG00000116213	335	3.3045	0.4030
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	4233	144.0570	17.5693
ENSG00000116237	165	2.5123	0.3064
ENSG00000116251	37835	579.1070	70.6283
ENSG00000116254	147	1.1115	0.1356
ENSG00000116260	5615	45.2288	5.5161
ENSG00000116266	7699	97.9537	11.9465
ENSG00000116273	4714	96.0380	11.7129
ENSG00000116285	415	7.4357	0.9069
ENSG00000116288	4632	144.9260	17.6753
ENSG00000116299	44	0.3541	0.0432
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	49404	542.6650	66.1838
ENSG00000116350	21067	497.1670	60.6349
ENSG00000116353	42	0.7899	0.0963
ENSG00000116396	48	0.3853	0.0470
ENSG00000116406	2908	28.9587	3.5318
ENSG00000116455	786	21.0182	2.5634
ENSG00000116459	6406	142.0170	17.3205
ENSG00000116473	12349	161.5510	19.7029
ENSG00000116478	9692	181.3220	22.1142
ENSG00000116489	28470	517.0170	63.0558
ENSG00000116497	2217	18.0943	2.2068
ENSG00000116514	4327	124.3450	15.1652
ENSG00000116521	3828	117.5550	14.3371
ENSG00000116525	711	13.4307	1.6380
ENSG00000116539	25922	146.2230	17.8334
ENSG00000116544	111	2.0933	0.2553
ENSG00000116560	165671	1673.2200	204.0670
ENSG00000116574	2	0.0343	0.0042
ENSG00000116580	10798	66.6079	8.1236
ENSG00000116584	20781	210.2220	25.6388
ENSG00000116586	630	32.8519	4.0066
ENSG00000116604	66745	782.1700	95.3940
ENSG00000116641	1920	13.2410	1.6149
ENSG00000116649	842	33.2813	4.0590
ENSG00000116652	5	0.3468	0.0423
ENSG00000116661	1	0.0381	0.0047
ENSG00000116663	65	2.6808	0.3269
ENSG00000116667	537	3.6726	0.4479
ENSG00000116668	722	13.3636	1.6298
ENSG00000116670	385	8.4869	1.0351
ENSG00000116675	65	0.7058	0.0861
ENSG00000116678	270	1.7694	0.2158
ENSG00000116679	12387	117.1650	14.2896
