gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1199	23.3952	2.2622
ENSG00000000460	1178	13.9092	1.3450
ENSG00000000938	230	4.9044	0.4742
ENSG00000000971	107	0.9854	0.0953
ENSG00000001460	384	3.3822	0.3270
ENSG00000001461	945	7.5351	0.7286
ENSG00000004455	4292	56.6491	5.4777
ENSG00000004487	19684	432.1640	41.7886
ENSG00000006555	38	0.4694	0.0454
ENSG00000007341	2306	21.3268	2.0622
ENSG00000007908	1	0.0201	0.0019
ENSG00000007923	1450	21.1331	2.0435
ENSG00000007933	6	0.1299	0.0126
ENSG00000007968	2598	35.7106	3.4531
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	11881	188.8720	18.2632
ENSG00000008130	3064	40.0383	3.8715
ENSG00000009307	204962	2671.0900	258.2840
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2929	51.6723	4.9965
ENSG00000009780	812	21.1728	2.0473
ENSG00000009790	3391	32.8065	3.1723
ENSG00000010072	4584	58.2057	5.6283
ENSG00000010165	722	14.0913	1.3626
ENSG00000010803	12203	205.8130	19.9014
ENSG00000010932	23	0.4841	0.0468
ENSG00000011007	10305	143.3600	13.8623
ENSG00000011009	4153	141.8490	13.7163
ENSG00000011021	4916	53.5628	5.1793
ENSG00000014914	144	2.3459	0.2268
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0768	0.0074
ENSG00000020129	1205	18.3787	1.7772
ENSG00000020633	4520	73.6163	7.1184
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	254	14.6397	1.4156
ENSG00000023902	12153	146.1180	14.1291
ENSG00000023909	90	1.2493	0.1208
ENSG00000024526	352	4.4749	0.4327
ENSG00000025800	38090	371.6340	35.9355
ENSG00000026751	344	5.6086	0.5423
ENSG00000027644	17	0.2468	0.0239
ENSG00000027869	315	9.3933	0.9083
ENSG00000028137	1116	22.2236	2.1489
ENSG00000031698	5032	98.3863	9.5136
ENSG00000033122	236	1.4743	0.1426
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1422	29.0859	2.8125
ENSG00000036549	5009	41.7073	4.0329
ENSG00000037637	7401	61.7811	5.9740
ENSG00000040487	800	22.3384	2.1600
ENSG00000041988	3254	59.9364	5.7956
ENSG00000042781	8	0.0291	0.0028
ENSG00000043514	3038	74.1902	7.1739
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	25647	188.9490	18.2706
