gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	419	8.1657	1.1093
ENSG00000000460	753	8.8854	1.2071
ENSG00000000938	697	14.8414	2.0162
ENSG00000000971	33030	304.1800	41.3222
ENSG00000001460	286	2.5236	0.3428
ENSG00000001461	1175	9.3673	1.2725
ENSG00000004455	10616	140.1010	19.0324
ENSG00000004487	11080	243.2740	33.0483
ENSG00000006555	8	0.0991	0.0135
ENSG00000007341	1553	14.3570	1.9504
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2486	36.2267	4.9213
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	710	9.7631	1.3263
ENSG00000008118	36	1.0082	0.1370
ENSG00000008128	8970	142.5980	19.3716
ENSG00000008130	3528	46.1105	6.2640
ENSG00000009307	87861	1145.0200	155.5482
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	32	0.5592	0.0760
ENSG00000009780	438	11.4232	1.5518
ENSG00000009790	3329	32.2033	4.3748
ENSG00000010072	3491	44.3307	6.0222
ENSG00000010165	837	16.3440	2.2203
ENSG00000010803	127	2.1408	0.2908
ENSG00000010932	45	0.9463	0.1285
ENSG00000011007	9012	125.3690	17.0311
ENSG00000011009	3957	135.1280	18.3569
ENSG00000011021	3867	42.1278	5.7230
ENSG00000014914	225	3.6813	0.5001
ENSG00000016490	1077	24.1763	3.2843
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2423	36.9567	5.0205
ENSG00000020633	973	15.8408	2.1520
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	355	20.5235	2.7881
ENSG00000023902	507	6.0898	0.8273
ENSG00000023909	720	10.0428	1.3643
ENSG00000024526	270	3.4268	0.4655
ENSG00000025800	9506	92.7468	12.5995
ENSG00000026751	41	0.6679	0.0907
ENSG00000027644	54	0.7906	0.1074
ENSG00000027869	3481	103.9340	14.1192
ENSG00000028137	213	4.2435	0.5765
ENSG00000031698	10139	198.2310	26.9294
ENSG00000033122	5442	33.9857	4.6169
ENSG00000034971	1182	42.5607	5.7818
ENSG00000035687	3828	78.3156	10.6390
ENSG00000036549	3691	30.7335	4.1751
ENSG00000037637	1294	10.7994	1.4671
ENSG00000040487	123	3.4363	0.4668
ENSG00000041988	2611	48.0894	6.5328
ENSG00000042781	1	0.0036	0.0005
ENSG00000043514	1144	27.9411	3.7957
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	23216	171.0410	23.2356
ENSG00000048707	3013	11.1063	1.5088
ENSG00000049089	3330	60.1573	8.1723
ENSG00000049239	761	6.2614	0.8506
ENSG00000049245	8764	238.1410	32.3509
ENSG00000049246	3388	35.7693	4.8592
ENSG00000049247	73	3.0527	0.4147
ENSG00000049249	764	25.0771	3.4067
ENSG00000050628	4494	34.9093	4.7424
ENSG00000052723	7409	94.2816	12.8080
ENSG00000053371	2619	110.2900	14.9827
ENSG00000053372	2207	58.6570	7.9685
ENSG00000054116	2557	57.8889	7.8641
ENSG00000054118	3991	63.1964	8.5851
ENSG00000054267	23886	161.7850	21.9782
ENSG00000054277	557	12.0072	1.6311
ENSG00000054282	3347	47.8390	6.4988
ENSG00000054392	257	4.4846	0.6092
ENSG00000054523	1110	4.7070	0.6394
ENSG00000055070	13604	214.9380	29.1990
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	2688	28.6642	3.8940
ENSG00000057468	64	1.4608	0.1984
ENSG00000057757	6710	230.2310	31.2765
ENSG00000058085	4	0.0459	0.0062
ENSG00000058453	945	5.7786	0.7850
ENSG00000058668	12121	93.5184	12.7043
ENSG00000058673	35876	277.3880	37.6826
ENSG00000058799	1725	57.2335	7.7751
ENSG00000058804	2205	32.2027	4.3747
ENSG00000059588	23343	226.1030	30.7157
ENSG00000060642	697	15.4666	2.1011
ENSG00000060656	120	1.3436	0.1825
ENSG00000060688	3517	65.7649	8.9340
ENSG00000060718	19038	172.7540	23.4683
ENSG00000064703	6092	75.9119	10.3125
ENSG00000064886	21	0.4825	0.0656
ENSG00000065135	10640	248.9070	33.8136
ENSG00000065183	1254	22.6095	3.0715
ENSG00000065243	4884	52.2214	7.0942
ENSG00000065526	21600	121.8600	16.5545
ENSG00000065600	737	18.9719	2.5773
ENSG00000065978	90773	3527.4400	479.1966
ENSG00000066027	11695	227.0520	30.8445
ENSG00000066056	9531	106.7890	14.5071
ENSG00000066135	1888	27.3817	3.7197
ENSG00000066136	2977	37.2976	5.0668
ENSG00000066185	195	6.6556	0.9042
ENSG00000066279	2565	17.6684	2.4002
ENSG00000066294	6721	54.4649	7.3990
ENSG00000066322	2901	88.4709	12.0186
ENSG00000066557	4448	115.6600	15.7122
ENSG00000067208	510	4.6216	0.6278
ENSG00000067334	18853	235.4710	31.9883
ENSG00000067533	3179	30.2434	4.1085
ENSG00000067606	31	0.3079	0.0418
ENSG00000067704	10829	195.1390	26.5093
ENSG00000069248	6701	99.3805	13.5006
ENSG00000069275	37124	425.3480	57.7827
ENSG00000069424	3131	28.8986	3.9258
ENSG00000069702	148	1.2866	0.1748
ENSG00000069712	347	5.6238	0.7640
ENSG00000069812	4	0.0555	0.0075
ENSG00000070759	1364	29.5702	4.0171
ENSG00000070785	1349	33.2419	4.5158
ENSG00000070831	38466	831.3870	112.9424
ENSG00000070886	1	0.0174	0.0024
