gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	745	14.5406	2.0014
ENSG00000000460	1100	12.9781	1.7864
ENSG00000000938	13691	291.3860	40.1075
ENSG00000000971	63	0.5802	0.0799
ENSG00000001460	206	1.8143	0.2497
ENSG00000001461	1371	10.9335	1.5049
ENSG00000004455	8491	112.0530	15.4234
ENSG00000004487	8262	181.3870	24.9668
ENSG00000006555	33	0.4088	0.0563
ENSG00000007341	1307	12.0851	1.6634
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2248	32.7503	4.5079
ENSG00000007933	8	0.1733	0.0238
ENSG00000007968	1641	22.5488	3.1037
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2677	42.5519	5.8570
ENSG00000008130	7131	93.1929	12.8274
ENSG00000009307	81951	1067.9900	147.0023
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	10	0.1764	0.0243
ENSG00000009780	881	22.9739	3.1622
ENSG00000009790	10587	102.4140	14.0966
ENSG00000010072	3647	46.3190	6.3755
ENSG00000010165	752	14.6823	2.0209
ENSG00000010803	8751	147.5890	20.3147
ENSG00000010932	6	0.1259	0.0173
ENSG00000011007	8980	124.9290	17.1957
ENSG00000011009	3031	103.5050	14.2469
ENSG00000011021	3894	42.4288	5.8401
ENSG00000014914	4224	69.0083	9.4986
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1745	26.6229	3.6645
ENSG00000020633	2714	44.2020	6.0841
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	479	27.6305	3.8032
ENSG00000023902	17896	215.1690	29.6166
ENSG00000023909	355	4.9546	0.6820
ENSG00000024526	422	5.3557	0.7372
ENSG00000025800	7499	73.1704	10.0714
ENSG00000026751	384	6.2526	0.8606
ENSG00000027644	14	0.2074	0.0286
ENSG00000027869	209	6.2476	0.8599
ENSG00000028137	15857	315.7850	43.4659
ENSG00000031698	6400	125.1230	17.2224
ENSG00000033122	10	0.0624	0.0086
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	5000	102.2900	14.0796
ENSG00000036549	6008	50.0206	6.8850
ENSG00000037637	2742	22.8940	3.1512
ENSG00000040487	526	14.6798	2.0206
ENSG00000041988	738	13.5862	1.8701
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1317	32.1530	4.4257
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15534	114.4470	15.7530
ENSG00000048707	4338	15.9899	2.2009
ENSG00000049089	705	12.7292	1.7521
ENSG00000049239	5578	45.8827	6.3155
ENSG00000049245	13966	379.5210	52.2387
ENSG00000049246	148	1.5618	0.2150
ENSG00000049247	38	1.6068	0.2212
ENSG00000049249	33	1.0849	0.1493
ENSG00000050628	4	0.0311	0.0043
ENSG00000052723	5557	70.7116	9.7330
ENSG00000053371	4365	183.8330	25.3035
ENSG00000053372	1603	42.6013	5.8638
ENSG00000054116	1922	43.5183	5.9900
ENSG00000054118	5340	84.5720	11.6408
ENSG00000054267	11345	76.8429	10.5769
ENSG00000054277	4379	94.3796	12.9907
ENSG00000054282	4609	65.8822	9.0683
ENSG00000054392	501	8.7514	1.2046
ENSG00000054523	1904	8.0706	1.1109
ENSG00000055070	11273	178.1060	24.5152
ENSG00000055732	16	0.1788	0.0246
ENSG00000057252	4957	52.8655	7.2766
ENSG00000057468	8	0.1782	0.0245
ENSG00000057757	4605	158.0080	21.7488
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	499	3.0525	0.4202
ENSG00000058668	10598	81.7654	11.2545
ENSG00000058673	22302	172.4380	23.7350
ENSG00000058799	1818	60.2941	8.2991
ENSG00000058804	2275	33.2257	4.5733
ENSG00000059588	10178	98.5890	13.5702
ENSG00000060642	807	17.9027	2.4642
ENSG00000060656	4	0.0448	0.0062
ENSG00000060688	1851	34.6116	4.7641
ENSG00000060718	2	0.0181	0.0025
ENSG00000064703	5695	70.9586	9.7670
ENSG00000064886	87	1.9824	0.2729
ENSG00000065135	9830	229.9610	31.6526
ENSG00000065183	1059	19.0976	2.6287
ENSG00000065243	7886	84.3211	11.6063
ENSG00000065526	27000	152.3250	20.9666
ENSG00000065600	1684	43.3452	5.9662
ENSG00000065978	67214	2611.9300	359.5151
ENSG00000066027	9793	190.1360	26.1710
ENSG00000066056	2166	24.2670	3.3402
ENSG00000066135	1148	16.6473	2.2914
ENSG00000066136	3749	46.9596	6.4637
ENSG00000066185	156	5.3430	0.7354
ENSG00000066279	2127	14.6505	2.0166
ENSG00000066294	14202	115.0930	15.8418
ENSG00000066322	5328	162.5010	22.3673
ENSG00000066557	2856	74.2826	10.2245
ENSG00000067208	1844	16.7178	2.3011
ENSG00000067334	18909	236.1700	32.5074
ENSG00000067533	1362	12.9553	1.7832
ENSG00000067606	121	1.1891	0.1637
ENSG00000067704	10264	184.9570	25.4582
ENSG00000069248	4271	63.3423	8.7187
ENSG00000069275	12847	147.1980	20.2609
ENSG00000069424	37189	343.2450	47.2455
ENSG00000069702	561	4.8629	0.6694
ENSG00000069712	489	7.9299	1.0915
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2519	54.6098	7.5167
ENSG00000070785	981	24.1880	3.3293
ENSG00000070831	33303	719.7970	99.0755
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	3541	37.9620	5.2252
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	3671	52.2486	7.1917
ENSG00000074800	113405	2076.0000	285.7486
ENSG00000074964	2221	21.2322	2.9225
ENSG00000075151	9854	87.6791	12.0685
ENSG00000075391	1076	6.8307	0.9402
